"","sigma2","White.Lik","BM.Lik","Lambda","Lambda.Lik","alpha","OU.Lik"
"forcing",39.8121515452556,-247.005989571553,-320.952809727387,0.737869383829851,-240.855824815863,-2,-254.063484439262
"chilling",454.955993982973,-276.209289649395,-397.687706000144,4.903958899928e-16,-276.209289649395,-2,-305.227240173033
"photoperiod",73.8980025295364,-236.824771454851,-340.435988652428,0.377189945529528,-235.179552201059,-2,-255.015633403396
