"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model_phylo.FULL.c",0,0,-10951.5792745896,75.8582763678556,107.03304446346,6.04096112198332,21903.1585491793,151.716552735711
"model_NOphylo.FULL.b",-0.5431111090604,0.591327746711044,-10952.1223856987,75.8031488387932,106.267470547857,6.03060466729857,21904.2447713974,151.606297677586
"model_phylo.int.slope",-0.72972578557075,2.42743455085065,-10952.3090003752,75.7231240011432,106.116591234868,6.07829203184401,21904.6180007503,151.446248002286
"model_phylo.int.only",-242.375262542644,25.7266561575461,-11193.9545371323,75.0307041013231,44.8935366360538,3.16710480883596,22387.9090742645,150.061408202646
"model_NOphylo.FULL",-242.581549592094,25.6905249601976,-11194.1608241817,75.0968233266609,45.1963555033684,3.19448293511607,22388.3216483634,150.193646653322
