"","Estimate","Est.Error","Q2.5","Q97.5"
"mod.sps.intercept",0.368771475779541,0.0124314596569761,0.344100559911823,0.392546711970355
"mod.sps.phylo.intercept",0.368971881026044,0.0119567104040204,0.345099005895156,0.391661377466051
"mod.sps.interc.slope",0.486083968414127,0.0106068488288954,0.464945625472044,0.505982493324529
"mod.sps.interc.slope.phy.int",0.4869448071622,0.0107492940230914,0.464689982536154,0.507472637756502
"mod.sps.phylo.interc.slope",0.4869326739115,0.0104219300751622,0.465697090150356,0.506439226906514
