"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Basal area","Canopy height of stand","Diameter at breast height (DBH) of the forest stand","Exposition","Latitude","Leaf age at measurement","Leaf area index of the site (LAI)","Longitude","Maximum diameter at breast height comments","Maximum diameter at breast height extreme","Maximum diameter at breast height max","Maximum diameter at breast height mean","Maximum diameter at breast height min","Maximum height","Maximum height comment","Maximum height extreme","Maximum height max","Maximum height min","Plant developmental status / plant age / maturity / plant life stage","Plant height observed","Plant height vegetative","SLA leaf area type","Stem diameter at breast height (1.3 m","Wood density; stem specific density; wood specific gravity"
"1","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",762427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",NA,NA,NA
"2","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",762428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",NA,NA,NA
"3","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",762429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA
"4","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",762430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,NA,NA
"5","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",762431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA
"6","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",762432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",NA,NA,NA
"7","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",764116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA
"8","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1257756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",NA,NA,NA
"9","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1257757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA
"10","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1257758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68",NA,NA,NA
"11","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1822875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","Im Optimum max. 500 Jahre alt und 65m hoch; Page: 9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1822876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","Page: 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1822877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Page: 832",NA,"65","50",NA,NA,NA,NA,NA,NA
"14","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1822878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Je nach Alter und Standort werden... Baumhˆhen zwischen 25 und 50m Ö erreicht. Ö Vereinzelt Ö v ...","68","50","25",NA,NA,NA,NA,NA,NA
"15","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1822879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1822880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1826500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Abies alba",1828253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","30",NA,NA,NA,NA,NA,NA
"19","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pensylvanicum",762544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA
"20","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pensylvanicum",762545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA
"21","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pensylvanicum",1822992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","Because its maximum height growth is about 15 m (49 ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pensylvanicum",1822993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","reaches a maximum height of about 45 feet (13 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Wirth","Christian",68,"The Functional Ecology of Trees (FET) Database  - Jena","Acer pensylvanicum",1826051,NA,NA,NA,"Outside ""natural"" vegetation","45.55",NA,NA,"-73.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sapling (1 - 10 y)","1.61",NA,NA,NA,NA
