"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Family","Latitude","Leaf carbon content per dry mass","Longitude"
"1","Martin","Adam",433,"Wood carbon database","Betula pubescens",2732719,"Betulaceae","61.58333333","52.1","24.08333333"
"2","Martin","Adam",433,"Wood carbon database","Picea abies",2732720,"Pinaceae","61.58333333","54","24.08333333"
"3","Martin","Adam",433,"Wood carbon database","Pseudotsuga menziesii",2732921,"Pinaceae","15","45","110"
