"","LastName","FirstName","SpeciesName","ObservationID","DatasetID","Dataset","Height at 20 Years.x","Plant height vegetative.x","Plant height vegetative.y","Height at 20 Years.y"
"1","Green","Walton","Acer pensylvanicum L.",941319,92,"PLANTSdata USDA","25"," Mature","10.668",7.62
"2","Green","Walton","Acer pseudoplatanus L.",941321,92,"PLANTSdata USDA","60"," Mature","30.48",18.288
"3","Green","Walton","Acer rubrum L.",941322,92,"PLANTSdata USDA","35"," Mature","27.432",10.668
"4","Green","Walton","Acer saccharum Marsh.",941324,92,"PLANTSdata USDA","20"," Mature","30.48",6.096
"5","Green","Walton","Alnus glutinosa (L.) Gaertn.",941384,92,"PLANTSdata USDA","40"," Mature","18.288",12.192
"6","Green","Walton","Alnus incana (L.) Moench",941385,92,"PLANTSdata USDA","15"," Mature","7.62",4.572
"7","Green","Walton","Betula alleghaniensis Britton",941561,92,"PLANTSdata USDA","25"," Mature","30.48",7.62
"8","Green","Walton","Betula lenta L.",941562,92,"PLANTSdata USDA","15"," Mature","24.384",4.572
"9","Green","Walton","Betula papyrifera Marsh.",941566,92,"PLANTSdata USDA","40"," Mature","21.336",12.192
"10","Green","Walton","Betula pendula Roth",941567,92,"PLANTSdata USDA","40"," Mature","18.288",12.192
"11","Green","Walton","Cornus mas L.",941899,92,"PLANTSdata USDA","20"," Mature","7.9248",6.096
"12","Green","Walton","Corylus cornuta Marsh.",941909,92,"PLANTSdata USDA","12"," Mature","3.6576",3.6576
"13","Green","Walton","Fagus grandifolia Ehrh.",942133,92,"PLANTSdata USDA","30"," Mature","28.956",9.144
"14","Green","Walton","Fraxinus nigra Marsh.",942170,92,"PLANTSdata USDA","20"," Mature","24.384",6.096
"15","Green","Walton","Hamamelis virginiana L.",942231,92,"PLANTSdata USDA","15"," Mature","6.096",4.572
"16","Green","Walton","Larix decidua Mill.",942394,92,"PLANTSdata USDA","20"," Mature","30.1752",6.096
"17","Green","Walton","Lyonia ligustrina (L.) DC.",942516,92,"PLANTSdata USDA","18"," Mature","2.7432",5.4864
"18","Green","Walton","Nyssa sylvatica Marsh.",942636,92,"PLANTSdata USDA","30"," Mature","28.956",9.144
"19","Green","Walton","Photinia melanocarpa (Michx.) K.R. Robertson & Phipps",942763,92,"PLANTSdata USDA","15"," Mature","1.8288",4.572
"20","Green","Walton","Picea abies (L.) Karst.",942773,92,"PLANTSdata USDA","35"," Mature","39.624",10.668
"21","Green","Walton","Populus grandidentata Michx.",942883,92,"PLANTSdata USDA","40"," Mature","19.812",12.192
"22","Green","Walton","Prunus padus L.",942919,92,"PLANTSdata USDA","20"," Mature","9.144",6.096
"23","Green","Walton","Prunus pensylvanica L. f.",942920,92,"PLANTSdata USDA","25"," Mature","9.144",7.62
"24","Green","Walton","Pseudotsuga menziesii (Mirb.) Franco",942934,92,"PLANTSdata USDA","40"," Mature","60.96",12.192
"25","Green","Walton","Quercus alba L.",942953,92,"PLANTSdata USDA","25"," Mature","30.48",7.62
"26","Green","Walton","Quercus rubra L.",942978,92,"PLANTSdata USDA","36"," Mature","30.48",10.9728
"27","Green","Walton","Quercus velutina Lam.",942983,92,"PLANTSdata USDA","25"," Mature","27.432",7.62
"28","Green","Walton","Robinia pseudoacacia L.",943041,92,"PLANTSdata USDA","40"," Mature","24.384",12.192
"29","Green","Walton","Sorbus aucuparia L.",943240,92,"PLANTSdata USDA","35"," Mature","12.192",10.668
"30","Green","Walton","Spiraea alba Du Roi",943263,92,"PLANTSdata USDA","3"," Mature","0.9144",0.9144
"31","Green","Walton","Symphoricarpos albus (L.) S.F. Blake",943297,92,"PLANTSdata USDA","3"," Mature","0.9144",0.9144
"32","Green","Walton","Syringa vulgaris L.",943319,92,"PLANTSdata USDA","20"," Mature","6.096",6.096
"33","Green","Walton","Tilia cordata Mill.",943347,92,"PLANTSdata USDA","45"," Mature","30.48",13.716
"34","Green","Walton","Ulmus parvifolia Jacq.",943388,92,"PLANTSdata USDA","40"," Mature","18.288",12.192
"35","Green","Walton","Ulmus pumila L.",943389,92,"PLANTSdata USDA","40"," Mature","21.336",12.192
"36","Green","Walton","Viburnum lantanoides Michx.",943427,92,"PLANTSdata USDA","10"," Mature","3.048",3.048
