"","LastName","FirstName","SpeciesName","ObservationID","DatasetID","Dataset","Exposition temperature","Latitude","Leaf mass per area based on fresh weight","Longitude","Maximum plant height","Plant height vegetative","Specific leaf area (SLA) per fresh weight","Stomata density","stomata density: lower surface only","stomata density: upper+lower / one-sided leaf area","LWC","LDMC"
"42","Cornelissen","Johannes","Acer pseudoplatanus",16487,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.836607143",NA,NA,NA,NA,"3.12849162"
"43","Cornelissen","Johannes","Acer pseudoplatanus",16488,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.47488843",NA,NA,NA,NA,"2.698561151"
"44","Cornelissen","Johannes","Acer pseudoplatanus",16489,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.824637956",NA,NA,NA,NA,"2.826305732"
"45","Cornelissen","Johannes","Acer pseudoplatanus",16490,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.659213759",NA,NA,NA,NA,"2.689861592"
"46","Cornelissen","Johannes","Acer pseudoplatanus",16491,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.127174565",NA,NA,NA,NA,"2.706168831"
"47","Cornelissen","Johannes","Acer pseudoplatanus",16492,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.58014176",NA,NA,NA,NA,"2.543602585"
"48","Cornelissen","Johannes","Acer pseudoplatanus",16493,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.937791932",NA,NA,NA,NA,"2.847696737"
"49","Cornelissen","Johannes","Acer pseudoplatanus",16494,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.400229312",NA,NA,NA,NA,"2.748536585"
"50","Cornelissen","Johannes","Acer pseudoplatanus",16495,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.816722408",NA,NA,NA,NA,"3.167372881"
"51","Cornelissen","Johannes","Acer pseudoplatanus",16496,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.034333024",NA,NA,NA,NA,"2.759256198"
"52","Cornelissen","Johannes","Acer pseudoplatanus",16497,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.831383399",NA,NA,NA,NA,"2.908576642"
"53","Cornelissen","Johannes","Acer pseudoplatanus",16498,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.825206847",NA,NA,NA,NA,"2.754958848"
"54","Cornelissen","Johannes","Acer pseudoplatanus",16499,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.779264214",NA,NA,NA,NA,"2.875"
"55","Cornelissen","Johannes","Acer pseudoplatanus",16500,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.691962681",NA,NA,NA,NA,"2.857133758"
"56","Cornelissen","Johannes","Acer pseudoplatanus",16501,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.60917743",NA,NA,NA,NA,"2.78799639"
"57","Cornelissen","Johannes","Acer pseudoplatanus",16502,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.62492515",NA,NA,NA,NA,"2.630680412"
"58","Cornelissen","Johannes","Acer pseudoplatanus",16503,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.946966483",NA,NA,NA,NA,"2.812649165"
"59","Cornelissen","Johannes","Acer pseudoplatanus",16504,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.614245033",NA,NA,NA,NA,"2.805794206"
"60","Cornelissen","Johannes","Acer pseudoplatanus",16505,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.25775076",NA,NA,NA,NA,"2.847115385"
"61","Cornelissen","Johannes","Acer pseudoplatanus",16506,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.03437883",NA,NA,NA,NA,"2.720992063"
"62","Cornelissen","Johannes","Acer pseudoplatanus",16507,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.08359375",NA,NA,NA,NA,"2.800875274"
"63","Cornelissen","Johannes","Acer pseudoplatanus",16508,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.325574681",NA,NA,NA,NA,"2.768479339"
"64","Cornelissen","Johannes","Acer pseudoplatanus",16509,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.212053571",NA,NA,NA,NA,"2.780141844"
"65","Cornelissen","Johannes","Acer pseudoplatanus",172769,37,"Sheffield Database","5","53.4",NA,"-1.5",NA,"30",NA,NA,NA,NA,NA,"0.354"
"66","Cornelissen","Johannes","Acer pseudoplatanus",172890,37,"Sheffield Database","5","53.4",NA,"-1.5",NA,"30",NA,NA,NA,NA,NA,"0.354"
"67","Cornelissen","Johannes","Acer pseudoplatanus",172965,37,"Sheffield Database","5.2","53.4",NA,"-1.5",NA,"30",NA,NA,NA,NA,NA,"0.354"
"68","Cornelissen","Johannes","Acer pseudoplatanus",173086,37,"Sheffield Database","5.2","53.4",NA,"-1.5",NA,"30",NA,NA,NA,NA,NA,"0.354"
"69","Cornelissen","Johannes","Aesculus hippocastanum",1302682,37,"Sheffield Database",NA,NA,"0.221556776",NA,NA,NA,"4.513515756",NA,"279.6826547","279.6826547",NA,"0.333537477"
"70","Cornelissen","Johannes","Aesculus hippocastanum",16510,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.514674746",NA,NA,NA,NA,"2.635165049"
"71","Cornelissen","Johannes","Aesculus hippocastanum",16511,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.167471751",NA,NA,NA,NA,"3.335981941"
"72","Cornelissen","Johannes","Aesculus hippocastanum",16512,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.01744573",NA,NA,NA,NA,"2.681824561"
"73","Cornelissen","Johannes","Aesculus hippocastanum",16513,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.815142911",NA,NA,NA,NA,"3.061535433"
"74","Cornelissen","Johannes","Aesculus hippocastanum",16514,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.765718365",NA,NA,NA,NA,"2.602457143"
"75","Cornelissen","Johannes","Aesculus hippocastanum",16515,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.944251176",NA,NA,NA,NA,"3.435051546"
"76","Cornelissen","Johannes","Aesculus hippocastanum",16516,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.408267894",NA,NA,NA,NA,"2.66252669"
"77","Cornelissen","Johannes","Aesculus hippocastanum",16517,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.701184459",NA,NA,NA,NA,"3.229090909"
"78","Cornelissen","Johannes","Aesculus hippocastanum",16518,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.16267126",NA,NA,NA,NA,"2.862762431"
"79","Cornelissen","Johannes","Aesculus hippocastanum",16519,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.875117444",NA,NA,NA,NA,"3.2512786"
"80","Cornelissen","Johannes","Aesculus hippocastanum",16520,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.402929566",NA,NA,NA,NA,"2.809693252"
"81","Cornelissen","Johannes","Aesculus hippocastanum",16521,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"6.082695125",NA,NA,NA,NA,"3.432390244"
"82","Cornelissen","Johannes","Aesculus hippocastanum",16522,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.272691994",NA,NA,NA,NA,"2.740996016"
"83","Cornelissen","Johannes","Aesculus hippocastanum",16523,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.461691304",NA,NA,NA,NA,"3.156237624"
"84","Cornelissen","Johannes","Aesculus hippocastanum",16524,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.409018617",NA,NA,NA,NA,"2.619672131"
"85","Cornelissen","Johannes","Aesculus hippocastanum",16525,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.40673169",NA,NA,NA,NA,"3.293727811"
"86","Cornelissen","Johannes","Aesculus hippocastanum",16526,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"3.971640773",NA,NA,NA,NA,"2.649498328"
"87","Cornelissen","Johannes","Aesculus hippocastanum",16527,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.91274966",NA,NA,NA,NA,"3.350232558"
"88","Cornelissen","Johannes","Aesculus hippocastanum",16528,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"5.355032508",NA,NA,NA,NA,"2.678536585"
"89","Cornelissen","Johannes","Aesculus hippocastanum",16529,37,"Sheffield Database",NA,"53.4",NA,"-1.5",NA,NA,"4.914741563",NA,NA,NA,NA,"3.348042705"
