est,mu.ut,force.ut,photo.ut,chill.ut,mu.cp,force.cp,photo.cp,chill.cp
mu,30.14,-3.97,-2.92,-8.94,30.68,-4.66,-2.95,-8.31
sigma,8.94,5.92,4.42,6.04,9.45,6.25,3.45,7.28
sp[1],30.21,-8.32,-5.27,-11.17,29.63,-9.96,-4.72,-5.95
sp[2],30.26,2.5,-2.22,-8.22,31.26,1.56,-2.62,-9.35
sp[3],38.86,-6.5,-7.93,-9.64,42.07,-7.37,-6.75,-9.98
sp[4],31.76,-2.03,-2.01,-4.82,34.85,-2.95,-2.4,-9.25
sp[5],34.17,1.24,-2.41,-6.92,34.93,0.87,-2.6,-5.77
sp[6],36.03,-8.62,-0.75,-10.47,38.84,-9.57,-1.35,-12.23
sp[7],36.35,-8.43,-1,-6.84,36.95,-8.68,-1.25,-6.1
sp[8],37.36,-12.34,-3.37,-3.65,39.42,-13.17,-3.15,-4.64
sp[9],18.73,-1.23,-0.54,-5.08,16.87,-3.55,-0.58,-7.55
sp[10],19.31,-3.66,-1.08,-3.47,17.28,-4.34,-1.01,-5.2
sp[11],29.49,-0.27,-2.2,-13.9,31.48,0,-2.3,-13.16
sp[12],30.69,3.42,-3.15,-7.27,31.2,3.56,-3.07,-5.27
sp[13],22.58,-1.42,-2.19,-8.24,22.65,-1.61,-2.39,-6.67
sp[14],21.65,-4.54,-1.84,-9.08,21.72,-5.29,-1.95,-5.35
sp[15],43.4,-2.39,-11.95,-9.35,44.44,-3.36,-11.31,-7.88
sp[16],45.99,5.25,-5.52,-10.74,46.09,3.6,-5.48,-10.4
sp[17],30.45,-6.04,-3.5,-8.67,30.16,-7.21,-3.42,-4.94
sp[18],21.79,-1.19,-2.06,-8.37,22.59,-1.72,-2.41,-6.24
sp[19],46.58,-8.98,-2.5,-8.36,45.88,-10.77,-1.72,-5.66
sp[20],24.93,-2.92,-2.28,-14.87,24.56,-4.88,-2.92,-13.68
sp[21],29.08,-5.03,0.05,-7.47,29.28,-5.19,-0.39,-5.96
sp[22],24.7,-0.09,-1.72,-9.42,24.84,-1.35,-2.2,-8.78
sp[23],24.84,-1.21,-1.38,-8.18,25.11,-1.42,-1.76,-6.29
sp[24],26.97,-7.47,-1.49,-11.59,26.85,-8.22,-1.88,-10.3
sp[25],37.65,-13.14,6.24,-26.65,21.81,-18.6,-1.19,-28.25
sp[26],38.9,2.63,-2.81,-7.83,40.79,3.36,-2.94,-7.41
sp[27],43.9,-10.53,-7.29,-10.03,48.57,-11.83,-5.54,-11.9
sp[28],34.97,0.31,-3.04,-4.83,34.98,0.33,-2.99,-2.91
sp[29],26.67,-6.96,-2.96,-9.42,29.1,-6.43,-2.82,-8.78
sp[30],28.12,0.49,-1.65,-7.91,28.76,0.69,-1.97,-6.08
sp[31],22.66,-5.49,-4.46,-3.26,22.93,-5.1,-3.31,2.11
sp[32],17.99,-5.16,-1.79,-6.5,24.94,-3.85,-1.46,-9.6
sp[33],23.01,-1.84,-2.17,-10.32,24.21,-1.71,-2.5,-9.2
sp[34],23.03,-0.32,-2.46,-7.9,23.19,-0.74,-2.61,-4.66
sp[35],24.44,-10.44,-6.33,-4.06,27.31,-9.35,-3.88,4.28
sp[36],27.9,-12.47,-4.6,-13.6,31.97,-12.31,-4.35,-12.13
sp[37],30,-4.13,-6.62,-13.44,28.32,-5.5,-4.42,-26.3
