model,m2lni  (nointer_2level.stan),m2l.winsp (winternosp_2level.stan),m2l.wstudy (nointer_2level_studyint_ncp.stan),,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy
,,,,,,,,,,,,,,,
data info,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c"
spcomplex,all spp,all sp,all sp,,sppcomplex,sppcomplex,sppcomplex,,sppcomplex.onecue,sppcomplex.onecue,sppcomplex.onecue,,sppcomplex.nocrops,sppcomplex.nocrops,sppcomplex.nocrops
diganostics,fine,fine,"Increased tree depth to 15, rhats>1.1 for all sp",,fine,fine,fine (!),,fine,fine,fine,,,,
model notes,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,,,,,,
,,,,,,,,,,,,,,,
N,3053,3053,3053,,2256,2256,2256,,2355,2355,2355,,2037,2037,2037
sp_n,203,203,203,,40,40,40,,43,43,43,,37,37,37
study_n,49,49,49,,43,43,43,,47,47,47,,37,37,37
preds centered,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,,,
,,,,,,,,,,,,,,,
a_sp[27],,,,,44.13145759,43.74198943,8.497369824,,50.44636571,49.77828701,26.24128796,,38.02680493,38.1943134,23.54859667
a_sp[28],,,,,53.22746102,53.09540744,16.66791552,,56.85168896,56.46973615,23.10348967,,51.9583158,51.71512698,24.66305134
a_sp[29],,,,,38.25726414,38.28843478,22.12787139,,43.58626744,43.40904671,5.879292474,,32.22964942,32.87924016,21.76983258
a_sp[30],,,,,52.2337019,51.93868561,23.7013969,,52.69114418,52.36743349,13.87449988,,19.04199254,20.74781729,11.33949965
a_sp[31],,,,,31.45568341,32.23099736,19.79378376,,38.23597119,38.47991482,18.68324257,,28.73696973,28.66796078,14.74281175
a_sp[32],,,,,19.03876415,20.79599797,10.47524517,,52.17128963,51.86270025,20.40272032,,19.21772641,19.68521696,9.893402738
a_sp[33],,,,,28.45401649,28.58316309,13.01712061,,31.24274473,32.13567339,16.03898481,,15.53841661,17.22019863,1.913932823
a_sp[34],,,,,18.9979993,19.59102013,8.504729695,,19.03396848,20.80791464,6.984511277,,24.53189125,24.72352705,10.59494406
a_sp[35],,,,,15.12620619,16.83585362,0.163819671,,28.32757873,28.61737029,9.608484303,,21.88430212,22.09624097,7.453705045
a_sp[36],,,,,24.30268885,24.85931734,9.120896381,,19.0251481,19.62162497,5.37948629,,22.24527544,22.99307875,20.33970578
a_sp[37],,,,,21.7075261,22.17208146,6.431718794,,15.2184309,16.56477023,-3.17920701,,20.45410534,20.03493618,17.37567543
a_sp[38],,,,,22.00259716,22.75475552,19.24394965,,24.33105015,24.85709557,5.760433528,,,,
a_sp[39],,,,,20.28816821,20.01691909,16.09777415,,21.67128977,22.18422661,3.149642059,,,,
a_sp[40],,,,,13.9010866,17.31355626,2.083575787,,21.92177609,22.84975566,15.89481133,,,,
a_sp[41],,,,,,,,,20.29374474,19.99801436,12.95665731,,,,
a_sp[42],,,,,,,,,28.56583423,29.62687214,9.798960531,,,,
a_sp[43],,,,,,,,,13.8840807,16.94285795,-1.312517095,,,,
,,,,,,,,,,,,,,,
b_chill[1],,,,,-10.28191583,-10.66060947,-11.816997,,-10.2963803,-10.81712553,-11.69634491,,-9.500223509,-9.930597752,-11.48448956
b_chill[2],,,,,-8.273848017,-7.86000421,-9.048221492,,-7.76047745,-9.086304218,-8.698593999,,-8.071448976,-7.776044913,-9.566279265
b_chill[3],,,,,-11.27392315,-10.74277996,-14.66842322,,-11.33031258,-11.03634016,-14.49058423,,-10.6894167,-10.39716433,-14.31019295
b_chill[4],,,,,-4.840598591,-6.993696177,-9.750305201,,-4.843343739,-7.13616509,-9.51853502,,-4.824229416,-7.067405682,-9.709248761
b_chill[5],,,,,-14.8088036,-16.37435518,-18.23917365,,-15.02246441,-16.76435676,-18.1599296,,-6.438021443,-6.263142717,-9.539605573
b_chill[6],,,,,-6.512738729,-6.479227232,-9.678580156,,-6.720444255,-6.761005377,-9.59003936,,-11.77801098,-11.76611212,-13.18986799
b_chill[7],,,,,-12.15103321,-12.49877304,-13.48214396,,-12.26155334,-12.66578362,-13.33531409,,-7.412793051,-7.193199428,-8.048477823
b_chill[8],,,,,-7.492270769,-7.243252768,-8.039148856,,-7.597855562,-7.392928541,-8.092822775,,-6.618081575,-5.677365588,-4.074477558
b_chill[9],,,,,-6.62410727,-5.722539212,-4.071934294,,-6.882804604,-6.880310396,-9.916902805,,-3.609360465,-3.173759794,-4.758992204
b_chill[10],,,,,-3.586524788,-3.214991585,-4.768370018,,-6.627268997,-5.707837997,-4.079825826,,-14.50715677,-14.97743208,-12.97406903
b_chill[11],,,,,-15.14823819,-15.41289943,-12.91030841,,-3.604770531,-3.221444079,-4.773146555,,-7.947421032,-7.612867237,-8.729427455
b_chill[12],,,,,-8.340617823,-7.989742117,-8.745228271,,-15.19867181,-15.60016262,-12.90129674,,-7.868465703,-7.499820867,-9.152878615
b_chill[13],,,,,-8.115153058,-7.813940612,-9.258525035,,-8.304693168,-8.214185167,-8.705269723,,-8.837593733,-8.270877889,-11.99476278
b_chill[14],,,,,-8.884045899,-8.441954684,-12.13883415,,-8.137310022,-8.179383717,-9.357620447,,-20.17105961,-19.90262337,-16.38389769
b_chill[15],,,,,-20.23882044,-19.91777845,-16.38274363,,-9.028621154,-8.688002595,-12.12752818,,-11.06362917,-10.9350976,-11.67088008
b_chill[16],,,,,-11.53072077,-11.35662099,-12.24507734,,-20.27787918,-19.94392511,-16.39315658,,-7.999482978,-8.251964563,-9.345565623
b_chill[17],,,,,-8.455573519,-8.56789856,-9.568890618,,-8.120118074,-9.540686195,-9.693444378,,5.72117649,6.516708658,1.071395577
b_chill[18],,,,,6.713919632,6.734309974,1.562230714,,-8.381766733,-8.876243182,-9.687671465,,-6.067237895,-4.52999263,-8.44282259
b_chill[19],,,,,-4.607190783,-7.675166648,-6.380013634,,6.876851199,6.942081435,1.207297734,,-9.876317837,-9.652125199,-11.42037443
b_chill[20],,,,,-6.046831611,-4.547106917,-8.5108832,,-4.625732797,-7.760462851,-6.442544465,,-8.842613086,-8.649250416,-10.76535955
b_chill[21],,,,,-10.37597405,-10.03968073,-11.76724209,,-6.100029356,-4.536811977,-8.505409685,,-7.819523485,-7.423662985,-8.776289045
b_chill[22],,,,,-9.245845216,-9.219018104,-10.87465564,,-15.9240348,-16.68226415,-17.61009106,,-11.4932707,-11.9733023,-11.88063537
b_chill[23],,,,,-8.14585227,-7.7607087,-7.936067589,,-10.42160218,-10.15686285,-11.59180157,,3.155270734,2.699075812,-23.60458214
b_chill[24],,,,,-12.26875422,-12.61394183,-12.00235969,,-9.387709482,-9.402117457,-10.8189733,,-16.91962937,-16.57897159,-14.78072048
b_chill[25],,,,,3.23942492,2.735081327,-24.10565043,,-4.043661636,-4.269587838,-7.185749566,,-12.31847655,-12.18678328,-8.373102367
b_chill[26],,,,,-18.01267674,-17.38887192,-15.40234229,,-12.42747697,-12.92402189,-12.09097072,,-15.5123666,-15.48094754,-12.36534002
b_chill[27],,,,,-13.56360084,-13.3568846,-8.589141436,,3.241188241,2.742307984,-23.76528854,,-12.9367506,-11.92382098,-17.56823683
b_chill[28],,,,,-17.05488572,-16.78293666,-13.08122734,,-22.45733054,-21.50220636,-14.51850688,,-10.09574331,-9.861810045,-9.160274717
b_chill[29],,,,,-13.91687411,-12.47064015,-18.0165615,,-13.8364434,-13.97176247,-9.070113489,,-3.58949555,-5.159103656,-9.765988155
b_chill[30],,,,,-10.71863632,-10.20454667,-9.289674675,,-17.34010256,-17.54215203,-13.4534822,,-4.271816329,-5.528845383,-1.576699705
b_chill[31],,,,,-3.576002647,-5.209688475,-10.11426085,,-13.95045819,-12.7715218,-17.7339547,,-7.661741425,-7.398600943,-9.155850773
b_chill[32],,,,,-4.254953075,-5.472628298,-1.608414577,,-10.79439238,-10.39059435,-9.271229384,,-2.868790759,-2.562068985,-6.996492756
b_chill[33],,,,,-7.957355184,-7.774754818,-9.12965736,,-3.667119166,-5.329896427,-9.661235799,,-5.845648002,-6.140352358,-5.529684116
b_chill[34],,,,,-2.833453632,-2.605571429,-7.019623775,,-4.266829671,-5.524250961,-1.612080364,,-10.95350654,-10.57679005,-13.17492297
b_chill[35],,,,,-6.051798318,-6.726804602,-5.62975281,,-8.045074434,-8.116699085,-9.183601704,,-6.636990147,-6.060611324,-7.871163732
b_chill[36],,,,,-11.50393137,-11.08845684,-13.29578389,,-2.778595419,-2.702840168,-7.054708488,,-2.521714588,-2.460079306,-3.202913872
b_chill[37],,,,,-6.759723376,-6.402096746,-7.966345695,,-6.037181001,-7.036552279,-5.803965805,,-13.87855588,-14.20982788,-17.1996965
b_chill[38],,,,,-2.391602162,-2.532121938,-3.004883916,,-11.57693709,-11.42643516,-13.13332658,,,,
b_chill[39],,,,,-13.99756769,-14.22089105,-17.25270087,,-6.997486767,-6.592580835,-8.044120111,,,,
b_chill[40],,,,,-18.33765935,-18.18351147,-16.18699714,,-2.51872277,-2.528308977,-3.193677566,,,,
,,,,,,,,,-14.01322889,-14.26717842,-17.2337934,,,,
,,,,,,,,,-13.77107241,-14.15128258,-11.29765313,,,,
,,,,,,,,,-18.46387115,-18.40715151,-16.08495393,,,,
,,,,,,,,,,,,,,,
b_photo[1],,,,,-1.314056372,-0.856602355,-0.544571264,,-1.423800646,-0.930311384,-0.451675305,,-1.285140425,-1.178009122,-0.66891748
b_photo[2],,,,,-0.908520885,-1.412690798,-0.590099477,,-0.696619431,-0.791446813,-0.660091177,,-1.050093243,-1.546663719,-0.670658309
b_photo[3],,,,,1.447822467,1.718409356,0.25777751,,1.235173927,1.595781807,0.153620984,,1.31811365,1.278447071,-0.110703474
b_photo[4],,,,,-1.115551778,-0.692035295,-0.009398182,,-1.215682329,-0.842153881,-0.07326867,,-1.136582417,-1.229616222,-0.271506842
b_photo[5],,,,,0.67450552,2.536226211,0.578283217,,0.525051772,2.393490211,0.429796552,,-1.655398714,-1.533724243,-0.932859185
b_photo[6],,,,,-1.637185501,-1.234437561,-0.710835002,,-1.609101185,-1.356936565,-0.806830337,,-0.878173871,-2.58714674,0.35224562
b_photo[7],,,,,-0.845402715,-2.730139495,0.591433017,,-0.732153709,-2.677597419,0.566085458,,-0.685349712,-2.637413342,-0.099502486
b_photo[8],,,,,-0.65601653,-2.79234952,-0.00405944,,-0.695789021,-2.78054648,-0.024225016,,-0.790119149,-1.883789272,-1.849435077
b_photo[9],,,,,-0.795068149,-2.050729478,-1.840644105,,-0.732357789,-1.660329429,-0.476872952,,-0.780119219,-1.53699923,-1.863666062
b_photo[10],,,,,-0.800328117,-1.657334907,-1.862013133,,-0.780255387,-2.010012133,-1.842304489,,-1.155992488,-1.104314449,-0.294045943
b_photo[11],,,,,-0.916837434,-0.872782591,-0.110508079,,-0.795037496,-1.617099475,-1.849361308,,-1.936121127,-1.928990928,-0.881114804
b_photo[12],,,,,-1.804340635,-1.83032469,-0.719832437,,-0.967557299,-0.930486683,-0.129688306,,-0.422731005,-0.596721069,-0.293851798
b_photo[13],,,,,-0.33038604,-0.300572229,-0.049081429,,-1.851465888,-1.871795788,-0.75905675,,-0.37676339,0.130100777,0.032530197
b_photo[14],,,,,-0.290083766,0.343567556,0.135818351,,-0.558668074,-0.431187939,-0.026541545,,-14.3950712,-14.20194479,-7.281189528
b_photo[15],,,,,-14.33676053,-14.21962097,-7.418323521,,-0.349437318,0.224564276,0.113254659,,-1.0840509,-0.957379866,-0.775020704
b_photo[16],,,,,-0.936221391,-0.657259653,-0.590925296,,-14.31569091,-14.2101264,-7.355322409,,-1.937864524,-1.407386263,-1.207575679
