model,m2lni  (nointer_2level.stan),m2l.winsp (winternosp_2level.stan),m2l.wstudy (nointer_2level_studyint_ncp.stan),,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy,,m2lni ,m2l.winsp,m2l.wstudy
,,,,,,,,,,,,,,,
data info,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c",,"all f, p, c","all f, p, c","all f, p, c"
spcomplex,all spp,all sp,all sp,,sppcomplex,sppcomplex,sppcomplex,,sppcomplex.onecue,sppcomplex.onecue,sppcomplex.onecue,,sppcomplex.nocrops,sppcomplex.nocrops,sppcomplex.nocrops
diganostics,fine,fine,"Increased tree depth to 15, rhats>1.1 for all sp",,fine,fine,fine (!),,fine,fine,fine,,,,
model notes,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,PPC: yrep has negative nums,PPC: yrep has negative nums,,PPC: yrep has negative nums,,,,,,
,,,,,,,,,,,,,,,
N,3053,3053,3053,,2256,2256,2256,,2355,2355,2355,,2037,2037,2037
sp_n,203,203,203,,40,40,40,,43,43,43,,37,37,37
study_n,49,49,49,,43,43,43,,47,47,47,,37,37,37
preds centered,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,,,
,,,,,,,,,,,,,,,
b_force[30],,,,,-21.72127045,-22.01497075,-9.353164733,,-24.64519338,-24.26318565,-9.789997106,,10.90335988,9.400910246,0.611565668
b_force[31],,,,,-6.049309289,-6.466907193,-2.290951002,,-15.56802704,-16.05894522,-15.24358015,,-2.146160056,-2.453794622,-4.001714286
b_force[32],,,,,10.90681253,9.35906334,0.990250181,,-21.72299653,-22.04957718,-9.277322771,,-5.183272675,-3.486269638,-3.173295101
b_force[33],,,,,-1.916450079,-2.429934988,-2.491169758,,-6.126936554,-6.42492222,-2.216280107,,-5.518406638,-6.143527067,-7.083830209
b_force[34],,,,,-5.094963414,-3.497736916,-2.599368074,,10.94122601,9.38642567,0.985358134,,-3.654605663,-4.256219316,-5.09182873
b_force[35],,,,,-5.657205325,-6.544862974,-7.123804936,,-1.865363887,-2.502675411,-2.512879282,,-3.006440184,-3.646287528,-4.94527768
b_force[36],,,,,-3.565438778,-4.327350172,-4.253037827,,-5.082000604,-3.471938084,-2.593502395,,-9.944439407,-8.570354819,-7.768778405
b_force[37],,,,,-2.947494949,-3.664822634,-4.487791645,,-5.573488579,-6.547985076,-7.049870211,,-10.74156676,-9.124379923,-9.154966791
b_force[38],,,,,-10.01244798,-8.600828845,-7.601089452,,-3.500222985,-4.284481523,-4.181104488,,,,
b_force[39],,,,,-10.70658141,-9.123501517,-9.171868123,,-2.861417108,-3.684263003,-4.323806498,,,,
b_force[40],,,,,-0.3440957,-0.532980601,9.117653512,,-9.957180003,-8.530250844,-7.557110219,,,,
b_force[41],,,,,,,,,-10.72368386,-9.091585966,-9.174464611,,,,
b_force[42],,,,,,,,,-8.49320217,-8.702955562,-5.880740836,,,,
b_force[43],,,,,,,,,-0.305370406,-0.462072043,9.043439646,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
a_study[1],,,11.60170189,,,,3.028034985,,,,7.277114711,,,,2.17100142
a_study[2],,,18.95248712,,,,10.92973903,,,,15.10654297,,,,10.3421658
a_study[3],,,-11.64484884,,,,-25.62111066,,,,-20.93499357,,,,-11.107081
a_study[4],,,-3.240721308,,,,-10.51780825,,,,-6.413400335,,,,-2.4715067
a_study[5],,,6.088242514,,,,-2.228397992,,,,1.863600604,,,,-11.151966
a_study[6],,,-2.852871556,,,,-12.31187865,,,,-7.36848348,,,,-1.4448671
a_study[7],,,5.629708744,,,,-1.974878434,,,,2.525372016,,,,20.3559815
a_study[8],,,11.48188251,,,,-2.681535637,,,,7.539041755,,,,45.6776156
a_study[9],,,13.24621653,,,,20.6462625,,,,2.1302868,,,,19.647279
a_study[10],,,28.69484709,,,,46.08712012,,,,24.69342009,,,,22.9107613
a_study[11],,,54.5695902,,,,20.22020833,,,,50.13022828,,,,-10.089705
a_study[12],,,28.06196865,,,,23.02167782,,,,24.32209465,,,,22.1003595
a_study[13],,,31.38030128,,,,-9.430629386,,,,27.24414925,,,,80.8019926
a_study[14],,,6.350071064,,,,-5.820676902,,,,-5.437153806,,,,-10.808675
a_study[15],,,6.720706712,,,,22.48312287,,,,-1.625720283,,,,7.86616768
a_study[16],,,31.28815672,,,,82.13777713,,,,26.81025996,,,,1.55690334
a_study[17],,,90.81830981,,,,-20.41248583,,,,85.58450799,,,,23.0273889
a_study[18],,,-8.260659199,,,,-10.08918603,,,,-15.96246247,,,,6.2413885
a_study[19],,,1.82135237,,,,8.758287229,,,,-5.874254944,,,,10.4722208
a_study[20],,,17.4060649,,,,1.879010536,,,,12.84977626,,,,17.9285569
a_study[21],,,9.031083769,,,,23.40925303,,,,6.000315488,,,,98.0926013
a_study[22],,,35.16079499,,,,6.791020429,,,,27.54113498,,,,60.8193635
a_study[23],,,15.76462713,,,,10.46164672,,,,10.93103922,,,,-1.7423686
a_study[24],,,19.02767816,,,,18.20692236,,,,14.41456191,,,,-21.052972
a_study[25],,,27.35316843,,,,99.00954864,,,,22.27599848,,,,0.93584093
a_study[26],,,108.2649504,,,,60.88402597,,,,102.7068159,,,,20.5269953
a_study[27],,,7.128597537,,,,-1.0131657,,,,64.97643573,,,,-16.315481
a_study[28],,,70.85649091,,,,-20.33138856,,,,3.105705203,,,,22.1614727
a_study[29],,,7.777857728,,,,1.524130243,,,,-16.21771888,,,,17.3822953
a_study[30],,,-11.56627478,,,,20.56243938,,,,5.708648563,,,,7.74521454
a_study[31],,,10.60141661,,,,-15.90676114,,,,24.92352331,,,,34.5767653
a_study[32],,,33.3021642,,,,22.33228275,,,,-11.67803686,,,,63.9831165
a_study[33],,,-8.42238131,,,,18.03267759,,,,26.69868041,,,,-13.083289
a_study[34],,,31.53326759,,,,8.217925628,,,,21.82743225,,,,-12.34856
a_study[35],,,10.7631929,,,,35.43609262,,,,12.41184665,,,,15.7237828
a_study[36],,,26.36759619,,,,63.69625458,,,,38.59815481,,,,6.48780665
a_study[37],,,17.14517685,,,,39.23197322,,,,66.70785357,,,,15.8568511
a_study[38],,,49.6798761,,,,-12.22834016,,,,43.3425394,,,,
a_study[39],,,79.20295271,,,,-12.86056969,,,,-8.072911672,,,,
a_study[40],,,54.13947501,,,,13.44374092,,,,-8.248449411,,,,
a_study[41],,,-3.394236469,,,,14.49650705,,,,-1.651071368,,,,
a_study[42],,,1.175170287,,,,7.143275396,,,,24.6038799,,,,
a_study[43],,,13.30111006,,,,16.70767802,,,,17.92528868,,,,
a_study[44],,,26.83723205,,,,,,,,12.83318765,,,,
a_study[45],,,26.35427765,,,,,,,,18.41178442,,,,
a_study[46],,,11.12440851,,,,,,,,11.18494376,,,,
a_study[47],,,24.96927233,,,,,,,,20.54526349,,,,
a_study[48],,,14.10295571,,,,,,,,,,,,
a_study[49],,,22.41435761,,,,,,,,,,,,
,,,,,,,,,,,,,,,
For ALL species:,,,,,,,,,,,,,,,
a_sp[1],23.18252281,23.58509035,-4.905376416,,,,,,,,,,,,
a_sp[2],49.12924497,49.32299273,16.57327321,,,,,,,,,,,,
a_sp[3],50.4725286,49.71059714,17.84701973,,,,,,,,,,,,
a_sp[4],22.4691675,21.78724294,-3.133959997,,,,,,,,,,,,
a_sp[5],21.49404633,21.17022542,-8.364584277,,,,,,,,,,,,
a_sp[6],31.7245395,30.86563101,2.450393507,,,,,,,,,,,,
a_sp[7],31.61905035,31.64654131,0.186006504,,,,,,,,,,,,
a_sp[8],17.34265682,17.84152153,-2.068352034,,,,,,,,,,,,
a_sp[9],30.6584691,29.7275075,4.289063765,,,,,,,,,,,,
a_sp[10],18.84553373,20.63245169,-6.189922039,,,,,,,,,,,,
a_sp[11],18.01917367,17.63655201,-6.270926923,,,,,,,,,,,,
a_sp[12],20.32679431,19.6446996,-5.103265735,,,,,,,,,,,,
a_sp[13],45.62411054,45.70344363,-10.60094162,,,,,,,,,,,,
a_sp[14],56.3178659,56.21933485,0.558627431,,,,,,,,,,,,
a_sp[15],59.68157316,60.08533308,8.812571963,,,,,,,,,,,,
a_sp[16],26.57015942,28.40332239,-4.263645195,,,,,,,,,,,,
a_sp[17],40.08814749,40.31858384,11.65374506,,,,,,,,,,,,
a_sp[18],33.1444156,33.40069989,4.079493856,,,,,,,,,,,,
a_sp[19],21.49840837,21.81886047,-7.514188656,,,,,,,,,,,,
a_sp[20],19.5557826,20.04184842,-9.924608383,,,,,,,,,,,,
a_sp[21],38.1704486,37.77281009,11.78652485,,,,,,,,,,,,
a_sp[22],43.91517057,44.29584118,14.14135289,,,,,,,,,,,,
a_sp[23],22.50246354,22.85873752,-10.21779772,,,,,,,,,,,,
a_sp[24],24.18338296,24.40895895,-3.942225472,,,,,,,,,,,,
a_sp[25],38.35044502,38.58091394,10.31304151,,,,,,,,,,,,
a_sp[26],21.7548738,22.49428856,7.728393063,,,,,,,,,,,,
a_sp[27],14.16907182,15.95069503,-14.34997343,,,,,,,,,,,,
a_sp[28],39.07303516,38.8870377,12.57331703,,,,,,,,,,,,
a_sp[29],21.40686236,19.48282453,5.614758335,,,,,,,,,,,,
a_sp[30],15.04204178,17.99071795,-18.14433937,,,,,,,,,,,,
a_sp[31],10.93947902,10.86168238,-0.527933314,,,,,,,,,,,,
a_sp[32],30.94878955,31.52508071,6.155950397,,,,,,,,,,,,
a_sp[33],31.77836569,32.62309837,6.857129886,,,,,,,,,,,,
a_sp[34],22.40203776,23.8780697,-0.935556597,,,,,,,,,,,,
a_sp[35],14.26500561,16.75271363,-7.496849321,,,,,,,,,,,,
a_sp[36],12.20336885,11.29515396,-8.431513124,,,,,,,,,,,,
a_sp[37],13.64723558,12.74126883,-7.224649809,,,,,,,,,,,,
a_sp[38],21.49520766,21.64863492,-3.786058005,,,,,,,,,,,,
a_sp[39],21.17868864,20.13206478,0.233546954,,,,,,,,,,,,
a_sp[40],24.3142606,24.25277253,-1.016390062,,,,,,,,,,,,
a_sp[41],23.82847687,22.89022814,3.035079525,,,,,,,,,,,,
a_sp[42],19.25394258,20.48830633,-12.83481819,,,,,,,,,,,,
a_sp[43],29.5721326,30.0169288,0.028862972,,,,,,,,,,,,
a_sp[44],25.26263714,25.28747668,-3.5407385,,,,,,,,,,,,
a_sp[45],31.53107531,31.37301116,3.704789346,,,,,,,,,,,,
a_sp[46],27.84805598,27.80476736,-2.42008942,,,,,,,,,,,,
a_sp[47],23.14818842,23.12193125,-5.994276806,,,,,,,,,,,,
a_sp[48],35.56851029,35.54616469,7.007726093,,,,,,,,,,,,
a_sp[49],33.23166138,33.05035798,3.910306997,,,,,,,,,,,,
a_sp[50],34.28575046,34.12961562,6.085905109,,,,,,,,,,,,
a_sp[51],35.31222007,35.09846578,7.030862027,,,,,,,,,,,,
a_sp[52],37.84853146,38.28781059,9.732278419,,,,,,,,,,,,
a_sp[53],30.59808056,30.55677921,2.130735497,,,,,,,,,,,,
a_sp[54],26.86809278,26.81106125,-2.132149127,,,,,,,,,,,,
a_sp[55],30.38438594,30.575155,1.981637685,,,,,,,,,,,,
a_sp[56],24.85647782,24.72033625,-4.015673991,,,,,,,,,,,,
a_sp[57],25.47784563,25.80348734,-2.954483343,,,,,,,,,,,,
a_sp[58],27.41910493,27.70078872,-1.323340518,,,,,,,,,,,,
a_sp[59],33.22291882,32.76619427,3.954921123,,,,,,,,,,,,
a_sp[60],26.47707166,26.41808122,-1.721133995,,,,,,,,,,,,
a_sp[61],34.13730941,34.27168665,5.756903804,,,,,,,,,,,,
a_sp[62],52.3203735,52.04651495,11.30888184,,,,,,,,,,,,
a_sp[63],23.81168289,24.06115991,-5.157217673,,,,,,,,,,,,
a_sp[64],51.43350323,52.69797357,11.47251548,,,,,,,,,,,,
a_sp[65],36.82772094,37.93643395,-0.905759219,,,,,,,,,,,,
a_sp[66],23.96234816,25.26838518,-4.930730324,,,,,,,,,,,,
a_sp[67],37.13238462,37.87764415,2.433631164,,,,,,,,,,,,
a_sp[68],35.44272531,36.72572434,0.114867536,,,,,,,,,,,,
a_sp[69],40.65050084,41.17687751,7.977228045,,,,,,,,,,,,
a_sp[70],42.0037483,42.4142496,8.691504261,,,,,,,,,,,,
a_sp[71],27.36232925,27.693047,-7.279029634,,,,,,,,,,,,
a_sp[72],15.56726345,15.85678095,-19.90879397,,,,,,,,,,,,
a_sp[73],17.40803043,17.77836666,-17.94286085,,,,,,,,,,,,
a_sp[74],16.45363385,16.65949405,-19.13118905,,,,,,,,,,,,
a_sp[75],40.04444896,40.457723,6.574495088,,,,,,,,,,,,
a_sp[76],15.03034881,15.40627812,-20.49535872,,,,,,,,,,,,
a_sp[77],28.51703764,28.94486132,-5.431346181,,,,,,,,,,,,
a_sp[78],32.62333648,33.19124657,-1.538851594,,,,,,,,,,,,
a_sp[79],63.45323465,64.08111632,33.59380905,,,,,,,,,,,,
a_sp[80],66.23966317,66.94735281,36.38693284,,,,,,,,,,,,
a_sp[81],82.29990448,83.11249742,53.83861822,,,,,,,,,,,,
a_sp[82],37.96578111,38.31711202,4.44625198,,,,,,,,,,,,
a_sp[83],34.33874461,34.71636617,0.363011677,,,,,,,,,,,,
a_sp[84],38.06758243,38.58891253,5.184651295,,,,,,,,,,,,
a_sp[85],47.52676547,48.09646169,15.72765151,,,,,,,,,,,,
a_sp[86],47.38192062,47.76045788,15.00293039,,,,,,,,,,,,
a_sp[87],33.02022703,33.44055736,-0.533221609,,,,,,,,,,,,
a_sp[88],33.13552258,33.71024385,0.035954973,,,,,,,,,,,,
a_sp[89],44.18917218,44.55874217,11.26079657,,,,,,,,,,,,
a_sp[90],39.04432027,39.4746603,5.23628173,,,,,,,,,,,,
a_sp[91],49.61083709,50.18047314,17.98722582,,,,,,,,,,,,
a_sp[92],31.48124628,31.80963849,-2.806993326,,,,,,,,,,,,
a_sp[93],28.51335774,28.70684185,-5.632977676,,,,,,,,,,,,
a_sp[94],32.94580517,33.21417448,-0.693889312,,,,,,,,,,,,
a_sp[95],34.38228261,34.99305771,1.356546321,,,,,,,,,,,,
a_sp[96],29.66937286,30.18485559,-4.029812974,,,,,,,,,,,,
a_sp[97],29.41608912,29.77239178,-4.635766687,,,,,,,,,,,,
a_sp[98],32.36414658,32.75003453,-1.34588137,,,,,,,,,,,,
a_sp[99],21.20033288,21.56716435,-13.71265392,,,,,,,,,,,,
a_sp[100],35.13294135,35.65229687,1.759858078,,,,,,,,,,,,
a_sp[101],25.55831662,25.71686565,-8.920332928,,,,,,,,,,,,
a_sp[102],38.88311914,39.4118855,5.882632142,,,,,,,,,,,,
a_sp[103],41.58627889,42.0074543,8.254611137,,,,,,,,,,,,
a_sp[104],31.47977844,31.74651972,-2.447297443,,,,,,,,,,,,
a_sp[105],33.31939255,33.76846034,0.19804924,,,,,,,,,,,,
a_sp[106],23.34391018,23.56964675,-11.43873287,,,,,,,,,,,,
a_sp[107],44.73423549,45.27430368,12.80060828,,,,,,,,,,,,
a_sp[108],18.25364819,18.42515391,-16.90320624,,,,,,,,,,,,
a_sp[109],15.8853328,15.98481751,-19.42644073,,,,,,,,,,,,
a_sp[110],26.05280869,26.5163503,-8.714169312,,,,,,,,,,,,
a_sp[111],13.75922774,14.0272791,-21.86993104,,,,,,,,,,,,
a_sp[112],21.97914206,22.32916623,-12.99031307,,,,,,,,,,,,
a_sp[113],26.1678838,26.49672698,-8.099243152,,,,,,,,,,,,
a_sp[114],22.27847988,22.44982495,-12.6615033,,,,,,,,,,,,
a_sp[115],53.61068715,53.99893779,22.62863627,,,,,,,,,,,,
a_sp[116],19.93551113,20.22762148,-15.34702752,,,,,,,,,,,,
a_sp[117],22.00274917,22.43072558,-12.9571023,,,,,,,,,,,,
a_sp[118],53.36843954,53.94289385,21.76197326,,,,,,,,,,,,
a_sp[119],69.29894419,69.91328644,39.26467123,,,,,,,,,,,,
a_sp[120],29.85311053,30.05752164,-5.12239486,,,,,,,,,,,,
a_sp[121],32.37188748,32.76834927,-1.126521765,,,,,,,,,,,,
a_sp[122],30.864857,31.37661026,-2.817644788,,,,,,,,,,,,
a_sp[123],25.71902588,26.24268909,-8.501724109,,,,,,,,,,,,
a_sp[124],18.42663725,18.72249486,-16.8221579,,,,,,,,,,,,
a_sp[125],18.75569448,18.93317632,-16.60234246,,,,,,,,,,,,
a_sp[126],14.25462411,14.31385883,-22.17312149,,,,,,,,,,,,
a_sp[127],14.51396221,14.70908908,-21.05918911,,,,,,,,,,,,
a_sp[128],30.0362619,30.53797294,-3.70430967,,,,,,,,,,,,
a_sp[129],24.98820302,25.32418523,-9.37926716,,,,,,,,,,,,
a_sp[130],18.35860169,18.55984698,-16.85343546,,,,,,,,,,,,
a_sp[131],45.73922433,46.37376014,13.66329096,,,,,,,,,,,,
a_sp[132],43.41704229,44.01304587,11.05308116,,,,,,,,,,,,
a_sp[133],35.6085042,35.95314524,2.006969984,,,,,,,,,,,,
a_sp[134],31.67377117,32.19098064,-2.830447295,,,,,,,,,,,,
a_sp[135],27.28918496,27.64490948,-7.210119213,,,,,,,,,,,,
a_sp[136],14.64400556,14.87120995,-20.98046342,,,,,,,,,,,,
a_sp[137],19.53738461,19.81577136,-15.31685146,,,,,,,,,,,,
a_sp[138],30.60616607,31.06158246,-2.863243999,,,,,,,,,,,,
a_sp[139],15.60839614,15.90344173,-19.79161018,,,,,,,,,,,,
a_sp[140],17.28474271,17.70284638,-17.85215085,,,,,,,,,,,,
a_sp[141],18.39879689,18.63498993,-17.13170611,,,,,,,,,,,,
a_sp[142],20.72087694,21.09407739,-14.24102347,,,,,,,,,,,,
a_sp[143],20.00907654,20.03927321,-15.20670178,,,,,,,,,,,,
a_sp[144],20.87202051,21.24434712,-14.09473277,,,,,,,,,,,,
a_sp[145],23.7386981,24.25389393,-10.93879614,,,,,,,,,,,,
a_sp[146],21.62692087,21.89831152,-13.34778275,,,,,,,,,,,,
a_sp[147],39.30250801,39.79113695,6.210762792,,,,,,,,,,,,
a_sp[148],22.91980764,23.37718398,-11.77662756,,,,,,,,,,,,
a_sp[149],18.90374415,19.17952099,-16.27426715,,,,,,,,,,,,
a_sp[150],17.77664412,17.90312454,-17.69806903,,,,,,,,,,,,
a_sp[151],37.40960034,37.97325456,4.581108403,,,,,,,,,,,,
a_sp[152],23.62831362,23.88288584,-10.90648841,,,,,,,,,,,,
a_sp[153],35.67541197,36.11639227,1.990693586,,,,,,,,,,,,
a_sp[154],22.77762368,23.10461672,-12.01698179,,,,,,,,,,,,
a_sp[155],23.11559615,23.25131982,-11.57787224,,,,,,,,,,,,
a_sp[156],46.38312229,47.13036289,14.44263944,,,,,,,,,,,,
a_sp[157],25.21569668,25.60302228,-9.146807747,,,,,,,,,,,,
a_sp[158],38.46080917,38.81370864,5.619764501,,,,,,,,,,,,
a_sp[159],20.28371896,20.53453651,-14.59954768,,,,,,,,,,,,
a_sp[160],39.33009379,39.84925912,6.708766859,,,,,,,,,,,,
a_sp[161],24.03992676,24.44288404,-10.54363565,,,,,,,,,,,,
a_sp[162],22.09437401,22.20281015,-12.88075214,,,,,,,,,,,,
a_sp[163],31.09356198,31.39299459,-2.771155032,,,,,,,,,,,,
a_sp[164],62.89180702,63.61800638,32.67852069,,,,,,,,,,,,
a_sp[165],27.82158936,28.11920161,-6.846494986,,,,,,,,,,,,
a_sp[166],32.05768245,32.54632208,-2.060001789,,,,,,,,,,,,
a_sp[167],36.31432434,36.70667692,2.314359632,,,,,,,,,,,,
a_sp[168],32.07585741,32.72038694,-1.469338777,,,,,,,,,,,,
a_sp[169],45.59996907,46.18558519,13.71599372,,,,,,,,,,,,
a_sp[170],33.9484399,34.22853986,0.384747336,,,,,,,,,,,,
a_sp[171],42.4682432,42.9016195,10.18249514,,,,,,,,,,,,
a_sp[172],24.16360608,24.26838334,-10.53542553,,,,,,,,,,,,
a_sp[173],38.05011152,38.46187168,4.462172535,,,,,,,,,,,,
a_sp[174],21.11833419,21.46187325,-13.76965428,,,,,,,,,,,,
a_sp[175],35.1059299,35.46907587,1.322614765,,,,,,,,,,,,
a_sp[176],36.40025328,36.96490563,3.508997426,,,,,,,,,,,,
a_sp[177],30.1932909,30.69993022,-4.144629121,,,,,,,,,,,,
a_sp[178],32.18968733,32.69836313,-1.521236359,,,,,,,,,,,,
a_sp[179],33.42551634,33.8516966,-0.217597135,,,,,,,,,,,,
a_sp[180],15.63695113,15.94493694,-19.7746719,,,,,,,,,,,,
a_sp[181],26.00702587,26.19790832,-9.18511703,,,,,,,,,,,,
a_sp[182],45.15094166,45.71060997,13.05184635,,,,,,,,,,,,
a_sp[183],35.4048178,35.67514534,2.289049752,,,,,,,,,,,,
a_sp[184],29.37809677,29.61057177,-4.649874335,,,,,,,,,,,,
a_sp[185],20.77034046,21.09273856,-15.07794851,,,,,,,,,,,,
a_sp[186],37.65441973,38.28985454,4.769120128,,,,,,,,,,,,
a_sp[187],35.36416065,35.8360019,2.144623494,,,,,,,,,,,,
a_sp[188],44.01230198,44.41981644,11.61354152,,,,,,,,,,,,
a_sp[189],31.47342285,31.92094087,-2.119805331,,,,,,,,,,,,
a_sp[190],39.73010241,40.33146867,7.187754977,,,,,,,,,,,,
a_sp[191],20.09866192,20.24561955,-15.0681455,,,,,,,,,,,,
a_sp[192],29.10319808,29.54815483,-5.173694324,,,,,,,,,,,,
a_sp[193],21.07896772,21.39350907,-13.87125604,,,,,,,,,,,,
a_sp[194],23.32132241,23.45197018,-11.42275758,,,,,,,,,,,,
a_sp[195],33.74867628,34.10066755,0.291426005,,,,,,,,,,,,
a_sp[196],25.61606777,25.97261429,-9.125492308,,,,,,,,,,,,
a_sp[197],24.10075875,24.47862263,-10.28657835,,,,,,,,,,,,
a_sp[198],24.46801989,24.94229168,-10.15157192,,,,,,,,,,,,
a_sp[199],26.85146382,27.18534624,-8.00572702,,,,,,,,,,,,
a_sp[200],12.29284291,12.51965161,-24.19459481,,,,,,,,,,,,
a_sp[201],14.0276441,14.3234217,-21.56759712,,,,,,,,,,,,
a_sp[202],19.36180947,19.52552428,-15.84139805,,,,,,,,,,,,
a_sp[203],29.29992645,29.4196043,-4.944462925,,,,,,,,,,,,
b_chill[1],-6.413564347,-6.293163616,-7.629693794,,,,,,,,,,,,
b_chill[2],-20.20324767,-19.95125604,-16.31247558,,,,,,,,,,,,
b_chill[3],3.6572194,2.967400652,-24.4070813,,,,,,,,,,,,
b_chill[4],-6.632298506,-5.697588567,-4.02862384,,,,,,,,,,,,
b_chill[5],-11.43433355,-11.64167356,-11.27150975,,,,,,,,,,,,
b_chill[6],-9.833601371,-9.542404075,-10.94101548,,,,,,,,,,,,
b_chill[7],-7.611685723,-7.169615772,-7.379621613,,,,,,,,,,,,
b_chill[8],-3.618303193,-3.172540499,-4.756459388,,,,,,,,,,,,
b_chill[9],-11.29424179,-11.51857857,-13.04282305,,,,,,,,,,,,
b_chill[10],-4.241998547,-5.394851394,-1.573961122,,,,,,,,,,,,
b_chill[11],-6.053660883,-5.875739435,-8.694887476,,,,,,,,,,,,
b_chill[12],-4.17200189,-4.544769568,-4.369125726,,,,,,,,,,,,
b_chill[13],-11.66664488,-11.55561472,-8.55063983,,,,,,,,,,,,
b_chill[14],-14.24214751,-14.02609772,-10.77565748,,,,,,,,,,,,
b_chill[15],-13.27405646,-13.42059383,-11.54390299,,,,,,,,,,,,
b_chill[16],-7.106004737,-7.552306049,-8.467070395,,,,,,,,,,,,
b_chill[17],-10.90340367,-10.45087596,-14.33112412,,,,,,,,,,,,
b_chill[18],-6.853489969,-6.672464616,-8.607247968,,,,,,,,,,,,
b_chill[19],-7.19127407,-6.648800567,-7.050644258,,,,,,,,,,,,
b_chill[20],-8.791727553,-8.330126048,-10.8872313,,,,,,,,,,,,
b_chill[21],-8.41266143,-8.476397233,-9.075295978,,,,,,,,,,,,
b_chill[22],-6.216231983,-4.615476207,-8.472316612,,,,,,,,,,,,
b_chill[23],4.586739218,5.403525027,2.906802549,,,,,,,,,,,,
b_chill[24],-8.98949245,-8.950662993,-10.3548908,,,,,,,,,,,,
b_chill[25],-12.84804414,-11.86262477,-17.85798952,,,,,,,,,,,,
b_chill[26],-2.9440934,-2.854312549,-2.58855973,,,,,,,,,,,,
b_chill[27],-6.92630731,-7.547048383,-6.745589027,,,,,,,,,,,,
b_chill[28],-9.702370084,-10.05953399,-11.1606885,,,,,,,,,,,,
b_chill[29],-13.78755938,-15.6265692,-17.30224654,,,,,,,,,,,,
b_chill[30],-17.26732174,-17.51033787,-17.31215035,,,,,,,,,,,,
b_chill[31],-5.429752475,-5.409743747,-5.32111091,,,,,,,,,,,,
b_chill[32],-3.874032405,-5.244016871,-9.294330244,,,,,,,,,,,,
b_chill[33],-4.983390804,-7.200438415,-9.890939213,,,,,,,,,,,,
b_chill[34],-10.19191912,-10.7810309,-13.77876366,,,,,,,,,,,,
b_chill[35],-4.963686419,-8.303563173,-6.335033294,,,,,,,,,,,,
b_chill[36],-11.35399843,-12.06295381,-12.3867746,,,,,,,,,,,,
b_chill[37],-14.77547967,-15.489393,-16.15185599,,,,,,,,,,,,
b_chill[38],-14.56091721,-14.96570826,-17.1713002,,,,,,,,,,,,
b_chill[39],-14.96793794,-15.71879125,-16.33089327,,,,,,,,,,,,
b_chill[40],-16.16075868,-16.6229643,-19.19268638,,,,,,,,,,,,
b_chill[41],-15.49126029,-16.2181437,-16.81485398,,,,,,,,,,,,
b_chill[42],-3.448486534,-3.722725461,-2.297967747,,,,,,,,,,,,
b_chill[43],-14.22513714,-14.71338923,-12.0654026,,,,,,,,,,,,
b_chill[44],-8.820924918,-8.545146445,-9.040269628,,,,,,,,,,,,
b_chill[45],-5.428316598,-5.363343649,-3.916870482,,,,,,,,,,,,
b_chill[46],-8.087960769,-7.747846351,-7.910889894,,,,,,,,,,,,
b_chill[47],-8.136578514,-7.79651501,-8.355722519,,,,,,,,,,,,
b_chill[48],-7.942531175,-8.12235081,-8.04609438,,,,,,,,,,,,
b_chill[49],-6.560276969,-6.483781222,-6.036210246,,,,,,,,,,,,
b_chill[50],-9.65370546,-9.767573406,-10.59831204,,,,,,,,,,,,
b_chill[51],-9.18983544,-9.428481617,-9.886989698,,,,,,,,,,,,
b_chill[52],-7.712789035,-7.91115371,-7.526056103,,,,,,,,,,,,
b_chill[53],-6.817620593,-6.994945921,-6.328681998,,,,,,,,,,,,
b_chill[54],-8.375283687,-8.278460744,-8.361213241,,,,,,,,,,,,
b_chill[55],-9.368624255,-9.435124566,-10.10921409,,,,,,,,,,,,
b_chill[56],-7.789911841,-7.6685082,-7.893696277,,,,,,,,,,,,
b_chill[57],-10.07319388,-10.10323493,-11.66884297,,,,,,,,,,,,
b_chill[58],-7.866234034,-7.695412045,-8.23323239,,,,,,,,,,,,
b_chill[59],-7.675257891,-7.690252237,-7.517788366,,,,,,,,,,,,
b_chill[60],-10.26387092,-10.02476427,-11.88217927,,,,,,,,,,,,
b_chill[61],-9.402607063,-9.529421539,-10.07120177,,,,,,,,,,,,
b_chill[62],-10.39582696,-10.066126,-8.483591288,,,,,,,,,,,,
b_chill[63],-10.60981752,-10.26989257,-12.17177052,,,,,,,,,,,,
b_chill[64],-7.948725594,-7.845838201,-9.073006627,,,,,,,,,,,,
b_chill[65],-12.91495474,-13.31760053,-12.42069645,,,,,,,,,,,,
b_chill[66],-14.37338255,-15.10296317,-18.41422602,,,,,,,,,,,,
b_chill[67],-8.175890114,-10.16820356,-8.471280493,,,,,,,,,,,,
b_chill[68],-8.141462998,-10.27560655,-8.34151672,,,,,,,,,,,,
b_chill[69],-9.145596391,-8.82838465,-10.18363142,,,,,,,,,,,,
