"","V1","V2","V3","V4"
"mu_a_sp",60.66,-0.7,-0.52,-2.8
"sigma_a_sp",17.19,0.89,0.68,1.64
"a_sp[1]",72.49,-1.16,-0.67,-2.92
"a_sp[2]",45.24,0.36,-0.51,-2.58
"a_sp[3]",81.14,-1.08,-1.03,-2.47
"a_sp[4]",54.53,-0.44,-0.51,-1.59
"a_sp[5]",52.47,0.16,-0.52,-2.53
"a_sp[6]",69.71,-1.14,-0.13,-3.02
"a_sp[7]",68.68,-1.25,-0.18,-2.2
"a_sp[8]",73.48,-1.81,-0.49,-0.81
"a_sp[9]",32.73,-0.32,-0.11,-1.58
"a_sp[10]",38.49,-0.74,-0.22,-1.09
"a_sp[11]",57.64,-0.13,-0.45,-4.08
"a_sp[12]",49.46,0.28,-0.71,-2.75
"a_sp[13]",49.76,-0.6,-0.6,-2.76
"a_sp[14]",52.24,-0.82,-0.39,-2.83
"a_sp[15]",89.68,-0.38,-1.99,-2.75
"a_sp[16]",63.3,0.86,-0.86,-3.37
"a_sp[17]",64.77,-0.92,-0.55,-2.58
"a_sp[18]",47.68,-0.42,-0.58,-2.86
"a_sp[19]",85.44,-1.46,-0.35,-2.47
"a_sp[20]",58.71,-0.4,-0.48,-4.54
"a_sp[21]",55.6,-0.87,-0.07,-2.53
"a_sp[22]",51.46,-0.73,-0.52,-3.16
"a_sp[23]",49.94,-0.42,-0.43,-2.81
"a_sp[24]",62.42,-1.14,-0.25,-3.3
"a_sp[25]",87.4,-1.96,1.16,-7.32
"a_sp[26]",55.68,0.4,-0.51,-2.76
"a_sp[27]",91.17,-1.74,-0.73,-2.29
"a_sp[28]",54.19,0,-0.6,-1.94
"a_sp[29]",62.68,-1.12,-0.49,-2.77
"a_sp[30]",49.78,-0.05,-0.5,-2.85
"a_sp[31]",53.82,-0.95,-0.88,-1.21
"a_sp[32]",52.5,-1.09,-0.47,-3.21
"a_sp[33]",51.87,-0.49,-0.55,-3.24
"a_sp[34]",47.01,-0.2,-0.63,-2.76
"a_sp[35]",66.4,-1.67,-0.94,-1.25
"a_sp[36]",85.52,-1.95,-0.72,-4.07
"a_sp[37]",66.01,-0.43,-0.86,-4.2
