"","V1","V2","V3","V4"
"mu_a_sp",65.49,-0.78,-0.52,-0.25
"sigma_a_sp",19.53,0.98,0.59,0.19
"a_sp[1]",73.07,-1.56,-0.74,-0.16
"a_sp[2]",54.23,0.22,-0.52,-0.28
"a_sp[3]",89.72,-1.16,-0.98,-0.26
"a_sp[4]",67.43,-0.53,-0.43,-0.28
"a_sp[5]",56.09,0.14,-0.51,-0.22
"a_sp[6]",80.07,-1.24,-0.18,-0.32
"a_sp[7]",73.11,-1.33,-0.21,-0.2
"a_sp[8]",82.03,-2.01,-0.46,-0.12
"a_sp[9]",43.22,-0.68,-0.11,-0.23
"a_sp[10]",42.29,-0.82,-0.2,-0.16
"a_sp[11]",63.39,-0.06,-0.44,-0.38
"a_sp[12]",50.47,0.36,-0.68,-0.23
"a_sp[13]",51.5,-0.57,-0.57,-0.23
"a_sp[14]",52.82,-0.95,-0.41,-0.18
"a_sp[15]",93.54,-0.54,-1.94,-0.23
"a_sp[16]",71.61,0.61,-0.9,-0.32
"a_sp[17]",66.33,-1.21,-0.58,-0.16
"a_sp[18]",50.69,-0.45,-0.57,-0.22
"a_sp[19]",86.05,-1.75,-0.26,-0.16
"a_sp[20]",64.97,-0.61,-0.52,-0.4
"a_sp[21]",58.12,-0.91,-0.11,-0.21
"a_sp[22]",57.17,-0.83,-0.5,-0.28
"a_sp[23]",51.82,-0.43,-0.43,-0.23
"a_sp[24]",67.31,-1.25,-0.3,-0.29
"a_sp[25]",109.07,-2.81,0.32,-0.75
"a_sp[26]",59.69,0.61,-0.52,-0.27
"a_sp[27]",103.12,-1.86,-0.66,-0.28
"a_sp[28]",54.53,0.04,-0.6,-0.15
"a_sp[29]",67,-1.04,-0.48,-0.25
"a_sp[30]",51.66,0.03,-0.49,-0.24
"a_sp[31]",47.01,-1.06,-0.77,0.02
"a_sp[32]",58.47,-0.71,-0.29,-0.29
"a_sp[33]",55.12,-0.43,-0.53,-0.28
"a_sp[34]",47.58,-0.22,-0.63,-0.19
"a_sp[35]",57.66,-1.71,-0.82,0.06
"a_sp[36]",92.9,-1.97,-0.71,-0.35
"a_sp[37]",80.79,-0.05,-0.54,-0.71
