mu_b_force_sp,-0.224,-6.739,-0.221340543,-6.643626082,-0.236453994,-7.196205688,-0.208213246,-6.194859481,-0.161227886,-4.682163713,-0.201331178,-5.991075931,-0.180989381,-5.27269851,-0.201333591,-5.951022798
b_force[15],-0.138,-3.991,-0.32204959,-10.18883816,-0.351243748,-11.35300254,-0.124721047,-3.554921268,,,,,-0.404681672,-13.25666794,-0.447327415,-15.05218168
b_force[16],-0.46,-15.715,-0.124944925,-3.568839978,-0.136231553,-3.937278314,-0.419009362,-13.92864291,,,,,-0.114038361,-3.210223627,-0.152502174,-4.395773501
b_force[17],-0.153,-4.448,-0.423701042,-14.14826933,-0.437287919,-14.79716167,-0.113246493,-3.209031172,,,,,-0.103070715,-2.885326282,-0.138364618,-3.959496859
b_force[18],-0.139,-3.995,-0.11426364,-3.246017611,-0.153143759,-4.46456014,-0.106184456,-2.998117025,,,,,-0.241382673,-7.255400903,-0.223784941,-6.691971209
b_force[19],-0.151,-4.364,-0.106456854,-3.012243326,-0.135486218,-3.914245105,-0.21112907,-6.291097437,,,,,-0.194448936,-5.704262564,-0.202873341,-6.001308642
b_force[20],-0.223,-6.727,-0.219605545,-6.585623971,-0.157341949,-4.596837017,-0.24183259,-7.321698476,,,,,0.020808791,0.547295663,-0.033103493,-0.898059405
b_force[21],-0.207,-6.172,-0.24106825,-7.310262458,-0.225060051,-6.809043257,-0.201357427,-5.969682874,,,,,0.023563353,0.618894073,-0.032731294,-0.887795934
b_force[22],-0.035,-0.946,-0.076652733,-2.136355094,-0.096117605,-2.721711559,0.021256621,0.562875762,,,,,-0.289741983,-8.931657749,-0.217345823,-6.477760819
b_force[23],-0.03,-0.823,-0.201963632,-6.001522303,-0.207587888,-6.223847961,0.026410149,0.697548718,,,,,-0.369982422,-11.89821705,-0.373622931,-12.08678779
b_force[24],-0.229,-6.904,0.021174603,0.561849418,-0.035949328,-0.987462874,-0.305530577,-9.563429419,,,,,-0.317354263,-9.925760434,-0.375769947,-12.17011506
b_force[25],-0.377,-12.317,0.021941006,0.581963006,-0.035908728,-0.986327539,-0.373845988,-12.13177729,,,,,-0.348084752,-11.06488363,-0.343312714,-10.92931885
b_force[26],-0.384,-12.595,-0.309564208,-9.729690487,-0.226846021,-6.869438749,-0.323071179,-10.20622839,,,,,-0.210103724,-6.213575859,-0.237171652,-7.14174658
b_force[27],-0.344,-11.046,-0.3752348,-12.21022762,-0.383702983,-12.61759128,-0.348702357,-11.16602714,,,,,-0.157636439,-4.537560242,-0.18221295,-5.332980462
b_force[28],-0.248,-7.56,-0.324899483,-10.2944485,-0.391330083,-12.92074096,-0.224639422,-6.740692861,,,,,0.74881117,14.00733371,0.71023165,13.56713475
b_force[29],-0.188,-5.572,-0.352307303,-11.32563266,-0.339466359,-10.90421823,-0.16757938,-4.882519621,,,,,0.001647882,0.04375767,-0.006650934,-0.178053597
b_force[30],0.724,13.844,-0.226803355,-6.826910093,-0.253643251,-7.788702509,0.761142017,14.2608389,,,,,-0.377597149,-12.19230424,-0.401472836,-13.18167843
b_force[31],-0.003,-0.071,-0.177640613,-5.212929617,-0.2034386,-6.086371777,0.003016156,0.080598122,,,,,-0.244688006,-7.367409202,-0.282418111,-8.70731554
b_force[32],-0.422,-14.125,0.762650335,14.30826904,0.727507955,13.94431708,-0.396072747,-13.00594904,,,,,-0.107435994,-3.014213336,-0.12926338,-3.681883906
b_force[33],-0.293,-9.161,0.000503203,0.013490505,0.001724392,0.046479544,-0.250576686,-7.621040399,,,,,-0.104453948,-2.926106053,-0.118887328,-3.368452586
b_force[34],-0.136,-3.927,-0.403701187,-13.33712759,-0.440372007,-14.92619705,-0.116524725,-3.307445878,,,,,-0.581135048,-20.94348469,-0.594056501,-21.64790537
b_force[35],-0.119,-3.398,-0.257862597,-7.888231037,-0.29964789,-9.425465845,-0.10539367,-2.974592101,,,,,-0.477871611,-16.28133952,-0.507495497,-17.64034643
b_force[36],-0.613,-22.711,-0.120820368,-3.443773924,-0.135269337,-3.907546031,-0.601001674,-22.05078847,,,,,,,,
b_force[37],-0.513,-17.989,-0.104055837,-2.94071103,-0.11519203,-3.293642576,-0.480598821,-16.51357077,,,,,,,,
b_force[38],-0.794,-32.557,-0.6107998,-22.57652552,-0.629872694,-23.66921598,-0.794238259,-32.45629689,,,,,,,,
b_force[39],,,-0.481736512,-16.59599233,-0.524245361,-18.59239252,,,,,,,,,,
b_force[40],,,-0.236322155,-7.148679554,-0.254157459,-7.80658411,,,,,,,,,,
b_force[41],,,-0.810253647,-33.47923503,-0.821458163,-34.36418107,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
a_study[1],,,,,,,,,,,,,,,,
a_study[2],,,,,,,,,,,,,,,,
a_study[3],,,,,,,,,,,,,,,,
a_study[4],,,,,,,,,,,,,,,,
a_study[5],,,,,,,,,,,,,,,,
a_study[6],,,,,,,,,,,,,,,,
a_study[7],,,,,,,,,,,,,,,,
a_study[8],,,,,,,,,,,,,,,,
a_study[9],,,,,,,,,,,,,,,,
a_study[10],,,,,,,,,,,,,,,,
a_study[11],,,,,,,,,,,,,,,,
a_study[12],,,,,,,,,,,,,,,,
a_study[13],,,,,,,,,,,,,,,,
a_study[14],,,,,,,,,,,,,,,,
a_study[15],,,,,,,,,,,,,,,,
a_study[16],,,,,,,,,,,,,,,,
a_study[17],,,,,,,,,,,,,,,,
a_study[18],,,,,,,,,,,,,,,,
a_study[19],,,,,,,,,,,,,,,,
a_study[20],,,,,,,,,,,,,,,,
a_study[21],,,,,,,,,,,,,,,,
a_study[22],,,,,,,,,,,,,,,,
a_study[23],,,,,,,,,,,,,,,,
a_study[24],,,,,,,,,,,,,,,,
a_study[25],,,,,,,,,,,,,,,,
a_study[26],,,,,,,,,,,,,,,,
a_study[27],,,,,,,,,,,,,,,,
a_study[28],,,,,,,,,,,,,,,,
a_study[29],,,,,,,,,,,,,,,,
a_study[30],,,,,,,,,,,,,,,,
a_study[31],,,,,,,,,,,,,,,,
a_study[32],,,,,,,,,,,,,,,,
a_study[33],,,,,,,,,,,,,,,,
a_study[34],,,,,,,,,,,,,,,,
a_study[35],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
For ALL species:,,,,,,,,,,,,,,,,
a_sp[1],,,,,,,,,3.748704992,26.13224751,3.749806337,26.27159974,,,,
a_sp[2],,,,,,,,,2.833166908,25.18812053,2.831322816,25.31912267,,,,
a_sp[3],,,,,,,,,3.039421301,25.48153557,3.026497212,25.60018324,,,,
a_sp[4],,,,,,,,,3.443659355,25.90746048,3.388314161,25.99609107,,,,
a_sp[5],,,,,,,,,3.414790654,25.88241814,3.416072026,26.02095351,,,,
a_sp[6],,,,,,,,,2.791839764,25.12169461,2.796104865,25.26230236,,,,
a_sp[7],,,,,,,,,3.393623642,25.86359183,3.376030479,25.9848665,,,,
a_sp[8],,,,,,,,,2.953595008,25.3667433,2.972469852,25.52778886,,,,
a_sp[9],,,,,,,,,3.015166772,25.45008762,3.029865361,25.60456821,,,,
a_sp[10],,,,,,,,,3.574709326,26.01247618,3.58209711,26.15607882,,,,
a_sp[11],,,,,,,,,3.799937833,26.16372173,3.804976786,26.30555904,,,,
a_sp[12],,,,,,,,,3.194751601,25.66581855,3.225917787,25.83595519,,,,
a_sp[13],,,,,,,,,3.65246073,26.06857885,3.657673263,26.2105403,,,,
a_sp[14],,,,,,,,,3.488027641,25.94456591,3.491145371,26.08483897,,,,
a_sp[15],,,,,,,,,3.024536613,25.46232687,3.051571327,25.63247551,,,,
a_sp[16],,,,,,,,,2.895492214,25.28324629,2.914877207,25.44618639,,,,
a_sp[17],,,,,,,,,3.625951905,26.04993902,3.615046071,26.18032923,,,,
a_sp[18],,,,,,,,,3.715111969,26.1107173,3.743784736,26.26777856,,,,
a_sp[19],,,,,,,,,2.978460661,25.40102067,2.995835118,25.55957788,,,,
a_sp[20],,,,,,,,,3.153674461,25.61983383,3.147445848,25.74874546,,,,
a_sp[21],,,,,,,,,3.563763165,26.00422168,3.578773825,26.15358823,,,,
a_sp[22],,,,,,,,,2.796822464,25.1298497,2.810488555,25.28575087,,,,
a_sp[23],,,,,,,,,2.726448461,25.01081741,2.765549625,25.2113573,,,,
a_sp[24],,,,,,,,,3.624323029,26.04877747,3.618547899,26.18285991,,,,
a_sp[25],,,,,,,,,2.861376968,25.23191204,2.773471274,25.22471498,,,,
a_sp[26],,,,,,,,,3.820413979,26.17585683,3.805944305,26.30613802,,,,
a_sp[27],,,,,,,,,2.262462089,23.97664786,2.263497843,24.10739631,,,,
a_sp[28],,,,,,,,,3.342480252,25.81642503,3.375103583,25.98401391,,,,
a_sp[29],,,,,,,,,3.407446898,25.87593157,3.425496509,26.02923921,,,,
a_sp[30],,,,,,,,,2.789677187,25.1181425,2.820645809,25.30210737,,,,
a_sp[31],,,,,,,,,3.538502229,25.98482401,3.527093354,26.11377268,,,,
a_sp[32],,,,,,,,,3.406370163,25.87497651,3.477446331,26.07353631,,,,
a_sp[33],,,,,,,,,2.190387432,23.76844891,2.183638722,23.87487973,,,,
a_sp[34],,,,,,,,,2.368186352,24.25614048,2.35900929,24.36216922,,,,
a_sp[35],,,,,,,,,2.795993861,25.12849635,2.784070171,25.24242241,,,,
a_sp[36],,,,,,,,,2.845165019,25.20689671,2.841201483,25.33470472,,,,
a_sp[37],,,,,,,,,2.915309259,25.31227131,2.894582798,25.41629314,,,,
a_sp[38],,,,,,,,,3.006061302,25.43808332,3.000800566,25.56623832,,,,
a_sp[39],,,,,,,,,2.718275596,24.99644284,2.775365139,25.22789282,,,,
a_sp[40],,,,,,,,,2.904740077,25.29686276,2.932340259,25.47142793,,,,
a_sp[41],,,,,,,,,3.321395169,25.79626612,3.328134166,25.93975885,,,,
a_sp[42],,,,,,,,,3.185247557,25.65534637,3.178835908,25.78445406,,,,
a_sp[43],,,,,,,,,3.39127958,25.86148237,3.377272355,25.98600757,,,,
a_sp[44],,,,,,,,,3.303645202,25.77896317,3.300507124,25.91274077,,,,
a_sp[45],,,,,,,,,3.080815628,25.53347596,3.080725343,25.66901815,,,,
a_sp[46],,,,,,,,,3.521160709,25.97122109,3.52834103,26.11475835,,,,
a_sp[47],,,,,,,,,3.453846978,25.91612663,3.463687121,26.06202708,,,,
a_sp[48],,,,,,,,,3.497573326,25.95233609,3.514828723,26.10401783,,,,
a_sp[49],,,,,,,,,3.532937117,25.98048434,3.540167804,26.12404072,,,,
a_sp[50],,,,,,,,,3.593667437,26.02656045,3.620280868,26.18410901,,,,
a_sp[51],,,,,,,,,3.353817834,25.82709016,3.364493017,25.97419749,,,,
a_sp[52],,,,,,,,,3.239522734,25.71383338,3.233971094,25.8445241,,,,
a_sp[53],,,,,,,,,3.365026101,25.83751545,3.378409056,25.98705077,,,,
a_sp[54],,,,,,,,,3.16820045,25.63631158,3.162850643,25.76640967,,,,
a_sp[55],,,,,,,,,3.173830924,25.64263449,3.16948489,25.77393353,,,,
a_sp[56],,,,,,,,,3.258229114,25.73326697,3.258201708,25.86989379,,,,
a_sp[57],,,,,,,,,3.452498458,25.91498457,3.460982493,26.05974604,,,,
a_sp[58],,,,,,,,,3.202644945,25.67444061,3.180330651,25.78612665,,,,
a_sp[59],,,,,,,,,3.481165695,25.9389343,3.507279862,26.09795398,,,,
a_sp[60],,,,,,,,,3.686397979,26.09173202,3.68615763,26.23002196,,,,
a_sp[61],,,,,,,,,3.097555357,25.55387752,3.098517661,25.69080177,,,,
a_sp[62],,,,,,,,,3.411087554,25.87915324,3.423424932,26.02742463,,,,
a_sp[63],,,,,,,,,3.046327941,25.49035195,3.081675095,25.67019078,,,,
a_sp[64],,,,,,,,,3.539064772,25.98526134,3.603437531,26.17187637,,,,
a_sp[65],,,,,,,,,3.436493624,25.90131181,3.50706638,26.09778183,,,,
a_sp[66],,,,,,,,,3.70648571,26.10507092,3.71291416,26.24782328,,,,
a_sp[67],,,,,,,,,3.745283606,26.13008763,3.752116927,26.27305989,,,,
a_sp[68],,,,,,,,,3.277998069,25.75341317,3.27566463,25.88780021,,,,
a_sp[69],,,,,,,,,2.642120381,24.85669814,2.641628244,24.98801665,,,,
a_sp[70],,,,,,,,,2.790261081,25.11910232,2.796403352,25.2627924,,,,
a_sp[71],,,,,,,,,2.710691243,24.98299785,2.704481986,25.10475324,,,,
a_sp[72],,,,,,,,,3.689503254,26.09381157,3.693184227,26.23474302,,,,
a_sp[73],,,,,,,,,2.602372877,24.77942347,2.609710914,24.92586845,,,,
a_sp[74],,,,,,,,,3.338651788,25.81279625,3.340282342,25.95140501,,,,
a_sp[75],,,,,,,,,3.475003137,25.93384363,3.472539965,26.06945041,,,,
a_sp[76],,,,,,,,,4.14226244,26.33728414,4.151026551,26.48069552,,,,
a_sp[77],,,,,,,,,4.194690502,26.35900081,4.200933087,26.50131582,,,,
a_sp[78],,,,,,,,,4.406316661,26.43595291,4.408937447,26.57698915,,,,
a_sp[79],,,,,,,,,3.633143465,26.05504475,3.63755574,26.19644285,,,,
a_sp[80],,,,,,,,,3.535818377,25.98273416,3.539643149,26.12363126,,,,
a_sp[81],,,,,,,,,3.637248631,26.05794283,3.642962389,26.2002595,,,,
a_sp[82],,,,,,,,,3.861534518,26.19948888,3.866580279,26.34132863,,,,
a_sp[83],,,,,,,,,3.858998858,26.19805957,3.864645473,26.3402384,,,,
a_sp[84],,,,,,,,,3.477387081,25.93581664,3.479680923,26.07539059,,,,
a_sp[85],,,,,,,,,3.486563924,25.94336788,3.495430495,26.08834282,,,,
a_sp[86],,,,,,,,,3.795157605,26.16085279,3.800758577,26.30302822,,,,
a_sp[87],,,,,,,,,3.648308436,26.06569168,3.656264303,26.20956217,,,,
a_sp[88],,,,,,,,,3.901953083,26.22178948,3.913472733,26.36711696,,,,
a_sp[89],,,,,,,,,3.427318732,25.89337455,3.435146371,26.03764252,,,,
a_sp[90],,,,,,,,,3.327627638,25.80226914,3.333333237,25.9447604,,,,
a_sp[91],,,,,,,,,3.473556443,25.93264401,3.484220537,26.07914485,,,,
a_sp[92],,,,,,,,,3.520975571,25.97107459,3.524894545,26.11203261,,,,
a_sp[93],,,,,,,,,3.355191829,25.82837446,3.360086238,25.97008982,,,,
a_sp[94],,,,,,,,,3.36273813,25.83539679,3.373768705,25.98278466,,,,
a_sp[95],,,,,,,,,3.462212991,25.92317749,3.469736745,26.06710695,,,,
a_sp[96],,,,,,,,,3.00276259,25.43370739,3.007111671,25.57465619,,,,
a_sp[97],,,,,,,,,3.544584533,25.98953945,3.552207439,26.13337807,,,,
a_sp[98],,,,,,,,,3.220883458,25.69410452,3.230610481,25.84095671,,,,
a_sp[99],,,,,,,,,3.663499982,26.07619661,3.661853152,26.21343396,,,,
a_sp[100],,,,,,,,,3.731834665,26.1215255,3.740398553,26.26561963,,,,
a_sp[101],,,,,,,,,3.434521307,25.89961168,3.436177847,26.03853596,,,,
a_sp[102],,,,,,,,,3.503728635,25.95730731,3.506790179,26.09755904,,,,
a_sp[103],,,,,,,,,3.108760263,25.56734394,3.115180041,25.71085352,,,,
a_sp[104],,,,,,,,,3.791477256,26.1586346,3.797482573,26.30105532,,,,
a_sp[105],,,,,,,,,2.848619842,25.21226162,2.847394261,25.34439465,,,,
a_sp[106],,,,,,,,,2.654167678,24.87951962,2.654822902,25.01313488,,,,
a_sp[107],,,,,,,,,3.233126976,25.70710515,3.232567846,25.84303597,,,,
a_sp[108],,,,,,,,,2.475944249,24.51217327,2.472797898,24.6355808,,,,
a_sp[109],,,,,,,,,3.030456256,25.47000044,3.033858765,25.60974809,,,,
a_sp[110],,,,,,,,,3.250643189,25.72542993,3.262272338,25.87409579,,,,
a_sp[111],,,,,,,,,3.034002802,25.47457607,3.037558324,25.6145284,,,,
a_sp[112],,,,,,,,,3.975108559,26.25993007,3.980594703,26.4019883,,,,
a_sp[113],,,,,,,,,2.947521333,25.3582404,2.948869896,25.49491762,,,,
a_sp[114],,,,,,,,,3.033529004,25.47396573,3.031121719,25.60620007,,,,
a_sp[115],,,,,,,,,3.979521948,26.26214302,3.982800637,26.40309508,,,,
a_sp[116],,,,,,,,,4.240927258,26.37723057,4.248729256,26.52012245,,,,
a_sp[117],,,,,,,,,3.36794271,25.84020921,3.362012102,25.97188719,,,,
a_sp[118],,,,,,,,,3.456415965,25.91829805,3.460611729,26.05943286,,,,
a_sp[119],,,,,,,,,3.413777658,25.88152622,3.419230164,26.02373875,,,,
a_sp[120],,,,,,,,,3.222950755,25.69631084,3.226279994,25.83634207,,,,
a_sp[121],,,,,,,,,2.839955679,25.19877214,2.84098422,25.33436367,,,,
a_sp[122],,,,,,,,,2.862737213,25.23399254,2.862153016,25.36724741,,,,
a_sp[123],,,,,,,,,2.523105691,24.61583617,2.509643375,24.71765049,,,,
a_sp[124],,,,,,,,,2.54089979,24.6536955,2.540543206,24.78418343,,,,
a_sp[125],,,,,,,,,3.379357485,25.85067659,3.386026802,25.99401136,,,,
a_sp[126],,,,,,,,,3.197029026,25.66831321,3.204445891,25.81276841,,,,
a_sp[127],,,,,,,,,2.825422918,25.17588157,2.826872305,25.31205223,,,,
a_sp[128],,,,,,,,,3.826679928,26.17952093,3.828817217,26.31966376,,,,
a_sp[129],,,,,,,,,3.768865319,26.1448255,3.774821715,26.28722991,,,,
a_sp[130],,,,,,,,,3.565066822,26.00520952,3.57016669,26.14709913,,,,
a_sp[131],,,,,,,,,3.447961162,25.9111306,3.443805952,26.04511475,,,,
a_sp[132],,,,,,,,,3.296012406,25.77142765,3.301738852,25.91396131,,,,
a_sp[133],,,,,,,,,2.56252614,24.69881069,2.562023117,24.82923709,,,,
a_sp[134],,,,,,,,,2.88838871,25.27270131,2.896172284,25.41865638,,,,
a_sp[135],,,,,,,,,3.368397038,25.84062812,3.374650301,25.98359668,,,,
a_sp[136],,,,,,,,,2.565828452,24.70561425,2.567188181,24.83992714,,,,
a_sp[137],,,,,,,,,2.76165206,25.07140861,2.764193231,25.20905949,,,,
a_sp[138],,,,,,,,,2.793791529,25.12489387,2.785039358,25.24403227,,,,
a_sp[139],,,,,,,,,2.980768906,25.40415957,2.984634176,25.54443139,,,,
a_sp[140],,,,,,,,,2.930629699,25.33431945,2.929610359,25.46751108,,,,
a_sp[141],,,,,,,,,2.975208306,25.39658559,2.979194082,25.53701358,,,,
a_sp[142],,,,,,,,,3.117783393,25.57807908,3.120612917,25.71731962,,,,
a_sp[143],,,,,,,,,3.036111852,25.47728941,3.043879911,25.6226559,,,,
a_sp[144],,,,,,,,,3.687038222,26.09216131,3.69271754,26.23443049,,,,
a_sp[145],,,,,,,,,3.114982628,25.57475727,3.116720491,25.7126905,,,,
a_sp[146],,,,,,,,,2.878421969,25.25777908,2.884097372,25.40060899,,,,
a_sp[147],,,,,,,,,2.778364875,25.09943591,2.778459873,25.23307274,,,,
a_sp[148],,,,,,,,,3.614280731,26.0415744,3.615685315,26.18079185,,,,
a_sp[149],,,,,,,,,3.130936713,25.59355556,3.137214266,25.73686193,,,,
a_sp[150],,,,,,,,,3.571580596,26.01012602,3.569947428,26.14693309,,,,
a_sp[151],,,,,,,,,3.056073987,25.50268971,3.065182327,25.64966863,,,,
a_sp[152],,,,,,,,,3.075667968,25.52713328,3.086535609,25.67617448,,,,
a_sp[153],,,,,,,,,3.837902396,26.18602633,3.846275084,26.32978116,,,,
a_sp[154],,,,,,,,,3.17871167,25.64808673,3.179520194,25.78522007,,,,
a_sp[155],,,,,,,,,3.643570479,26.06238261,3.646250336,26.20257044,,,,
a_sp[156],,,,,,,,,2.940624523,25.34852232,2.943142129,25.48682201,,,,
a_sp[157],,,,,,,,,3.664205309,26.07668047,3.668554539,26.21804804,,,,
a_sp[158],,,,,,,,,3.119114632,25.57965472,3.124250802,25.72162976,,,,
a_sp[159],,,,,,,,,3.058875058,25.50621346,3.058205678,25.64088511,,,,
a_sp[160],,,,,,,,,3.421206869,25.88804658,3.425567351,26.02930119,,,,
a_sp[161],,,,,,,,,4.142903648,26.33755668,4.153465351,26.48172727,,,,
a_sp[162],,,,,,,,,3.295006722,25.77043049,3.292536441,25.90480603,,,,
a_sp[163],,,,,,,,,3.45716239,25.91892791,3.459441268,26.05844344,,,,
a_sp[164],,,,,,,,,3.593528278,26.02645803,3.588400729,26.1607803,,,,
a_sp[165],,,,,,,,,3.455332824,25.91738321,3.461322635,26.06003325,,,,
a_sp[166],,,,,,,,,3.815787062,26.17313639,3.8289473,26.3197398,,,,
a_sp[167],,,,,,,,,3.506329998,25.95939907,3.513575755,26.10301451,,,,
a_sp[168],,,,,,,,,3.734009916,26.12291817,3.738899034,26.26466125,,,,
a_sp[169],,,,,,,,,3.164553552,25.63219715,3.169432194,25.77387396,,,,
a_sp[170],,,,,,,,,3.637334078,26.05800303,3.641607325,26.19930487,,,,
a_sp[171],,,,,,,,,3.002703406,25.43362874,3.008573382,25.57659828,,,,
a_sp[172],,,,,,,,,3.554946905,25.99750734,3.556589942,26.13674912,,,,
a_sp[173],,,,,,,,,3.584213914,26.01957066,3.584032652,26.15752558,,,,
a_sp[174],,,,,,,,,3.393132098,25.86314989,3.393081011,26.00040992,,,,
a_sp[175],,,,,,,,,3.459582636,25.92096699,3.464905765,26.06305285,,,,
a_sp[176],,,,,,,,,3.494440735,25.94979433,3.501069898,26.09293121,,,,
a_sp[177],,,,,,,,,2.654674543,24.88047377,2.6528875,25.00947123,,,,
a_sp[178],,,,,,,,,3.207611773,25.67983119,3.202665144,25.81082299,,,,
a_sp[179],,,,,,,,,3.811795917,26.17077963,3.816384636,26.31235023,,,,
a_sp[180],,,,,,,,,3.521546046,25.97152592,3.524460745,26.11168887,,,,
a_sp[181],,,,,,,,,3.36191789,25.83463607,3.366506212,25.97606802,,,,
a_sp[182],,,,,,,,,2.929554922,25.33278369,2.917619295,25.4501791,,,,
a_sp[183],,,,,,,,,3.625349307,26.04950953,3.63320871,26.19335921,,,,
a_sp[184],,,,,,,,,3.55629001,25.99853406,3.561442545,26.14046457,,,,
a_sp[185],,,,,,,,,3.789539375,26.15746333,3.797169498,26.30086644,,,,
a_sp[186],,,,,,,,,3.433439624,25.89867785,3.436031964,26.03840966,,,,
a_sp[187],,,,,,,,,3.664767389,26.07706583,3.673259224,26.22126891,,,,
a_sp[188],,,,,,,,,2.946506877,25.35681516,2.948144054,25.49389428,,,,
a_sp[189],,,,,,,,,3.353317799,25.82662233,3.351626754,25.96215362,,,,
a_sp[190],,,,,,,,,3.004816195,25.43643331,3.004242288,25.57083554,,,,
a_sp[191],,,,,,,,,3.117541296,25.57779231,3.125688137,25.72332839,,,,
a_sp[192],,,,,,,,,3.493743964,25.9492279,3.50448378,26.0956963,,,,
a_sp[193],,,,,,,,,3.210632731,25.68309682,3.210462214,25.81931552,,,,
a_sp[194],,,,,,,,,3.154095806,25.62031517,3.157202246,25.7599644,,,,
a_sp[195],,,,,,,,,3.161349746,25.62857021,3.168077852,25.77234198,,,,
a_sp[196],,,,,,,,,3.256458968,25.73144354,3.258854488,25.87056879,,,,
a_sp[197],,,,,,,,,2.33131149,24.16199533,2.330180447,24.28781681,,,,
a_sp[198],,,,,,,,,2.508605666,24.58448338,2.507522273,24.71300752,,,,
a_sp[199],,,,,,,,,2.903164677,25.29455205,2.907661794,25.43562767,,,,
a_sp[200],,,,,,,,,3.365412805,25.83787306,3.373402568,25.98244721,,,,
b_chill[1],,,,,,,,,-0.422005904,-14.05075835,-0.392897128,-12.93675399,,,,
b_chill[2],,,,,,,,,-0.341378715,-10.88926721,-0.339716626,-10.87334129,,,,
b_chill[3],,,,,,,,,-0.612177522,-22.59937766,-0.61996605,-23.09288256,,,,
b_chill[4],,,,,,,,,-0.355850684,-11.43812371,-0.302874906,-9.506875156,,,,
b_chill[5],,,,,,,,,-0.241561768,-7.312468971,-0.235023516,-7.118279461,,,,
b_chill[6],,,,,,,,,-0.243018577,-7.36214581,-0.261706381,-8.038318594,,,,
b_chill[7],,,,,,,,,-0.443387313,-14.93279843,-0.471229884,-16.18309895,,,,
b_chill[8],,,,,,,,,-0.207634615,-6.175794866,-0.192247949,-5.693632876,,,,
b_chill[9],,,,,,,,,-0.126472841,-3.608077633,-0.080910495,-2.259013516,,,,
b_chill[10],,,,,,,,,-0.34085777,-10.86965783,-0.326812424,-10.3889832,,,,
b_chill[11],,,,,,,,,-0.378031275,-12.29490193,-0.364171441,-11.80857466,,,,
b_chill[12],,,,,,,,,-0.248316585,-7.543417973,-0.246786252,-7.520840699,,,,
b_chill[13],,,,,,,,,-0.333926537,-10.60972275,-0.321320549,-10.1847347,,,,
b_chill[14],,,,,,,,,-0.201169961,-5.963547271,-0.177414951,-5.21367664,,,,
b_chill[15],,,,,,,,,-0.238448183,-7.206538808,-0.208359926,-6.223103481,,,,
b_chill[16],,,,,,,,,-0.394752345,-12.95347341,-0.372985051,-12.15128257,,,,
b_chill[17],,,,,,,,,-0.264396137,-8.099499873,-0.221435928,-6.659121574,,,,
b_chill[18],,,,,,,,,-0.119169068,-3.387066233,-0.099151138,-2.795851806,,,,
b_chill[19],,,,,,,,,-0.293650066,-9.134412876,-0.269201735,-8.301209663,,,,
b_chill[20],,,,,,,,,-0.334025678,-10.61342804,-0.314459187,-9.931124677,,,,
b_chill[21],,,,,,,,,-0.350490418,-11.23390624,-0.325039498,-10.32292361,,,,
b_chill[22],,,,,,,,,-0.106536968,-3.008609831,-0.095087345,-2.675401569,,,,
b_chill[23],,,,,,,,,-0.228901725,-6.88379818,-0.244165131,-7.430726456,,,,
b_chill[24],,,,,,,,,-0.32703111,-10.35291206,-0.314737918,-9.941393263,,,,
b_chill[25],,,,,,,,,-0.636511532,-23.81528294,-0.64876183,-24.55351872,,,,
b_chill[26],,,,,,,,,-0.618440121,-22.90948101,-0.611405431,-22.66670277,,,,
b_chill[27],,,,,,,,,-0.356878124,-11.47739268,-0.347528874,-11.16962517,,,,
b_chill[28],,,,,,,,,-0.062251208,-1.718943263,-0.073683642,-2.04901448,,,,
b_chill[29],,,,,,,,,-0.248115267,-7.536512284,-0.22544439,-6.793929142,,,,
b_chill[30],,,,,,,,,-0.497818749,-17.26523402,-0.495194423,-17.22813984,,,,
b_chill[31],,,,,,,,,-0.521366427,-18.31428681,-0.530914704,-18.83305528,,,,
b_chill[32],,,,,,,,,-0.221607525,-6.639268596,-0.273220643,-8.442981939,,,,
b_chill[33],,,,,,,,,-0.700224493,-27.14261191,-0.691053951,-26.7764527,,,,
b_chill[34],,,,,,,,,-0.773970248,-31.26813209,-0.765623739,-30.93244281,,,,
b_chill[35],,,,,,,,,-0.644163996,-24.20381198,-0.618033512,-22.99635447,,,,
b_chill[36],,,,,,,,,-0.589895185,-21.51164427,-0.577999956,-21.03811426,,,,
b_chill[37],,,,,,,,,-0.663490666,-25.19840026,-0.642182351,-24.21606464,,,,
b_chill[38],,,,,,,,,-0.571039952,-20.60995237,-0.560215291,-20.19301219,,,,
b_chill[39],,,,,,,,,-0.369591999,-11.96667306,-0.396007101,-13.06085136,,,,
b_chill[40],,,,,,,,,-0.009020726,-0.242508928,0.008653709,0.239417792,,,,
b_chill[41],,,,,,,,,-0.76060775,-30.49785633,-0.736689684,-29.28297024,,,,
b_chill[42],,,,,,,,,-0.295172013,-9.189087588,-0.275715139,-8.5312656,,,,
b_chill[43],,,,,,,,,-0.14514023,-4.180340891,-0.111456525,-3.163581182,,,,
b_chill[44],,,,,,,,,-0.264626811,-8.10754252,-0.240179256,-7.294143827,,,,
