mu_b_force_sp,-0.224,-6.739,-0.221340543,-6.643626082,-0.236453994,-7.196205688,-0.208213246,-6.194859481,-0.161227886,-4.682163713,-0.201331178,-5.991075931,-0.180989381,-5.27269851,-0.201333591,-5.951022798
a_sp[15],3.74,26.232,2.913134927,25.35978358,2.932734893,25.54083433,3.741106276,26.12744049,,,,,3.974362995,26.07638024,3.977928363,26.18267912
a_sp[16],3.987,26.371,3.741281747,26.17985931,3.739685439,26.33638818,3.986246609,26.26549617,,,,,3.597487198,25.8477967,3.593790156,25.9486878
a_sp[17],3.596,26.133,4.026101746,26.33753549,4.029052185,26.49745391,3.598270076,26.02993972,,,,,2.996947015,25.24859722,3.013301736,25.37140921
a_sp[18],3.015,25.552,3.598585813,26.08228341,3.599785592,26.24013263,2.99227155,25.41969406,,,,,3.709878595,25.92518463,3.737657738,26.04698855
a_sp[19],3.461,26.026,2.992616738,25.47104867,3.01726668,25.65727997,3.407422395,25.87590985,,,,,3.437444615,25.72144857,3.390180307,25.78302619
a_sp[20],3.74,26.231,3.420429411,25.93919304,3.462148556,26.13134016,3.710684711,26.10782549,,,,,3.151618745,25.4387863,3.146537759,25.5349303
a_sp[21],3.395,25.968,3.711189508,26.16042443,3.740245915,26.33674736,3.444534411,25.90820832,,,,,3.180814542,25.47150162,3.178390275,25.57090064
a_sp[22],3.147,25.715,3.066776292,25.56718349,3.084934706,25.74365546,3.149874744,25.61548393,,,,,3.053020904,25.32096906,3.040124747,25.40610356
a_sp[23],3.178,25.75,3.446084122,25.96140205,3.393898207,26.07157916,3.182401908,25.65219144,,,,,3.548861203,25.81152338,3.541369422,25.90920611
a_sp[24],3.042,25.587,3.153643543,25.67108937,3.147786374,25.81881263,3.059797129,25.50737127,,,,,3.768893389,25.96246799,3.77281013,26.06893291
a_sp[25],3.536,26.087,3.181448895,25.70248644,3.174731974,25.84961498,3.542205171,25.98769821,,,,,3.554326185,25.81568859,3.569136975,25.93037743
a_sp[26],3.775,26.253,3.056738346,25.55458446,3.041359908,25.68870617,3.769898026,26.145463,,,,,3.659263992,25.89140778,3.666654719,26.00024032
a_sp[27],3.573,26.115,3.543161527,26.04046769,3.538905226,26.19385218,3.560358161,26.00163549,,,,,3.359447071,25.65214579,3.377047441,25.77113841
a_sp[28],3.678,26.19,3.770869129,26.19840632,3.780704866,26.3621507,3.673628264,26.08311215,,,,,2.737088778,24.85476288,2.791373394,25.04567937
a_sp[29],3.382,25.956,3.55731879,26.05137023,3.578187506,26.22403556,3.373718347,25.84552042,,,,,3.285287511,25.58104626,3.287627583,25.68590969
a_sp[30],2.789,25.218,3.680668254,26.1401059,3.686349259,26.3012701,2.735384584,25.02640053,,,,,2.902190231,25.11668735,2.909854745,25.22854038
a_sp[31],3.288,25.867,3.377220316,25.90047507,3.391084118,26.06902647,3.287609614,25.76306517,,,,,2.755535191,24.88621833,2.797645531,25.05591229
a_sp[32],2.907,25.402,2.735516643,25.07673313,2.785985306,25.31376289,2.900724194,25.29096528,,,,,3.107249689,25.3872034,3.107832987,25.48965145
a_sp[33],2.781,25.205,3.290598046,25.81763098,3.289631973,25.97203161,2.742794029,25.0392162,,,,,3.046975665,25.3133605,3.075803222,25.45083321
a_sp[34],3.11,25.671,2.900357029,25.34105636,2.90760763,25.50427968,3.112796317,25.57215775,,,,,2.821105943,24.99344964,2.832525267,25.11166195
