est,mu.ut,force.ut,photo.ut,chill.ut,mu.cp,force.cp,photo.cp,chill.cp
mu,60.66,-0.7,-0.52,-2.8,65.4,-0.78,-0.52,-0.25
sigma,17.19,0.89,0.68,1.64,19.51,0.98,0.58,0.19
sp[1],72.49,-1.16,-0.67,-2.92,72.8,-1.58,-0.73,-0.15
sp[2],45.24,0.36,-0.51,-2.58,54.27,0.22,-0.5,-0.28
sp[3],81.14,-1.08,-1.03,-2.47,89.21,-1.17,-0.95,-0.26
sp[4],54.53,-0.44,-0.51,-1.59,67.69,-0.54,-0.42,-0.28
sp[5],52.47,0.16,-0.52,-2.53,56.11,0.16,-0.52,-0.22
sp[6],69.71,-1.14,-0.13,-3.02,80.28,-1.26,-0.19,-0.32
sp[7],68.68,-1.25,-0.18,-2.2,72.83,-1.32,-0.22,-0.19
sp[8],73.48,-1.81,-0.49,-0.81,82.04,-2.01,-0.46,-0.12
sp[9],32.73,-0.32,-0.11,-1.58,43.21,-0.68,-0.11,-0.23
sp[10],38.49,-0.74,-0.22,-1.09,42.44,-0.83,-0.2,-0.16
sp[11],57.64,-0.13,-0.45,-4.08,63.29,-0.03,-0.43,-0.38
sp[12],49.46,0.28,-0.71,-2.75,50.39,0.36,-0.66,-0.23
sp[13],49.76,-0.6,-0.6,-2.76,51.47,-0.58,-0.56,-0.23
sp[14],52.24,-0.82,-0.39,-2.83,52.79,-0.94,-0.41,-0.18
sp[15],89.68,-0.38,-1.99,-2.75,93.47,-0.55,-1.92,-0.23
sp[16],63.3,0.86,-0.86,-3.37,71.52,0.61,-0.88,-0.32
sp[17],64.77,-0.92,-0.55,-2.58,66.26,-1.21,-0.58,-0.16
sp[18],47.68,-0.42,-0.58,-2.86,50.75,-0.45,-0.57,-0.22
sp[19],85.44,-1.46,-0.35,-2.47,86.06,-1.75,-0.27,-0.16
sp[20],58.71,-0.4,-0.48,-4.54,64.61,-0.6,-0.51,-0.4
sp[21],55.6,-0.87,-0.07,-2.53,58.2,-0.91,-0.11,-0.21
sp[22],51.46,-0.73,-0.52,-3.16,57.49,-0.85,-0.52,-0.28
sp[23],49.94,-0.42,-0.43,-2.81,51.59,-0.42,-0.44,-0.22
sp[24],62.42,-1.14,-0.25,-3.3,67.29,-1.26,-0.3,-0.29
sp[25],87.4,-1.96,1.16,-7.32,109.58,-2.82,0.28,-0.75
sp[26],55.68,0.4,-0.51,-2.76,59.79,0.62,-0.53,-0.27
sp[27],91.17,-1.74,-0.73,-2.29,102.98,-1.87,-0.65,-0.28
sp[28],54.19,0,-0.6,-1.94,54.43,0.03,-0.59,-0.15
sp[29],62.68,-1.12,-0.49,-2.77,67.16,-1.04,-0.5,-0.25
sp[30],49.78,-0.05,-0.5,-2.85,51.78,0.02,-0.49,-0.24
sp[31],53.82,-0.95,-0.88,-1.21,47.23,-1.07,-0.76,0.02
sp[32],52.5,-1.09,-0.47,-3.21,58.4,-0.71,-0.29,-0.29
sp[33],51.87,-0.49,-0.55,-3.24,55.52,-0.42,-0.52,-0.29
sp[34],47.01,-0.2,-0.63,-2.76,47.63,-0.22,-0.62,-0.19
sp[35],66.4,-1.67,-0.94,-1.25,57.53,-1.72,-0.8,0.06
sp[36],85.52,-1.95,-0.72,-4.07,92.69,-1.96,-0.7,-0.35
sp[37],66.01,-0.43,-0.86,-4.2,80.45,-0.03,-0.54,-0.72
