"","V1","V2","V3","V4"
"mu_a_sp",30.14,-3.97,-2.92,-8.94
"sigma_a_sp",8.94,5.92,4.42,6.04
"a_sp[1]",30.21,-8.32,-5.27,-11.17
"a_sp[2]",30.26,2.5,-2.22,-8.22
"a_sp[3]",38.86,-6.5,-7.93,-9.64
"a_sp[4]",31.76,-2.03,-2.01,-4.82
"a_sp[5]",34.17,1.24,-2.41,-6.92
"a_sp[6]",36.03,-8.62,-0.75,-10.47
"a_sp[7]",36.35,-8.43,-1,-6.84
"a_sp[8]",37.36,-12.34,-3.37,-3.65
"a_sp[9]",18.73,-1.23,-0.54,-5.08
"a_sp[10]",19.31,-3.66,-1.08,-3.47
"a_sp[11]",29.49,-0.27,-2.2,-13.9
"a_sp[12]",30.69,3.42,-3.15,-7.27
"a_sp[13]",22.58,-1.42,-2.19,-8.24
"a_sp[14]",21.65,-4.54,-1.84,-9.08
"a_sp[15]",43.4,-2.39,-11.95,-9.35
"a_sp[16]",45.99,5.25,-5.52,-10.74
"a_sp[17]",30.45,-6.04,-3.5,-8.67
"a_sp[18]",21.79,-1.19,-2.06,-8.37
"a_sp[19]",46.58,-8.98,-2.5,-8.36
"a_sp[20]",24.93,-2.92,-2.28,-14.87
"a_sp[21]",29.08,-5.03,0.05,-7.47
"a_sp[22]",24.7,-0.09,-1.72,-9.42
"a_sp[23]",24.84,-1.21,-1.38,-8.18
"a_sp[24]",26.97,-7.47,-1.49,-11.59
"a_sp[25]",37.65,-13.14,6.24,-26.65
"a_sp[26]",38.9,2.63,-2.81,-7.83
"a_sp[27]",43.9,-10.53,-7.29,-10.03
"a_sp[28]",34.97,0.31,-3.04,-4.83
"a_sp[29]",26.67,-6.96,-2.96,-9.42
"a_sp[30]",28.12,0.49,-1.65,-7.91
"a_sp[31]",22.66,-5.49,-4.46,-3.26
"a_sp[32]",17.99,-5.16,-1.79,-6.5
"a_sp[33]",23.01,-1.84,-2.17,-10.32
"a_sp[34]",23.03,-0.32,-2.46,-7.9
"a_sp[35]",24.44,-10.44,-6.33,-4.06
"a_sp[36]",27.9,-12.47,-4.6,-13.6
"a_sp[37]",30,-4.13,-6.62,-13.44
