"","V1","V2","V3","V4"
"mu_a_sp",30.68,-4.66,-2.95,-8.31
"sigma_a_sp",9.45,6.25,3.45,7.28
"a_sp[1]",29.63,-9.96,-4.72,-5.95
"a_sp[2]",31.26,1.56,-2.62,-9.35
"a_sp[3]",42.07,-7.37,-6.75,-9.98
"a_sp[4]",34.85,-2.95,-2.4,-9.25
"a_sp[5]",34.93,0.87,-2.6,-5.77
"a_sp[6]",38.84,-9.57,-1.35,-12.23
"a_sp[7]",36.95,-8.68,-1.25,-6.1
"a_sp[8]",39.42,-13.17,-3.15,-4.64
"a_sp[9]",16.87,-3.55,-0.58,-7.55
"a_sp[10]",17.28,-4.34,-1.01,-5.2
"a_sp[11]",31.48,0,-2.3,-13.16
"a_sp[12]",31.2,3.56,-3.07,-5.27
"a_sp[13]",22.65,-1.61,-2.39,-6.67
"a_sp[14]",21.72,-5.29,-1.95,-5.35
"a_sp[15]",44.44,-3.36,-11.31,-7.88
"a_sp[16]",46.09,3.6,-5.48,-10.4
"a_sp[17]",30.16,-7.21,-3.42,-4.94
"a_sp[18]",22.59,-1.72,-2.41,-6.24
"a_sp[19]",45.88,-10.77,-1.72,-5.66
"a_sp[20]",24.56,-4.88,-2.92,-13.68
"a_sp[21]",29.28,-5.19,-0.39,-5.96
"a_sp[22]",24.84,-1.35,-2.2,-8.78
"a_sp[23]",25.11,-1.42,-1.76,-6.29
"a_sp[24]",26.85,-8.22,-1.88,-10.3
"a_sp[25]",21.81,-18.6,-1.19,-28.25
"a_sp[26]",40.79,3.36,-2.94,-7.41
"a_sp[27]",48.57,-11.83,-5.54,-11.9
"a_sp[28]",34.98,0.33,-2.99,-2.91
"a_sp[29]",29.1,-6.43,-2.82,-8.78
"a_sp[30]",28.76,0.69,-1.97,-6.08
"a_sp[31]",22.93,-5.1,-3.31,2.11
"a_sp[32]",24.94,-3.85,-1.46,-9.6
"a_sp[33]",24.21,-1.71,-2.5,-9.2
"a_sp[34]",23.19,-0.74,-2.61,-4.66
"a_sp[35]",27.31,-9.35,-3.88,4.28
"a_sp[36]",31.97,-12.31,-4.35,-12.13
"a_sp[37]",28.32,-5.5,-4.42,-26.3
