"","x"
"1","Acer_campestre"
"2","Acer_platanoides"
"3","Acer_pseudoplatanus"
"4","Aesculus_hippocastanum"
"5","Alnus_glutinosa"
"6","Alnus_incana"
"7","Betula_pendula"
"8","Betula_pubescens"
"9","Carpinus_betulus"
"10","Cornus_mas"
"11","Euonymus_europaeus"
"12","Fagus_sylvatica"
"13","Fraxinus_excelsior"
"14","Fraxinus_ornus"
"15","Ostrya_carpinifolia"
"16","Populus_tremula"
"17","Prunus_padus"
"18","Quercus_coccifera"
"19","Quercus_ilex"
"20","Quercus_petraea"
"21","Quercus_pubescens"
"22","Quercus_robur"
"23","Sorbus_aria"
"24","Sorbus_aucuparia"
"25","Sorbus_torminalis"
"26","Tilia_cordata"
"27","Tilia_platyphyllos"
"28","Ulmus_glabra"
"29","Ulmus_laevis"
"30","Ulmus_minor"
