"warming","sprwarm","winwarm","bothwarm","lat","long","lon"
0,16.9031609237407,16.9031609237407,16.9031609237407,46.8167,12.8,12.8
1,16.2256964217479,13.8288271642868,13.151362662294,46.8167,12.8,12.8
2,15.5482319197551,12.7956640409589,11.4407350369733,46.8167,12.8,12.8
3,14.8707674177623,11.9465731398011,9.91417963382265,46.8167,12.8,12.8
4,14.1933029157695,11.2132689593449,8.5034109513737,46.8167,12.8,12.8
5,13.5158384137767,10.621280394096,7.233957884132,46.8167,12.8,12.8
6,12.8383739117839,10.1689097984624,6.10412278650554,46.8167,12.8,12.8
7,12.1609094097911,9.87854778528331,5.13629627133367,46.8167,12.8,12.8
