"warming","sprwarm","winwarm","bothwarm","lat","lon"
0,-112.578479319391,-112.578479319391,-112.578479319391,42.1,19.0833
1,-113.115216715313,-99.90423484043,-100.443828867201,42.1,19.0833
2,-113.69614551065,-93.9982612025151,-95.1859657520567,42.1,19.0833
3,-114.344195865883,-87.8832054841191,-89.6170005737376,42.1,19.0833
4,-114.990078708176,-81.4170699898031,-83.8910386777076,42.1,19.0833
5,-115.727796818891,-74.735987016102,-77.9371643877133,42.1,19.0833
6,-116.401927521596,-67.9376717563135,-71.8464767788495,42.1,19.0833
7,-117.059888830969,-61.2726590508379,-65.9019935869454,42.1,19.0833
0,-76.7251828518862,-76.7251828518862,-76.7251828518862,46.8167,12.7833
1,-77.4212768099048,-91.3642104962648,-92.134171014856,46.8167,12.7833
2,-78.1878524945729,-96.3164366892301,-97.7936229578852,46.8167,12.7833
3,-78.8918948541547,-100.384091746809,-102.483502938822,46.8167,12.7833
4,-79.4168336662602,-103.896239367461,-106.534150452316,46.8167,12.7833
5,-79.9497543443562,-106.73721620649,-109.928708101506,46.8167,12.7833
6,-80.6306113612828,-108.904198885177,-112.733278122413,46.8167,12.7833
7,-81.3451003117317,-110.296159455414,-114.757451416816,46.8167,12.7833
