"warming","sprwarm","winwarm","bothwarm","lat","lon"
0,26.792090777542,26.792090777542,26.792090777542,46.7167,15.7667
1,26.4202087848095,26.1087942525441,25.7446272349124,46.7167,15.7667
2,26.0566556987973,26.1881411755046,25.4640207549505,46.7167,15.7667
3,25.6892179488585,26.716051981292,25.6135851428431,46.7167,15.7667
4,25.3512331879841,27.5581125692525,26.1211641454077,46.7167,15.7667
5,25.0265308279323,28.6276595521684,26.8534147115812,46.7167,15.7667
6,24.714439273337,29.9412865262903,27.8449334194672,46.7167,15.7667
7,24.4551790374301,31.5014850601595,29.1085966363667,46.7167,15.7667
0,28.3800609976362,28.3800609976362,28.3800609976362,48.7833,15.4
1,27.9894739911466,24.466551744996,24.0577473939591,48.7833,15.4
2,27.561546436841,23.4214656595951,22.6090935256844,48.7833,15.4
3,27.1538874137037,22.8400918694552,21.6815923359101,48.7833,15.4
4,26.7773910194609,22.6636333751171,21.1374769480769,48.7833,15.4
5,26.4255050487807,22.799181097065,20.9146296330571,48.7833,15.4
6,26.0793655653541,23.2677195153807,21.0328376598409,48.7833,15.4
7,25.7416097050281,24.101602695688,21.5031694856728,48.7833,15.4
