"Species","Number","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","Species","Number"
"Abies_alba",1,-7.22335437248639,0.0392277311300675,2.26050286670563,-11.6542970901048,-8.7395275423966,-7.2609621317529,-5.63978315374205,-2.8063409053142,3320.65490454793,1.00129895007004,"Abies_alba",1
"Acer_complex",2,-0.0467791687276779,0.0257866323387347,1.62164485243583,-3.24085986793559,-1.17528972754576,-0.0346726096923798,1.04404184548398,3.09609409098362,3954.7791809325,1.00009251524984,"Acer_complex",2
"Acer_pseudoplatanus",3,-6.98525501035229,0.0375751785854358,2.20551083077129,-11.2908218974537,-8.47687873438415,-6.9676327327303,-5.54552527375276,-2.65746702067674,3445.21463162871,0.99938017375966,"Acer_pseudoplatanus",3
"Acer_rubrum",4,-0.799058470683085,0.0465605500553764,2.72910628272068,-5.99819447664466,-2.72042928775157,-0.797054549314215,1.08158029050605,4.57477001351255,3435.61661055968,1.00001065307228,"Acer_rubrum",4
"Acer_saccharum",5,-4.96492580168344,0.0274511363481759,1.87276080087208,-8.65306955854558,-6.21047691144025,-4.98421193659603,-3.68953484641955,-1.34387155428662,4654.18848288945,0.999531904338542,"Acer_saccharum",5
"Aesculus_hippocastanum",6,-0.640543185525359,0.0603968388034666,3.14959975484377,-6.78294869819717,-2.78284221965695,-0.689737394499307,1.4403657529358,5.66474677942086,2719.45777454582,1.00015437864301,"Aesculus_hippocastanum",6
"Alnus_glutinosa",7,-9.20650039569169,0.0428389046249618,2.96257641429449,-15.0807162303326,-11.1461985482926,-9.16429406961579,-7.23177065608754,-3.47163757574022,4782.5818009051,1.00014748146653,"Alnus_glutinosa",7
"Alnus_incana",8,-9.68105434947547,0.0347815154217715,2.40806517989384,-14.4386647411545,-11.306092049993,-9.67600171013159,-8.04502311207615,-5.00786924505648,4793.3536877912,1.00006579747856,"Alnus_incana",8
"Aronia_melanocarpa",9,-4.63989814481914,0.0614312477504678,4.18593224721828,-12.6295004124001,-7.40460406891192,-4.75891513902813,-1.91260069328565,3.59457906689467,4643.0751854906,0.999708305421281,"Aronia_melanocarpa",9
"Betula_alleghaniensis",10,-6.14826792717075,0.0408583655978133,2.23213338939017,-10.5966827793522,-7.61928135913144,-6.15769247408459,-4.67649735929325,-1.62142479478272,2984.5462102475,0.999766852012076,"Betula_alleghaniensis",10
"Betula_lenta",11,-5.18600570994672,0.064296019717175,4.19825632538855,-13.7184025677384,-7.95714932520755,-5.13060050921479,-2.41509952396448,2.76456671424633,4263.53394426911,1.00106817326053,"Betula_lenta",11
"Betula_papyrifera",12,-5.1149467513943,0.0416185947355038,2.65415175816972,-10.3073139526746,-6.87340829810457,-5.12291628241698,-3.32467178864486,-0.0231940485750504,4067.02346661793,1.00039503726557,"Betula_papyrifera",12
"Betula_pendula",13,-2.98120267685794,0.0204061396758004,1.39361356520431,-5.71062018851166,-3.92615031035575,-2.96476640647031,-2.05463842233609,-0.214364618537282,4664.04809444444,0.999850649543645,"Betula_pendula",13
"Betula_pubescens",14,-6.70314299464917,0.0219205808602465,1.54838799618882,-9.79745233556385,-7.7306357428992,-6.68894278714836,-5.62721364196323,-3.67244725946756,4989.48217541151,0.999227444147003,"Betula_pubescens",14
"Carpinus_betulus",15,-0.675183730742291,0.0600733507770313,3.03658772290341,-6.46111686061243,-2.78204063725333,-0.680138129778755,1.36130162616376,5.51764478174698,2555.10028351271,1.00118842567562,"Carpinus_betulus",15
"Cornus_alba",16,0.804977779451737,0.0681615372434205,3.62427927024702,-5.93754614101538,-1.68409971140773,0.721216846267849,3.19803928775954,8.22112882251317,2827.25224157953,1.00159496003683,"Cornus_alba",16
"Cornus_mas",17,-2.94289428444284,0.0490845556000749,3.15132611185428,-9.10052714583182,-5.01649590191516,-2.93613691648617,-0.842846623452628,3.39075322657066,4121.89542595195,1.00036480221762,"Cornus_mas",17
"Corylus_avellana",18,-4.75717787997023,0.0338439804795604,2.11279393508854,-8.9812494221714,-6.17807837573865,-4.77042985436539,-3.31359200405559,-0.636575929093565,3897.18849050771,0.999887427168038,"Corylus_avellana",18
"Corylus_complex",19,-4.46938755478326,0.0598629461728128,3.89702457390402,-11.9542809070752,-7.13215619697847,-4.53704745459525,-1.89196029098856,3.30638014798608,4237.89424475395,0.999366040033317,"Corylus_complex",19
"Fagus_complex",20,-4.06239396746874,0.0498980725053459,2.9621047959205,-9.71508011372377,-6.10095670503686,-4.06172398698054,-2.00966657789373,1.71498772282436,3523.97889786845,1.00059891047338,"Fagus_complex",20
"Fagus_sylvatica",21,-1.75921718468844,0.0203722387082866,1.20042017843204,-4.12043029285883,-2.57789999296177,-1.77659868670802,-0.951472980743518,0.708252264132456,3472.07471038655,1.00022179276894,"Fagus_sylvatica",21
"Fraxinus_complex",22,1.79385117542703,0.0318051796493956,1.9850537471731,-2.13977028691427,0.456713545394095,1.7474949120824,3.13070946676046,5.69951327414156,3895.37106850091,0.999284907231511,"Fraxinus_complex",22
"Fraxinus_excelsior",23,-7.10492947616173,0.0749537036207742,3.88837741716087,-14.8760965706715,-9.75449119065034,-7.05893700254458,-4.44174150104485,0.421125987490744,2691.22885204555,1.00134859171216,"Fraxinus_excelsior",23
"Hamamelis_complex",24,-5.89766232516239,0.0665216808368102,4.19030756435729,-14.2673731611985,-8.60423783045536,-5.89853246191119,-3.11695761738381,2.14183888744783,3967.94252991587,0.999709706137642,"Hamamelis_complex",24
"Larix_complex",25,-8.07326997089818,0.0813270715261972,4.38389621835264,-16.9516045384268,-10.837611356762,-7.9521791455616,-5.13016785397641,0.226846540716146,2905.69656686063,1.00047088661743,"Larix_complex",25
"Larix_decidua",26,-4.41380849093619,0.0358628472248962,2.12009178618628,-8.67540925822771,-5.78731053966476,-4.38962855143191,-3.06073429957063,-0.153743458798236,3494.77962195636,0.999253606081578,"Larix_decidua",26
"Lonicera_complex",27,-6.08908535649459,0.0611383670898955,3.99721944994403,-13.9656825085469,-8.73796094984903,-6.04658254714939,-3.51810327014101,1.73947592145441,4274.52944927304,0.999715652843794,"Lonicera_complex",27
"Olea_europaea",28,-2.70774498157157,0.0209742696356822,1.35352240772932,-5.33531852788898,-3.61017691261224,-2.68919245826304,-1.78785133598254,-0.0827532547991141,4164.4457251387,0.999528421502017,"Olea_europaea",28
"Picea_abies",29,-10.5800649905309,0.0230877446508826,1.45660977867772,-13.4685101762404,-11.5398348482813,-10.5719288580812,-9.5728689949405,-7.79139112328225,3980.36978966231,1.0004710834642,"Picea_abies",29
"Picea_glauca",30,-5.9600146882696,0.0481486962329389,3.34516197163622,-12.6030700743216,-8.16986356470943,-5.97311295081622,-3.61887367628011,0.390386512867758,4826.8659550439,0.999503199947875,"Picea_glauca",30
"Pinus_complex",31,-8.96752458790343,0.0856220130717338,3.82264574510246,-16.3648525296512,-11.5429412108146,-8.94862928299023,-6.39554687022621,-1.52189159027627,1993.22918045321,1.0011212163966,"Pinus_complex",31
"Populus_complex",32,-9.3393693833436,0.0335642309692384,2.24093830526969,-13.6783679398372,-10.8234662062531,-9.33685943056313,-7.77239594496264,-5.05392482708309,4457.65443821497,1.00004324463498,"Populus_complex",32
