"Species","Number","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","Species","Number"
"Populus_tremula",33,-7.2221930715647,0.024607206198953,1.82501483031292,-10.8123826809844,-8.46383521332819,-7.20248984477644,-5.94893546816082,-3.61880197417676,5500.57611792683,0.99958383963544,"Populus_tremula",33
"Populus_tremuloides",34,-2.77079037916454,0.0593765783001613,3.49409611505366,-9.52936875534666,-5.11727683003509,-2.77036226857537,-0.397283983814713,3.95009056194246,3462.89529997314,0.999351420037941,"Populus_tremuloides",34
"Prunus_avium",35,-2.83576206303022,0.0739945290855649,3.9692898650552,-10.4119398475459,-5.50024978977557,-2.81840100947064,-0.297796878707772,5.20927386491282,2877.5733938018,0.999637590398607,"Prunus_avium",35
"Prunus_complex",36,-3.47811715306405,0.042493935031459,2.74934693823716,-8.73237847252932,-5.34598630085238,-3.52996214865982,-1.62079716259424,1.98999751564941,4186.05754404793,0.99978142880927,"Prunus_complex",36
"Prunus_padus",37,-10.1019237717971,0.0309728776043343,2.13477038991621,-14.2224336661976,-11.5447102205793,-10.1104947059303,-8.69708953140898,-5.89949167319129,4750.4989673899,0.999625661550853,"Prunus_padus",37
"Pseudotsuga_menziesii",38,-12.5189123972568,0.0333558663095711,2.04432390195025,-16.4263504970211,-13.9498023148779,-12.5094091820078,-11.1148083308501,-8.50580319960539,3756.25410294634,0.999680874699834,"Pseudotsuga_menziesii",38
"Quercus_complex",39,-3.8943359044782,0.0321572979595689,2.31650545246806,-8.52269306632316,-5.4521032896623,-3.89614455475769,-2.34981967199618,0.593592280603986,5189.28536976014,1.00012190761258,"Quercus_complex",39
"Quercus_petraea",40,-10.6996523550364,0.0467196443302824,2.42375424422325,-15.4787327038376,-12.3524006718976,-10.7050892586261,-9.09567740015277,-5.96713387734682,2691.3991403778,0.999853358387422,"Quercus_petraea",40
"Quercus_robur",41,-2.59043613039192,0.0335647181552316,2.33658899458978,-7.01318733416906,-4.21249598825746,-2.58142795200799,-0.959794472779909,1.81538468472476,4846.16999292639,1.0001183516252,"Quercus_robur",41
"Quercus_rubra",42,-10.1376797161478,0.0384788431070128,2.30749977470184,-14.7267290393057,-11.6880225906463,-10.1346574771015,-8.59581152351429,-5.54467998604378,3596.16261756522,0.999561165919657,"Quercus_rubra",42
"Rhamnus_cathartica",43,-7.27767156366447,0.0787329230574384,4.48165351246919,-16.1877683770113,-10.30872915508,-7.23068518129761,-4.23810838772688,1.06378744627402,3240.14020689522,1.0004728184693,"Rhamnus_cathartica",43
"Rhamnus_complex",44,-4.68822707186157,0.0678977463266092,4.20425148751201,-12.7289740943342,-7.42173717686307,-4.78945563831621,-2.00809258304733,3.88228592053786,3834.12841403511,0.999291661525264,"Rhamnus_complex",44
"Rhododendron_complex",45,-8.66993185706346,0.0630909492439055,4.19152311571643,-16.7475588187755,-11.3934071215983,-8.70516942828311,-5.85398144021717,-0.399208007815261,4413.76907808294,0.999776730303471,"Rhododendron_complex",45
"Robinia_pseudoacacia",46,-0.847147587901698,0.0481441683543557,2.87632175996298,-6.56198530756235,-2.73965593914767,-0.834858055750086,1.09701812847899,4.9784604758275,3569.33701273712,1.00053340090582,"Robinia_pseudoacacia",46
"Salix_complex",47,-5.48091253781066,0.0423649092499947,2.95963782060028,-11.3710404115572,-7.51121357564492,-5.51065613754164,-3.47646988690618,0.322169597618138,4880.50290945596,1.00001533770178,"Salix_complex",47
"Sorbus_aucuparia",48,-5.29355272899712,0.0634035910716168,3.15804874188014,-11.6039788410546,-7.35643142779574,-5.26694027482264,-3.15810788443464,0.738669165403488,2480.90391728343,1.00096353031638,"Sorbus_aucuparia",48
"Sorbus_complex",49,-10.6120196713048,0.0816825178339367,4.56238735258013,-20.1544405956488,-13.4082365549924,-10.4496212035928,-7.536216414323,-2.25235045127991,3119.7951373582,1.0005062566038,"Sorbus_complex",49
"Symphoricarpos_albus",50,-2.80565645668754,0.041812959476273,2.78948073165234,-8.18897105647401,-4.71945098989281,-2.82745026927583,-0.912480284893963,2.75276432497248,4450.66510601416,0.999633000160443,"Symphoricarpos_albus",50
"Syringa_vulgaris",51,-1.42248417435951,0.0389566644065495,2.45770230635436,-6.10421814607301,-3.09832228901552,-1.41477458999698,0.176231227525057,3.35094876960542,3980.10954901012,1.00205880928235,"Syringa_vulgaris",51
"Tilia_cordata",52,-9.21304090419807,0.0326993828792218,2.23277274406735,-13.6022281809676,-10.71082599524,-9.13771266545599,-7.71405572163148,-4.88103333963319,4662.40430389161,0.999303086001562,"Tilia_cordata",52
"Ulmus_complex",53,-11.6850268643404,0.0225451525058376,1.27959600526654,-14.3041535977977,-12.5339208626822,-11.676954639039,-10.8226830408706,-9.20653215084312,3221.36099889271,1.00197395681707,"Ulmus_complex",53
"Vaccinium_complex",54,-0.894384076650905,0.0744699334192763,3.79449345814709,-8.00905357417395,-3.47426516217817,-0.974332036330119,1.66000188386928,6.66208773281619,2596.24507518129,1.0003648554548,"Vaccinium_complex",54
"Viburnum_complex",55,-1.07876591540523,0.0455935020290344,2.48942614777904,-5.85594014686929,-2.77813140974722,-1.10978722372875,0.661042820678946,3.84011950764001,2981.21014594692,1.00055213977247,"Viburnum_complex",55
"Abies_alba",1,-2.84019581073486,0.0339880457203806,2.31542435185137,-7.40851545339647,-4.38006726621811,-2.82621676659114,-1.26966688648524,1.5373476787943,4640.97047502187,0.999631201786384,"Abies_alba",1
"Acer_complex",2,-1.0327487683307,0.0268055708028671,1.76530843159923,-4.43274679901571,-2.22630410553393,-1.04430945511413,0.119168683920128,2.49334904945344,4337.01647429945,1.00073259927785,"Acer_complex",2
"Acer_pseudoplatanus",3,-5.15315966658309,0.0568810143791574,2.97597650328857,-11.2214501453333,-7.08724281272254,-5.0159650460286,-3.08361329545642,0.163502440932984,2737.31218357332,1.00055141375178,"Acer_pseudoplatanus",3
"Acer_rubrum",4,-0.158390834925037,0.046817018527086,2.58123642990122,-5.20977351124055,-1.87498061040842,-0.17028249661183,1.51376365483352,5.06430684169888,3039.82138549881,0.999531368999892,"Acer_rubrum",4
"Acer_saccharum",5,-3.25387985806389,0.0401575792535037,2.50671759056367,-8.31077767229995,-4.89844217560978,-3.21268845528005,-1.56284353854162,1.58154679435459,3896.50974747747,1.00077615003837,"Acer_saccharum",5
"Aesculus_hippocastanum",6,-1.61742113989074,0.0370117570630729,2.6925220630812,-6.89393035903557,-3.38882930406186,-1.63609429221164,0.0942862354514023,3.69484522740665,5292.23518193693,0.999510019562783,"Aesculus_hippocastanum",6
"Alnus_glutinosa",7,-0.520121071750925,0.0206792326259251,1.48205154044888,-3.509945211014,-1.50296088022583,-0.504329685815846,0.469747522403421,2.41651412928631,5136.38745708476,1.00047063228979,"Alnus_glutinosa",7
"Alnus_incana",8,-0.679266739124227,0.0196416344286808,1.42431112525713,-3.39263332035708,-1.6349296550734,-0.711847970601693,0.265465229961904,2.16024670016629,5258.41049181865,0.999571194708177,"Alnus_incana",8
"Aronia_melanocarpa",9,-1.63647177042177,0.0436130814360812,2.9994062547626,-7.54565539305411,-3.50487734698441,-1.70780808228566,0.279976544526566,4.39736881421353,4729.73752963634,1.0000436310412,"Aronia_melanocarpa",9
"Betula_alleghaniensis",10,-3.03497082880523,0.0467382952870093,2.69029422717029,-8.48225571910654,-4.77607731454661,-3.00537322654652,-1.25416930159795,2.17281212430265,3313.24707552358,1.00180074484324,"Betula_alleghaniensis",10
"Betula_lenta",11,-2.17648928232617,0.0445219384990306,2.88786324124186,-8.03740163419853,-3.98597236204952,-2.2014935598322,-0.343904798938711,3.46629464619016,4207.31583378263,0.999981377404609,"Betula_lenta",11
"Betula_papyrifera",12,1.12303097474914,0.0446137903555259,2.42895521528317,-3.34671760066057,-0.548489801940104,1.06612728617791,2.70851018617568,5.94115839581613,2964.15404949889,0.999899192672369,"Betula_papyrifera",12
"Betula_pendula",13,0.112609063544537,0.00850883320967972,0.552883579449461,-0.985284431250252,-0.250500368012201,0.123481267783341,0.482560698490808,1.18627212909868,4222.08878712298,1.00092381081659,"Betula_pendula",13
"Betula_pubescens",14,-0.748541136477983,0.00869007566046942,0.627136117269308,-2.00954032285719,-1.16912132756724,-0.761001271870727,-0.31844952514101,0.460498600535965,5208.0663733444,0.999374607514008,"Betula_pubescens",14
"Carpinus_betulus",15,-1.49042113662999,0.0337446787093078,2.55314231738353,-6.47048472344703,-3.22086566289471,-1.49429860730471,0.184670417561748,3.54696875173475,5724.52495482897,0.999413027162709,"Carpinus_betulus",15
"Cornus_alba",16,-2.23936233589431,0.0405378269490249,2.77120325147607,-7.82539836903157,-4.04351218832438,-2.2866346130493,-0.408755790783684,3.33012603867058,4673.21574223614,0.999971277527629,"Cornus_alba",16
"Cornus_mas",17,-1.67997715019197,0.0415199730743643,2.93015595744146,-7.47088429673036,-3.51597849115351,-1.67217959255292,0.202019284665645,4.02036436309406,4980.4357991612,1.00041966790342,"Cornus_mas",17
"Corylus_avellana",18,-1.51740769240574,0.0278850270634751,1.97721674988344,-5.29305406942371,-2.8548122583887,-1.54526893506902,-0.19322521336144,2.42587598847693,5027.66602799208,0.999733824541327,"Corylus_avellana",18
"Corylus_complex",19,-1.70600055952212,0.0381452292320184,2.59707033900129,-6.68441665155076,-3.48426416517688,-1.70443914549975,-0.00742425763670727,3.51220670574199,4635.39732918193,0.999385515838115,"Corylus_complex",19
"Fagus_complex",20,-4.01549187134525,0.0396097551234723,2.34204978576125,-8.90258654329923,-5.51742862596987,-3.94696450740311,-2.44691143284506,0.401190584009477,3496.1328779067,1.00173251558246,"Fagus_complex",20
"Fagus_sylvatica",21,-10.8586490567197,0.0305246698853539,1.49059251187146,-13.791251710861,-11.8819995495406,-10.8840928108933,-9.84795606427115,-7.87009549836885,2384.6020808533,1.00154034796354,"Fagus_sylvatica",21
"Fraxinus_complex",22,-3.18938261237653,0.031550132904496,2.2362854382644,-7.7288460673632,-4.67281757990029,-3.17167669536436,-1.64859162504783,1.1267049899788,5024.02839899178,0.999386946153422,"Fraxinus_complex",22
"Fraxinus_excelsior",23,-2.40563123268603,0.0423372641626122,2.91088255036229,-8.10741534249089,-4.32097933511761,-2.42445761842673,-0.39020774251579,3.21750523241132,4727.19790458261,1.00070959460433,"Fraxinus_excelsior",23
"Hamamelis_complex",24,-1.70214063830437,0.0390038427531061,2.60293288930192,-6.85668003808558,-3.44238965514768,-1.68552941784406,0.0321934102253933,3.40838545614439,4453.59938328802,0.99912329896136,"Hamamelis_complex",24
"Larix_complex",25,-2.61651045560978,0.0373346861679804,2.74041396002057,-8.02291591685697,-4.4377330661977,-2.63492911223714,-0.811426443643168,2.72587604199188,5387.74871915408,0.999210468315997,"Larix_complex",25
"Larix_decidua",26,-0.801189284771436,0.0350197985352555,2.50727781301714,-5.61961643581986,-2.52737765890179,-0.795901796478451,0.882734450384952,4.10767849735757,5125.98851253295,0.999732956168155,"Larix_decidua",26
"Lonicera_complex",27,-1.2940434542732,0.0388008043798528,2.66298005985392,-6.56979778359431,-3.05539366483814,-1.30644670737361,0.452097407098819,4.07718076919661,4710.36293433074,0.999373229632821,"Lonicera_complex",27
"Olea_europaea",28,-1.8944894095702,0.0459420868000259,3.40946985527594,-8.46175099019628,-4.16627994386675,-1.89116734919971,0.28872195721817,4.81268483552581,5507.47169697951,0.999582015199969,"Olea_europaea",28
"Picea_abies",29,-0.571569260604975,0.0281524471859775,1.57650177485667,-3.63165165037992,-1.6116198035278,-0.566896109076258,0.465203334682921,2.59108152324869,3135.85969524082,1.00133312929545,"Picea_abies",29
"Picea_glauca",30,-3.21268751860477,0.048804436887306,3.23210608347256,-9.82682895592465,-5.22180074899588,-3.10045033691092,-1.03180572958956,2.95380030312771,4385.83815013036,1.00019938062667,"Picea_glauca",30
"Pinus_complex",31,-2.6418768970439,0.0373478558899011,2.4262125922928,-7.42925721383999,-4.22493395670508,-2.58174815732821,-0.958399742452556,1.99350605625897,4220.13511727824,1.00080478292688,"Pinus_complex",31
"Populus_complex",32,-3.40467418673273,0.0405330369215844,2.38915518466788,-8.31183181446976,-4.98715502826412,-3.31237558179869,-1.78010235792882,1.10657528085307,3474.32491597627,1.00040820468844,"Populus_complex",32
"Populus_tremula",33,-0.00335374264998841,0.0173532050616705,1.28500773088355,-2.50447442382278,-0.861738897973178,0.0107350858164909,0.867242582674128,2.53765041277783,5483.42721635542,1.00033594612073,"Populus_tremula",33
"Populus_tremuloides",34,-2.38595331646164,0.0483117843802537,3.17507733325749,-8.79630579872169,-4.48409078552573,-2.33813707506642,-0.248234033675316,3.57620434989402,4319.19148757429,0.999604037880053,"Populus_tremuloides",34
"Prunus_avium",35,-1.37986040150424,0.0406850826976801,2.90077974205978,-6.91100176575149,-3.29705134075411,-1.39278843648018,0.447214963648478,4.67928401735789,5083.45638140606,1.00033605465606,"Prunus_avium",35
"Prunus_complex",36,-0.457548900217999,0.0338004803813076,2.24869484427982,-4.71351092996357,-2.05627786009978,-0.486330038001143,0.995751544797841,4.01799125434739,4426.03967949864,0.999408767632252,"Prunus_complex",36
"Prunus_padus",37,-1.07385231744833,0.016725272130785,1.16154367064402,-3.24957968751229,-1.86387518172136,-1.07889843640323,-0.282409877192456,1.20158196902994,4823.08260110758,0.999695174248983,"Prunus_padus",37
"Pseudotsuga_menziesii",38,3.45664251272273,0.0777482579379159,3.1660610834278,-2.3273160432358,1.28464218132093,3.26353128128908,5.42506870271495,10.1565766447277,1658.27764243607,1.00114122623553,"Pseudotsuga_menziesii",38
"Quercus_complex",39,-5.20191101067048,0.0420064877642682,2.45911563999412,-10.0272404557164,-6.77755429357859,-5.17247627147129,-3.57641512383633,-0.509982320832909,3427.08725586025,0.999791383083726,"Quercus_complex",39
"Quercus_petraea",40,-4.43345121109722,0.0615852594501332,3.28329958189738,-11.2123426647168,-6.47480183478209,-4.31866876455273,-2.18496796627118,1.5884871249069,2842.28401086354,1.00060083967642,"Quercus_petraea",40
"Quercus_robur",41,-1.29937240985617,0.0301057628251974,2.14238457427371,-5.42244070199209,-2.78450275340668,-1.2718050595758,0.12591549940705,2.96789430297056,5064.02211326591,1.00024705164347,"Quercus_robur",41
"Quercus_rubra",42,-3.20414238047298,0.0385686184072211,2.40662066306954,-8.03789425977028,-4.7613865853121,-3.18719511000899,-1.63484740706562,1.48541036006557,3893.56221301763,0.999808513241391,"Quercus_rubra",42
"Rhamnus_cathartica",43,-2.86011891526975,0.0424077976157859,2.88795479541658,-8.75280309554896,-4.69840280761158,-2.80322980430176,-0.967989875294067,2.6362362789984,4637.55789967718,0.999510657141402,"Rhamnus_cathartica",43
"Rhamnus_complex",44,-1.05828847057241,0.0413877843008581,2.871240598194,-6.54449865407249,-2.95761603212769,-1.11115804832393,0.844772835689922,4.64976891191415,4812.76679450396,0.999378173921524,"Rhamnus_complex",44
"Rhododendron_complex",45,-1.10220432697149,0.0368211936317189,2.58655332164566,-6.2374484187563,-2.77708933749798,-1.10319368436132,0.592902254368439,4.05716012039787,4934.54536292984,0.999160406056544,"Rhododendron_complex",45
"Robinia_pseudoacacia",46,-1.1248704147886,0.0452279734016581,2.9403073708351,-6.88086299691015,-3.1314275264129,-1.1230195684047,0.848513154694654,4.66013554029967,4226.40594965775,0.999266947758292,"Robinia_pseudoacacia",46
"Salix_complex",47,-3.1789914956836,0.0423867659857639,2.5813068167346,-8.4544803403751,-4.87078178724484,-3.10570218873012,-1.43938956458858,1.67060666237739,3708.67427885489,1.00054155325579,"Salix_complex",47
"Sorbus_aucuparia",48,-1.48622173499946,0.0355818524843387,2.35552529706617,-6.11012202279684,-3.02147698237998,-1.51581329980752,0.0232140574469264,3.14023226352412,4382.46479156694,0.999793393434992,"Sorbus_aucuparia",48
"Sorbus_complex",49,-0.563550587411808,0.0322858698912758,2.1807082859753,-4.82311100259687,-2.03558693111228,-0.511314571596571,0.880788519252285,3.82320448508449,4562.15632935917,1.00007407983475,"Sorbus_complex",49
"Symphoricarpos_albus",50,-1.63131734252595,0.0427931787920833,2.93055680819884,-7.49149343704691,-3.49936355004834,-1.61976485157163,0.281236893114302,3.97500394648671,4689.76620271034,0.999656493580303,"Symphoricarpos_albus",50
"Syringa_vulgaris",51,-1.71319032191899,0.0466155410790757,2.98793833411395,-7.66616442581688,-3.64853022768185,-1.71437295761624,0.245869202659237,4.12135482678292,4108.48590313141,1.0002388705419,"Syringa_vulgaris",51
"Tilia_cordata",52,-3.66685897924991,0.0360729338484546,2.3521544535107,-8.30304468369062,-5.21055962023328,-3.64175070832845,-2.10198334849461,0.881616335937343,4251.75999752717,0.99949463467505,"Tilia_cordata",52
"Ulmus_complex",53,-3.94385510564566,0.0207129102823732,1.40081004059265,-6.74664632644002,-4.84705612246903,-3.93921878542734,-2.97477181008538,-1.23934791960509,4573.79024493171,0.999413064541765,"Ulmus_complex",53
"Vaccinium_complex",54,-2.08579624921815,0.0446211199576812,2.97452233248492,-8.08965409835777,-3.98007469620092,-2.06311125777196,-0.11948015048703,3.65844727472451,4443.7900757923,0.999663390909087,"Vaccinium_complex",54
"Viburnum_complex",55,0.414681859864831,0.0349788895669486,2.18161325554034,-3.75769307032691,-1.0462524611487,0.3439188122155,1.87315677480162,4.73706929948636,3889.94526794648,0.999916923818279,"Viburnum_complex",55
"Abies_alba",1,-17.8812847397175,0.0928647968706495,4.87803499654092,-27.5965678806745,-21.0809090531323,-17.8455840141215,-14.6302668139933,-8.54479675024469,2759.22805583338,1.00078619042503,"Abies_alba",1
"Acer_complex",2,-6.72841410265082,0.0262117389704829,1.65272654353922,-9.93791963620309,-7.85468790174595,-6.73506320418025,-5.59127410372285,-3.48381852392015,3975.67006224316,1.00096706303436,"Acer_complex",2
"Acer_pseudoplatanus",3,-9.06494706239936,0.103556116097018,5.84395987810842,-20.5662171551008,-13.008598094818,-8.90590754506857,-5.19894891873187,2.62195528144806,3184.65905170998,0.999818393042692,"Acer_pseudoplatanus",3
"Acer_rubrum",4,-18.4477699082955,0.0668350616865704,4.46598626346673,-27.2845342631883,-21.3998892545809,-18.4016325443392,-15.4104352417578,-9.68203661418419,4465.04725376169,0.999174546855433,"Acer_rubrum",4
"Acer_saccharum",5,-6.22820493773674,0.0253773387084141,1.89744929689833,-9.93855081977969,-7.51922635136617,-6.19368130552325,-4.90367946306893,-2.52794845998497,5590.46852728529,0.999828295188864,"Acer_saccharum",5
"Aesculus_hippocastanum",6,-4.39460979649079,0.0837691116073475,5.50109008285047,-15.136622325474,-8.10758556650693,-4.38187282338174,-0.562998517304199,6.39981448675665,4312.50582037524,0.9999262497922,"Aesculus_hippocastanum",6
"Alnus_glutinosa",7,-5.11316214263992,0.0725295702254402,3.83462272411814,-12.8528109223974,-7.68793319734709,-5.1110363137609,-2.49388276963947,2.26240403730185,2795.21407870176,1.00047386737752,"Alnus_glutinosa",7
"Alnus_incana",8,-1.25313630273306,0.0380123302080031,2.30950817683012,-5.72292290447942,-2.81694662481211,-1.26968811020783,0.289200939983662,3.26779427822305,3691.3907692602,1.00102865526118,"Alnus_incana",8
"Aronia_melanocarpa",9,0.599385516252304,0.102454251716687,6.68374362821527,-12.3146168632167,-3.86142673328589,0.496129664253715,4.96284243549427,14.2810854534835,4255.78416835928,0.999138999227869,"Aronia_melanocarpa",9
"Betula_alleghaniensis",10,-9.67666823616063,0.0739501520726078,4.59459755270441,-18.5775572336847,-12.8208854630023,-9.64241390718313,-6.55315198640237,-0.643294166079558,3860.26226042029,0.99969564867143,"Betula_alleghaniensis",10
"Betula_lenta",11,-1.17115940409013,0.0676028701407873,4.69527470350088,-10.4838306338005,-4.27564409033987,-1.17716117418695,2.00841853482393,8.02865230522686,4823.8272139124,0.999682126865901,"Betula_lenta",11
"Betula_papyrifera",12,-31.7236163362928,0.060527662068158,3.6781577976784,-38.8603369872796,-34.2613634891505,-31.8043910553314,-29.2189917851017,-24.5616088441578,3692.77558416756,1.00023965519256,"Betula_papyrifera",12
"Betula_pendula",13,-3.8697479841988,0.0104847825893899,0.727147339469967,-5.33635461132574,-4.34401297437873,-3.87739176461305,-3.39736268552403,-2.41500724965972,4809.78850391261,1.00065403066968,"Betula_pendula",13
"Betula_pubescens",14,-2.04692419904272,0.00950803892306879,0.751251610042676,-3.54135261999484,-2.535996368213,-2.03484172210403,-1.5605888583494,-0.58388150215757,6242.93667458221,1.00011280684506,"Betula_pubescens",14
"Carpinus_betulus",15,-14.5654889072549,0.105467065490454,4.94606364407554,-24.3238828853884,-17.8300936288458,-14.5144359927364,-11.2194249651866,-4.82719726040526,2199.30608592753,1.00102649281796,"Carpinus_betulus",15
