parameters,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu_b_force_sp,-5.26872793744143,0.016069983336789,0.806132189913463,-6.85347096498765,-5.80197518987826,-5.26356257373097,-4.71270899079058,-3.72254648207059,2516.41157402268,0.999663741480635
sigma_b_force_sp,4.63916565023636,0.017963642130915,0.718708075884713,3.36979793571686,4.1386919211463,4.58286675986283,5.09779292886988,6.17348581474889,1600.72327870701,1.00177180631358
b_force[1],-7.16725254738056,0.032133547078432,2.16166810905759,-11.3949791731246,-8.6307858660027,-7.19472462227521,-5.65344353552814,-3.00193577970438,4525.43878816267,0.999487023424407
b_force[2],-0.019805950106467,0.026011218494381,1.65835556553521,-3.30732908123359,-1.12588171999616,-0.035520218365436,1.09416292286857,3.14073987132994,4064.75066610009,0.999363986297279
b_force[3],-7.00883639140686,0.036061298428343,2.1700954074262,-11.2941692054303,-8.48016243730514,-6.99378861710224,-5.5356452152573,-2.82152145560741,3621.38698009152,1.00010337338443
b_force[4],-0.687378301984642,0.042590768617362,2.68851459037411,-5.89630222332848,-2.47245800569186,-0.758462227950347,1.14377136757097,4.54183597981003,3984.6835789374,1.00014978004313
b_force[5],-4.93356411133258,0.02604977705236,1.8116779392668,-8.51449476170481,-6.17070549265935,-4.94434260345663,-3.68111108233016,-1.29535785463824,4836.7536769262,1.00020352851937
b_force[6],-0.628361172180046,0.053048785850884,3.22147244392392,-6.75014879897257,-2.8701643903373,-0.701321549937863,1.53933062276814,5.76837088678309,3687.72005074976,1.00145286726411
b_force[7],-9.08826620226028,0.038360935891972,3.01311484414984,-15.1246175584617,-11.1123147677049,-9.06866232693474,-7.04614026447474,-3.24560724089948,6169.54280573209,0.999770285464397
b_force[8],-9.67466164652126,0.033070877151974,2.4471009916307,-14.4247715754263,-11.3180654622749,-9.67696436619023,-8.02801866829986,-5.00353426716726,5475.35595355758,0.999961842687076
b_force[9],-4.60513106619693,0.06066543718891,4.38286118909045,-13.067028393456,-7.50736022074886,-4.69360600358534,-1.74684889747469,3.96359459733745,5219.54647578499,0.999336127986638
