"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_a_sp",30.4283312067624,0.0334299937775954,1.88662193835974,26.6497639091414,29.1985655482144,30.448915947438,31.6927538595483,34.0543684301748,3184.91003369751,0.999901612167136
"mu_b_force_sp",-5.22445455872009,0.0265229842295861,1.30772421058262,-7.79354199916985,-6.06468372605586,-5.23902618171001,-4.3382934625476,-2.62062253544189,2431.01452746288,1.00134621227596
"mu_b_photo_sp",-2.40290831887541,0.033117418842129,1.31523921592405,-5.01093342791945,-3.25677145531051,-2.38648209708834,-1.53180140718027,0.119951448432053,1577.23547902935,1.0024116654365
"mu_b_chill_sp",-9.34554859396586,0.0415576766117466,1.78869961873653,-12.7703082687118,-10.5475856843744,-9.38246002097923,-8.2032030144773,-5.72013981584996,1852.56011840928,1.00025645748439
"sigma_a_sp",9.48940869441977,0.0278098528330882,1.44531089066731,7.01900601974263,8.4720059141736,9.38278825062875,10.411667251852,12.6363433164497,2701.00363769877,1.00030053903202
"sigma_b_force_sp",5.78365165081446,0.0361876047302097,1.16443934117188,3.79465563654913,4.9836726422461,5.68360071603991,6.47491568850697,8.38687802224282,1035.41407384434,1.00532332291208
"sigma_b_photo_sp",4.2673063304776,0.0718971540252203,1.45986440366537,1.78177102880004,3.26443828983145,4.14307659741187,5.10891318249856,7.55237598832067,412.288896737786,1.01095946968373
"sigma_b_chill_sp",7.29408906113636,0.0371211765552698,1.46557886181889,4.92506668512004,6.23092609415475,7.14501919354875,8.14416858918284,10.5929051711253,1558.74444781782,1.00032459839681
"sigma_y",23.5318256193392,0.00582901558908111,0.410604559496244,22.7179312949779,23.2581975661662,23.5244583580876,23.8054677737526,24.3494060943655,4962.00390419214,0.999954396483758
"a_sp[1]",30.2156668601561,0.126922921940131,7.12758925445612,16.0871428936365,25.6348140751416,30.3035250432503,34.8925465721157,44.34361108529,3153.58982462286,1.00196248979989
"a_sp[2]",30.9712686249157,0.0485288494684743,3.51404810089734,24.1834448922886,28.6340507630615,31.0175917577993,33.3428995313667,37.7032510399825,5243.42926435233,0.99963724857857
"a_sp[3]",40.8659607559797,0.0730250014394038,4.59790671023026,31.8574324152264,37.7523910405931,40.8744308287525,43.9140468871041,50.0478417727855,3964.39721429629,0.999972660538824
"a_sp[4]",35.1093795592353,0.0894064476099115,5.55100706226141,24.2776747611606,31.3796017235882,35.1161930274417,38.6627288687334,46.2790030874013,3854.83577622536,1.00119538321997
"a_sp[5]",34.8702687504241,0.0957992617764726,5.69200477531012,23.900285161847,30.9558447436775,34.8166415463095,38.686777538601,45.9288687534488,3530.25589284719,1.00069896679122
"a_sp[6]",37.2749365796211,0.0889884990552233,5.44717398651432,26.8289909686019,33.594777987192,37.2475381976598,40.9686582576197,48.0582437365919,3746.92267700886,0.999736135494918
"a_sp[7]",32.1364767479293,0.0857891531162609,4.89387065790064,22.5058080602838,28.8651673758573,32.1307464597945,35.2645859629868,42.127903147245,3254.16981838848,1.0004598898096
"a_sp[8]",36.1874736385949,0.0920957708900352,4.95642273597513,26.717087912882,32.7812981736944,36.167317768663,39.5899894828038,45.8834003481587,2896.39177793065,1.00022738615011
"a_sp[9]",19.9788361743147,0.0197374825872368,1.37620635420365,17.3477604680785,19.0503607860795,19.9565103574272,20.9401357444964,22.6616897059469,4861.64896815344,0.999474879730255
"a_sp[10]",21.2778060947462,0.0223302586559613,1.60498305498993,18.2027174335445,20.1741071885666,21.2638548043582,22.3734624635936,24.4308631465556,5165.9880347083,0.999617756407531
"a_sp[11]",25.1535761075187,0.0905333377583534,5.36876338498558,14.9283132295315,21.4666837508808,25.1350688015629,28.7595196960837,35.5933838065274,3516.66876152165,0.99950174690935
"a_sp[12]",27.2410813361655,0.0882617531865606,6.04593379946302,15.8201574052129,23.1240829987342,27.2442561789055,31.3574652505683,39.1695028492649,4692.25575274445,1.00017193392714
"a_sp[13]",21.7763096917186,0.106230034044595,6.76675349404381,7.92117486498317,17.3681885575162,21.9290119893823,26.4509135300385,34.7018610848267,4057.57046271251,1.00054397324039
"a_sp[14]",23.7582357141458,0.0592443233687283,4.17843291385029,15.7268181681538,20.9137792429325,23.7789715627547,26.7555322087164,31.7146783077456,4974.3161052452,0.999519780071507
"a_sp[15]",49.3624307522698,0.0356441320237509,2.24004772196331,44.9780684085391,47.8457258946969,49.3757515622587,50.8266692603706,53.6699269522538,3949.46667876039,0.999999430419245
"a_sp[16]",41.9884732286922,0.0602773361509046,3.94988711519063,34.3017203106886,39.3344390098254,42.0041906834654,44.6517018426762,49.746768530184,4293.99234218941,0.999898613819142
"a_sp[17]",32.0961292991187,0.134689879395275,7.00348044110276,18.2516846928978,27.5339383869996,32.1080867155253,36.4618152482781,45.9283862202724,2703.69633392825,1.00061958837322
"a_sp[18]",22.3934291143018,0.100762969309489,5.79151368395002,11.0673255727242,18.4669270898554,22.310728877351,26.2191375794162,33.8150210441563,3303.56046265941,0.999972801032854
"a_sp[19]",45.7705826287715,0.0422840662998448,2.57964322635,40.7367420459029,44.0772249360475,45.7822233849889,47.4864031379381,50.8030296024364,3721.90943383553,1.00045385709678
"a_sp[20]",25.4836279551369,0.105712291287112,6.31909708128256,13.2175448626814,21.301264347009,25.5196238905027,29.5768862940412,38.0733625247308,3573.21445986212,1.0005890629952
"a_sp[21]",28.8958661797255,0.0613544804892674,3.83474353230457,21.346784359974,26.2925477423403,28.910978357683,31.5528107442765,36.2284372184322,3906.43031027631,1.00146480710743
"a_sp[22]",23.8268191506086,0.119225611081997,7.28354019733298,9.39277572650244,18.9567627469543,23.7854408094585,28.7136538522105,38.0658500436975,3732.03689641734,1.00003827409051
"a_sp[23]",25.3139571662373,0.0719905906886137,4.92470319265916,15.3725383022314,22.0736198709768,25.356357455322,28.599001897605,34.8266910264408,4679.59909363493,1.00005908648433
"a_sp[24]",30.9098414618686,0.0594825934870221,3.67889893185202,23.7265070410517,28.4252426108986,30.8616197706534,33.412118729368,38.0601184166833,3825.21563392301,0.999716877205074
"a_sp[25]",39.6107475025529,0.0554013091428352,3.47041059116916,32.8878720529648,37.2587946048714,39.559334310061,41.9875676790858,46.3411079248218,3923.93374281898,1.00005259849669
"a_sp[26]",42.0959720094465,0.0723901358399258,4.52824620628885,33.2014257605334,39.0363438112932,42.0369006037691,45.09299824725,51.0240048681337,3912.92281038339,1.00000617962995
"a_sp[27]",43.3153709660165,0.0756454934417645,4.73159549925688,34.2645146686075,40.0582114635862,43.326881955515,46.574284259006,52.4068421594451,3912.45269610451,0.999208454211415
"a_sp[28]",30.8926929012419,0.0705948441999155,5.08690171241533,20.9912163685994,27.3945556598779,30.8689366437231,34.3216079269456,40.8724914621551,5192.31132804601,0.999912240893868
"a_sp[29]",21.8675671626287,0.0786521815687222,5.57501777679793,10.8043481757631,18.0372706007397,21.9098243507088,25.7622575489013,32.7093192425672,5024.24682624534,0.999730030666631
"a_sp[30]",24.2290741690957,0.0880703106988137,6.14181067675712,11.7285063650506,20.1518309606009,24.297809303979,28.3556949398118,36.1429619312367,4863.33060076551,1.00014990944673
"a_sp[31]",27.186042324194,0.0697252607344894,4.89874598874952,17.6095038244888,23.946598538958,27.1398429224376,30.4812464108825,36.7306468379091,4936.16363026028,0.999691006455214
"a_sp[32]",21.3971164144177,0.100190689818551,5.75024390256372,10.3242614150248,17.494888393949,21.3276278832792,25.213017839326,32.7345203617328,3293.95603862784,1.00027354525519
"a_sp[33]",27.0736068370769,0.0968230661544316,6.00242014602977,15.6085679663684,22.9649307847223,26.9903176332855,31.080245051504,38.8957344375392,3843.21887781444,1.000918577031
"a_sp[34]",23.472852728579,0.0797975222196444,5.4674120169986,12.6440924281262,19.8029029208138,23.4454350319183,27.2042363978662,34.1080678398445,4694.45081578544,0.999626119621872
"a_sp[35]",23.732159853838,0.0723672193003911,5.37376444755269,13.091016733547,20.2078031384812,23.7543719660393,27.432145975461,34.3580260985454,5514.08531097013,0.999184241397793
"a_sp[36]",29.2014260706348,0.0508415568518024,2.9516409003037,23.4943651225732,27.2250440860073,29.1661514853183,31.1276736024886,35.148478024904,3370.46139792756,1.00108896628747
"b_force[1]",-6.47613868947392,0.0904790378466372,4.69302897707662,-15.62129271355,-9.56400409685484,-6.51713267390973,-3.44906935467057,2.95260453914302,2690.36078620702,1.00232911310722
"b_force[2]",1.7826394127639,0.0503426115903437,3.07489812158799,-4.25359150984757,-0.272676749350032,1.76109569751448,3.78354937281495,7.77779972743774,3730.69701405697,1.00020327972237
"b_force[3]",-4.51167528270431,0.0569535309200092,3.31371670466803,-10.9150583252986,-6.68333839960951,-4.5924215318681,-2.27865783351263,2.10736164614858,3385.23986233755,1.00105254293098
"b_force[4]",-5.16551781077456,0.0541303818951956,3.32774715090855,-11.7527472051552,-7.37875126661814,-5.19319047341803,-2.82262177719401,1.34764042563698,3779.36170659248,1.00139569213545
"b_force[5]",-2.3262839351875,0.0741408373314153,4.30481900060659,-10.4975743816048,-5.32708527267938,-2.41649282765543,0.603647559776176,6.36173642905567,3371.27995824621,1.0012397959143
"b_force[6]",-12.1363125412494,0.0731674425478861,4.42588138912597,-20.954898093231,-15.1271014822933,-12.0585850635548,-9.11698687569063,-3.62992647284978,3659.011642892,1.00100438453077
"b_force[7]",-9.26056174725036,0.0602127592621716,3.87666089415483,-17.1463769098873,-11.7388651750496,-9.15489976373066,-6.61101558800706,-1.8912081321287,4145.13393776794,1.00021948277281
"b_force[8]",-10.0893853133834,0.101891020771715,4.88390685881655,-20.1438840919511,-13.2817858420159,-9.94623505370282,-6.7187269093198,-0.983859748830244,2297.53914491552,1.00055145247919
"b_force[9]",-3.02834239677447,0.032499685494158,2.29246320791029,-7.58519468263087,-4.53304637992107,-3.04221741693373,-1.51876046898415,1.50349962156196,4975.61114788211,0.999547793735241
"b_force[10]",-8.19955745461651,0.034514122317856,2.38164511540243,-12.9281405478417,-9.77384892259843,-8.17281186116541,-6.549412911987,-3.62169149122653,4761.68244699081,0.999972654759402
"b_force[11]",-1.53236471286534,0.0747563523525802,4.10607261598863,-9.40399274548516,-4.26205480269027,-1.70077430033955,1.17856392954959,6.70719372769546,3016.87312703629,0.999744570393456
"b_force[12]",-0.906479205431584,0.0801691273022827,4.8047093528532,-9.82955816512785,-4.21381550707571,-1.02687920253966,2.09489019171769,9.34456114952879,3591.86438284827,1.00091695893987
"b_force[13]",-0.976269915411694,0.0775100799596378,4.70143527851847,-9.76611242358539,-4.04012809055498,-1.15936573487137,2.09460660722383,8.74769183745063,3679.12508840914,1.00006502315379
"b_force[14]",-5.65905178872522,0.0480663458890955,3.27221031267055,-12.0743201224632,-7.86534607786035,-5.69068277425265,-3.52669817536464,0.908000877496319,4634.47136744591,1.00020102462547
"b_force[15]",0.234877301381606,0.0360360754549344,2.03982980010732,-3.80224790878999,-1.11313337961536,0.247336862398229,1.63293939905025,4.16487883777677,3204.15036904321,1.00003594174042
"b_force[16]",3.39065537614639,0.0540994509819698,3.22569852691707,-2.86740445082459,1.19772503333625,3.37226842350537,5.52019890805499,9.65269502294712,3555.18198196266,0.999842782408612
"b_force[17]",-6.57473164154679,0.0922005976508044,4.75743944790579,-16.1932027919055,-9.71635451185325,-6.53186348383144,-3.43589535532271,2.73763347968582,2662.43532180819,1.00112570437097
"b_force[18]",-1.10251424700726,0.0676160003384191,3.87046133314116,-8.6064434359138,-3.67134621506078,-1.12178701509154,1.42555320253878,6.65850113879672,3276.62326929952,1.00070779642845
"b_force[19]",-9.05695949891051,0.0403489418195788,2.43184140594537,-13.8297870473792,-10.7169057933696,-9.04028157496458,-7.35273596125186,-4.34204517197138,3632.5048133249,1.00157137626516
