"Coefficient","Species","Number","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_force","Abies_alba",1,-7.1271048246246,0.0323499524353164,2.23583812273804,-11.4295838989378,-8.56596083278119,-7.1377081366476,-5.6667350581225,-2.61944030447293,4776.75999440672,0.999524212215519
"b_force","Acer_complex",2,0.0498673243473445,0.022596373216443,1.65387070741618,-3.18267068542565,-1.06077250590663,0.0902430717894479,1.15776344284161,3.27782979090451,5357.04916351808,1.0000673357932
"b_force","Acer_pseudoplatanus",3,-7.05702261474651,0.0352597348851805,2.20291175700283,-11.4104415669422,-8.53530217679588,-7.05508818484759,-5.54653151645677,-2.8028273484541,3903.3376123251,0.999706580271573
"b_force","Acer_rubrum",4,-0.721882082512241,0.0395331797221497,2.67014212856522,-5.91796726578925,-2.46215582723968,-0.767358941623573,1.04256506864421,4.60852184049281,4561.8947828029,0.999336140563381
"b_force","Acer_saccharum",5,-4.90612250227039,0.0255862440322827,1.83002547655734,-8.44626875940336,-6.14441918460446,-4.91005816306687,-3.68776555616539,-1.3502796747762,5115.65438933469,0.999624570675594
"b_force","Aesculus_hippocastanum",6,-0.648942554971762,0.0498028923116886,3.11328059596186,-6.66044212996697,-2.7993365847166,-0.668801194955301,1.43955034506154,5.4866535468234,3907.75564617838,1.00048420665224
"b_force","Alnus_glutinosa",7,-9.15541843004738,0.0418619119779608,2.96868539626147,-15.1706706171295,-11.1208113166746,-9.21305228860263,-7.16203486998026,-3.24962026643794,5029.09954188881,0.999683039168213
"b_force","Alnus_incana",8,-9.68032640708821,0.0343061846178363,2.47836801219891,-14.491473460538,-11.3632375942242,-9.68150663731205,-7.99802431847358,-4.77292375974105,5218.99342038856,0.999444471631321
"b_force","Aronia_melanocarpa",9,-4.5143721265432,0.0609905091151795,4.25727443657609,-12.9151116460881,-7.3828459350915,-4.4471667600898,-1.75412582798985,4.02955649793949,4872.35335357829,1.00089593319249
"b_force","Betula_alleghaniensis",10,-6.15068534126636,0.0314798883642114,2.19642045480008,-10.4959364970552,-7.61218763590485,-6.14819193800619,-4.69068669371213,-1.82645766849728,4868.15717940433,0.999434603398525
"b_force","Betula_lenta",11,-5.12538548547513,0.0621410428933755,4.17131004857533,-13.2125035597874,-7.91038260813706,-5.121096224847,-2.38035053406864,3.05789402200939,4505.96556077897,1.00005703670555
"b_force","Betula_papyrifera",12,-5.08957391333172,0.0389175852550647,2.60402400987376,-10.2312081368244,-6.80881388338844,-5.04648751319492,-3.30388442508481,-0.0618216813739497,4477.1144600891,0.999713344827325
"b_force","Betula_pendula",13,-2.96783303221173,0.0184680090993111,1.37459280595248,-5.65762465203487,-3.88928729404144,-2.96874285830211,-2.04072758609,-0.281366038552356,5539.97715191897,0.999922915351609
"b_force","Betula_pubescens",14,-6.74061492119574,0.0212061390021567,1.52234264472713,-9.7386603380281,-7.77687985713282,-6.69644317207796,-5.70745911100059,-3.79472857121115,5153.49215076006,1.00013715475197
"b_force","Carpinus_betulus",15,-0.657008069966227,0.0523043318035712,3.03740746024635,-6.4658474504533,-2.63494011276338,-0.687667310442328,1.3606057840846,5.42951727596224,3372.33565309621,0.999498761365467
"b_force","Cornus_alba",16,0.837793262459881,0.056404556602848,3.56201859100257,-5.99402556501303,-1.53441809050932,0.72723108106185,3.20543281426375,8.0797116724544,3988.0811285771,0.999599427900355
"b_force","Cornus_mas",17,-3.00179271604015,0.0480844552979133,3.13755293703249,-9.27002987324864,-5.04855416523019,-3.0645372171947,-0.905313825877915,3.21111480516975,4257.67710878881,0.999717052529821
"b_force","Corylus_avellana",18,-4.72877769822929,0.0320838531195812,2.1257427421943,-8.8586287645039,-6.17674966881478,-4.71320634422739,-3.28523433186406,-0.553976013733419,4389.8367608338,1.0004044881871
"b_force","Corylus_complex",19,-4.39994280724246,0.0519295017282453,3.91659162987927,-11.7757244343417,-7.02380368778011,-4.49143993957106,-1.78775268358227,3.37164188100552,5688.37569235913,0.999974666186313
"b_force","Fagus_complex",20,-4.05494409194734,0.0462753963399182,3.14220663297126,-10.3208696412385,-6.14649563513106,-4.1522731223393,-1.95293221331326,2.00415899411863,4610.72465806974,0.999562020310962
"b_force","Fagus_sylvatica",21,-1.73901974808519,0.0176397117997373,1.21352500720331,-4.07169965528133,-2.55133734463307,-1.75614770955319,-0.899303496191007,0.608638666373389,4732.76008975289,0.99981841306995
"b_force","Fraxinus_complex",22,1.80075115643321,0.0293854768516487,1.92001133670253,-1.9446193833399,0.503693741991411,1.78673475210319,3.14669069320117,5.49311647843411,4269.1567477656,0.999463438886447
"b_force","Fraxinus_excelsior",23,-7.01026852622881,0.0669213859587694,3.88417255055822,-14.8131602139645,-9.6064640953144,-6.93718649494513,-4.32336334327757,0.422005396988082,3368.73753904379,1.00032548844223
"b_force","Hamamelis_complex",24,-5.84684589363953,0.0550040856996154,4.23386296926354,-14.2333040636288,-8.68165617415723,-5.84458229468259,-2.92406326765689,2.43640542416609,5924.93643551724,1.000156849945
"b_force","Larix_complex",25,-7.9715940304867,0.0743344017128942,4.46276858499585,-16.8983641702554,-10.8280006739751,-7.89003303810199,-5.11007462211589,0.466018375288938,3604.36724121541,1.00270537074064
"b_force","Larix_decidua",26,-4.34327672069636,0.0305446813108395,2.05646106328278,-8.39959143138346,-5.71765425896591,-4.31879943116509,-2.96698837506427,-0.384579506869667,4532.83369559672,0.999286008523801
