"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1957/1958",1958,2306,1893.5,123.468632003046,7.15634433612807
"1958/1959",1959,2307,2036.5,131.554671398678,8.9380659944167
"1959/1960",1960,2285,2063.5,127.784190610625,7.82471829142526
"1960/1961",1961,2109,1996,122.897095782613,9.42238202132724
"1961/1962",1962,1813,1435,106.093138790741,7.41912734912234
"1962/1963",1963,1657,1688,114.094549592535,5.87985851560315
"1963/1964",1964,2261,1920,115.492933010726,7.09323943453565
"1964/1965",1965,1964,1608,118.257192458932,7.10749999759719
"1965/1966",1966,1914,1686,116.457904602214,8.28874997119419
"1966/1967",1967,2077,1777.5,121.548174868346,8.35325468673353
"1967/1968",1968,1817,1633.5,117.198501669876,8.73218305987424
"1968/1969",1969,1608,1328.5,101.021237916793,7.07558962095195
"1969/1970",1970,1853,1543,117.355881092162,6.82570755106555
"1970/1971",1971,2297,1985.5,125.222312803014,7.75346696429078
"1971/1972",1972,2444,2156.5,127.004373321418,8.53025818175851
"1972/1973",1973,2031,1563,119.557061798928,7.12870282731195
"1973/1974",1974,2997,2114.5,134.521585697192,8.54962260687267
"1974/1975",1975,2484,2065.5,132.341742134219,7.94702828071906
"1975/1976",1976,2045,1767.5,120.874145983202,7.41598590619495
"1976/1977",1977,2197,1975,124.762770229285,8.92643863618602
"1977/1978",1978,2162,1812.5,122.35022437957,7.9065094137002
"1978/1979",1979,2441,1943.5,123.782520560909,7.45330187666037
"1979/1980",1980,2181,1627.5,119.072278824052,7.71124411555785
"1980/1981",1981,1750,1640,111.115290130314,7.10801886551012
"1981/1982",1982,2313,2096,128.379555281701,7.09872641288763
"1982/1983",1983,2217,2050.5,123.105667011741,9.14148580119067
"1983/1984",1984,2097,1823,118.998087593302,7.33187792685425
"1984/1985",1985,2125,1735.5,111.849010461585,7.56783017598725
"1985/1986",1986,1940,1614.5,117.225765605497,7.18240565630027
"1986/1987",1987,2275,2000,117.055024104315,7.01077830164588
"1987/1988",1988,2375,1902,125.545900662777,8.68021123004999
"1988/1989",1989,2471,2448,135.721761370977,9.52695749068791
"1989/1990",1990,2544,2249,127.834381486948,9.53700466027466
"1990/1991",1991,2217,1872.5,121.306852948644,8.1232311069693
"1991/1992",1992,2698,2324.5,133.756798335174,8.16887321331027
"1992/1993",1993,2038,1865,117.827220441792,8.19056601112463
"1993/1994",1994,2655,2481,137.159969627958,9.06099051997101
"1994/1995",1995,1988,1592.5,117.557301073587,8.80794807279676
"1995/1996",1996,1801,1617,111.418408202809,7.37413144703657
"1996/1997",1997,2583,1779.5,128.650725987554,8.43702826976671
"1997/1998",1998,2139,2095.5,129.541845898846,9.00042448358891
"1998/1999",1999,2314,2061.5,125.147223149063,8.19341978464574
"1999/2000",2000,2295,2068,122.979731676506,8.52063376882809
"2000/2001",2001,2135,1818,109.894159073969,9.70754710929292
"2001/2002",2002,2417,2252,127.389580032448,8.25952827373414
"2002/2003",2003,2185,1921.5,125.250546329198,7.92002356434153
"2003/2004",2004,1966,1677.5,110.991680515136,7.94206570664272
"2004/2005",2005,1771,1691,106.865018344449,8.28988204664059
"2005/2006",2006,2095,1962,119.33281663652,7.2818396163419
"2006/2007",2007,2765,2512.5,129.288767696917,11.1920282081877
"2007/2008",2008,2534,2346,132.72115596085,8.57316897892144
"2008/2009",2009,2235,1975,119.111057637168,8.87735844860381
"2009/2010",2010,1961,1978.5,111.826926585001,8.04332544837797
"2010/2011",2011,1995,1936,121.921112619364,8.23865563269125
"2011/2012",2012,2383,2159,123.165680528474,8.34664316238844
"2012/2013",2013,2105,1837.5,111.523714254057,7.96995280850854
"1950/1951",1951,2635,2226,130.011316099596,7.11112499751616
"1951/1952",1952,1707,1466,105.17016015275,7.3844131369476
"1952/1953",1953,2065,2050.5,113.23932487772,6.64096698915709
"1953/1954",1954,2346,2036.5,117.250554469661,6.0478302099619
"1954/1955",1955,1927,1679.5,113.219710189131,6.39844340967225
"1955/1956",1956,1875,1452,104.90853710096,5.55330989149097
"1956/1957",1957,2429,2375,127.283393228211,7.41818395291701
"1957/1958",1958,2457,2189,131.961660312741,7.15634433612807
"1958/1959",1959,2501,2284,135.769135002429,8.9380659944167
"1959/1960",1960,2414,2301.5,131.713724980137,7.82471829142526
"1960/1961",1961,2105,2175,126.461860346752,9.42238202132724
"1961/1962",1962,1982,1657.5,111.190213145641,7.41912734912234
"1962/1963",1963,1726,1768.5,114.384920024816,5.87985851560315
"1963/1964",1964,2416,2162,126.6363276143,7.09323943453565
"1964/1965",1965,2199,1833.5,121.545551012854,7.10749999759719
"1965/1966",1966,2077,1870,120.446426913374,8.28874997119419
"1966/1967",1967,2311,2005.5,125.301629000214,8.35325468673353
"1967/1968",1968,1933,1769,119.889627466034,8.73218305987424
"1968/1969",1969,1862,1506.5,107.028981000819,7.07558962095195
"1969/1970",1970,2003,1782.5,123.454303949229,6.82570755106555
"1970/1971",1971,2417,2207,129.279073117364,7.75346696429078
"1971/1972",1972,2576,2418,130.023627316532,8.53025818175851
"1972/1973",1973,2375,1855,128.121792788845,7.12870282731195
"1973/1974",1974,3309,2646,142.387627379296,8.54962260687267
"1974/1975",1975,2690,2364.5,135.398975897466,7.94702828071906
"1975/1976",1976,2184,2007.5,123.547723258874,7.41598590619495
"1976/1977",1977,2329,2166,127.396577848834,8.92643863618602
"1977/1978",1978,2324,2090,131.087899439263,7.9065094137002
"1978/1979",1979,2650,2295,130.108546977023,7.45330187666037
"1979/1980",1980,2368,1963.5,124.096071512241,7.71124411555785
"1980/1981",1981,1822,1772,114.218857954998,7.10801886551012
"1981/1982",1982,2449,2318.5,133.476038572873,7.09872641288763
"1982/1983",1983,2267,2208.5,126.758679413843,9.14148580119067
"1983/1984",1984,2279,2066,126.138435918239,7.33187792685425
"1984/1985",1985,2199,1994,116.87424298206,7.56783017598725
"1985/1986",1986,2064,1859,116.947607879166,7.18240565630027
"1986/1987",1987,2367,2225,125.351981573169,7.01077830164588
"1987/1988",1988,2646,2231,130.542176430758,8.68021123004999
"1988/1989",1989,2374,2618,138.837745552663,9.52695749068791
"1989/1990",1990,2560,2483,132.024608496008,9.53700466027466
"1990/1991",1991,2351,2132.5,127.478314212484,8.1232311069693
"1991/1992",1992,2893,2656.5,139.124708702532,8.16887321331027
"1992/1993",1993,2147,2006,122.641844985555,8.19056601112463
"1993/1994",1994,2722,2744.5,139.303805055459,9.06099051997101
"1994/1995",1995,2312,1860,120.136495244335,8.80794807279676
"1995/1996",1996,1893,1805,117.521078498126,7.37413144703657
"1996/1997",1997,2893,2247.5,134.301736847469,8.43702826976671
"1997/1998",1998,2236,2270,131.498333153441,9.00042448358891
"1998/1999",1999,2418,2312,130.088227908987,8.19341978464574
"1999/2000",2000,2332,2216.5,124.023662027986,8.52063376882809
"2000/2001",2001,2290,2019.5,119.647377773602,9.70754710929292
"2001/2002",2002,2531,2467.5,132.290298870634,8.25952827373414
"2002/2003",2003,2280,2173.5,126.147298121104,7.92002356434153
"2003/2004",2004,2150,1808,114.774185829281,7.94206570664272
"2004/2005",2005,1961,1825,116.348044897733,8.28988204664059
"2005/2006",2006,2162,2096.5,121.128258667225,7.2818396163419
"2006/2007",2007,2793,2767.5,131.728295408614,11.1920282081877
"2007/2008",2008,2671,2585.5,138.839135547445,8.57316897892144
"2008/2009",2009,2338,2173.5,123.196873598958,8.87735844860381
"2009/2010",2010,1951,2076,117.517121853604,8.04332544837797
"2010/2011",2011,2180,2062.5,124.658328159311,8.23865563269125
"2011/2012",2012,2410,2375.5,129.430661678545,8.34664316238844
"2012/2013",2013,2280,2047,119.358178401715,7.96995280850854
"1950/1951",1951,2841,2568,140.16293634966,7.11112499751616
"1951/1952",1952,1911,1635,111.492078469171,7.3844131369476
"1952/1953",1953,2098,2199,113.004509996631,6.64096698915709
"1953/1954",1954,2416,2318,125.386684059434,6.0478302099619
"1954/1955",1955,2237,1889,119.274346138543,6.39844340967225
"1955/1956",1956,2148,1721,108.706335541711,5.55330989149097
"1956/1957",1957,2442,2593,133.737633894678,7.41818395291701
"1957/1958",1958,2568,2438,134.815571843998,7.15634433612807
"1958/1959",1959,2576,2528.5,138.216423677831,8.9380659944167
"1959/1960",1960,2498,2504.5,135.49881917066,7.82471829142526
"1960/1961",1961,2150,2247,127.36015141648,9.42238202132724
"1961/1962",1962,2131,1853.5,120.050277156722,7.41912734912234
"1962/1963",1963,1828,1852.5,116.646458424981,5.87985851560315
"1963/1964",1964,2449,2377.5,132.521608387739,7.09323943453565
"1964/1965",1965,2320,2065.5,126.896820611851,7.10749999759719
"1965/1966",1966,2272,2020,121.394517949194,8.28874997119419
"1966/1967",1967,2436,2202.5,127.144316630375,8.35325468673353
"1967/1968",1968,1974,1910,121.958536704059,8.73218305987424
"1968/1969",1969,2138,1743.5,114.790882745308,7.07558962095195
"1969/1970",1970,2208,1987,128.321154965926,6.82570755106555
"1970/1971",1971,2458,2405.5,133.605452094046,7.75346696429078
"1971/1972",1972,2601,2655.5,138.570369467283,8.53025818175851
"1972/1973",1973,2653,2191.5,131.967778901308,7.12870282731195
"1973/1974",1974,3420,3128,148.210163987869,8.54962260687267
"1974/1975",1975,2722,2642,141.084858387588,7.94702828071906
"1975/1976",1976,2227,2173,126.697762233739,7.41598590619495
"1976/1977",1977,2449,2303.5,128.905932118593,8.92643863618602
"1977/1978",1978,2549,2301.5,134.101709152316,7.9065094137002
"1978/1979",1979,2812,2570.5,136.541621997417,7.45330187666037
"1979/1980",1980,2598,2264,128.083716479175,7.71124411555785
"1980/1981",1981,2010,1881.5,120.776643582021,7.10801886551012
"1981/1982",1982,2586,2554,136.237293297733,7.09872641288763
"1982/1983",1983,2255,2339.5,129.510119811209,9.14148580119067
"1983/1984",1984,2404,2284,130.667161332355,7.33187792685425
"1984/1985",1985,2316,2221,122.789341390619,7.56783017598725
"1985/1986",1986,2156,2026,120.059372003076,7.18240565630027
"1986/1987",1987,2318,2409,127.757017827715,7.01077830164588
"1987/1988",1988,2793,2517.5,133.282890354468,8.68021123004999
"1988/1989",1989,2266,2671.5,137.187338725547,9.52695749068791
"1989/1990",1990,2543,2669,134.384894674867,9.53700466027466
"1990/1991",1991,2490,2345.5,126.977042192444,8.1232311069693
"1991/1992",1992,2917,2927.5,142.534121140998,8.16887321331027
"1992/1993",1993,2207,2143,125.343450746633,8.19056601112463
"1993/1994",1994,2622,2881,139.10061651123,9.06099051997101
"1994/1995",1995,2553,2142.5,122.707258215624,8.80794807279676
"1995/1996",1996,2022,1948.5,117.174325662396,7.37413144703657
"1996/1997",1997,3076,2699.5,135.630473224443,8.43702826976671
"1997/1998",1998,2215,2347.5,132.805340668645,9.00042448358891
"1998/1999",1999,2399,2505.5,132.826664789739,8.19341978464574
"1999/2000",2000,2318,2327,125.089280319347,8.52063376882809
