"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1955/1956",1956,2280,2648.5,131.313817788886,8.1942018065383
"1956/1957",1957,2430,3105.5,144.260558623819,11.0004008092768
"1957/1958",1958,2759,2871.5,140.902623759732,9.24471688625526
"1958/1959",1959,2341,2747,134.664836080496,10.7357074189668
"1959/1960",1960,2314,2980,142.385276745393,10.2862440132986
"1960/1961",1961,2323,2762.5,136.594867469743,11.2869809915505
"1961/1962",1962,2522,2724.5,133.706561967308,9.37016499665882
"1962/1963",1963,1513,2026,111.382969727421,6.74573109305534
"1963/1964",1964,2459,2735,136.761459178557,8.81431916356961
"1964/1965",1965,2923,2860,139.32732397375,9.02778292883996
"1965/1966",1966,2382,2658.5,131.101018983333,9.12235839842415
"1966/1967",1967,2734,3253.5,144.396016354325,10.5366036498322
"1967/1968",1968,2573,2320,123.380499081955,9.83830975101028
"1968/1969",1969,2412,2198.5,122.286229937775,8.58028293884236
"1969/1970",1970,2362,2627.5,133.469738443915,7.94891502842623
"1970/1971",1971,2559,3068.5,141.230225042512,9.74049517706054
"1971/1972",1972,2946,3147.5,146.527586196444,9.94232383319242
"1972/1973",1973,3166,3469,150.496040617399,9.43587254235995
"1973/1974",1974,2788,3801,159.019918067903,10.4714857267594
"1974/1975",1975,2855,3480,152.44647779335,10.8041743985685
"1975/1976",1976,2513,2727.5,134.607893828277,9.2348590602731
"1976/1977",1977,2570,3150.5,144.536612903901,10.2229008266553
"1977/1978",1978,2306,2765.5,138.233504915642,10.1429244133486
"1978/1979",1979,2481,2550.5,130.079316797346,8.17610841957448
"1979/1980",1980,2616,2878.5,138.778230770415,9.8517369807571
"1980/1981",1981,2364,2580,131.933164990577,9.89794800372988
"1981/1982",1982,2488,2947,141.977471191406,8.9810140619608
"1982/1983",1983,2298,2896,138.707304137284,10.9436319426212
"1983/1984",1984,2945,3048.5,141.770892629766,9.85051632350739
"1984/1985",1985,2161,2362,124.424598599382,9.07436311647806
"1985/1986",1986,2183,2702.5,130.020865065917,8.51266501582544
"1986/1987",1987,1953,2487,128.857326478336,9.21900933966005
"1987/1988",1988,2704,3514.5,152.384513364596,10.977394232592
"1988/1989",1989,2535,3156,145.339313540349,11.3548111787136
"1989/1990",1990,2338,3084,143.303312787031,11.8445281488997
"1990/1991",1991,2525,2865.5,138.496148700399,10.4670753494995
"1991/1992",1992,2734,3678.5,151.737942644531,10.5338731157449
"1992/1993",1993,2415,2748,137.144711385027,10.3270517677236
"1993/1994",1994,2356,3176,143.292872882444,9.96433951167987
"1994/1995",1995,2250,2700,130.853711212861,11.3210375945629
"1995/1996",1996,2186,2143,114.224486049165,8.43981212968698
"1996/1997",1997,2402,3092.5,144.186802795087,9.79082536461482
"1997/1998",1998,2097,3073.5,144.648035007152,11.4420045729911
"1998/1999",1999,2282,2954.5,138.542756431873,10.9508489235919
"1999/2000",2000,2079,3031.5,141.492928128323,11.6354928094317
"2000/2001",2001,2426,2671.5,132.46688262468,10.9559432631007
"2001/2002",2002,2154,3123.5,145.98852789148,11.7743630561284
"2002/2003",2003,2295,2846,141.312983215983,10.1065800745383
