"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1954/1955",1955,2333,2333.5,129.978289626883,6.86997635094537
"1955/1956",1956,2376,2359,121.550197195125,5.89927225801744
"1956/1957",1957,2459,2659,139.983621654269,8.52492914414297
"1957/1958",1958,2797,2689,137.927259441454,7.25957539884092
"1958/1959",1959,2548,2436,130.455205578672,9.0109432842231
"1959/1960",1960,2566,2853,136.230666813833,7.61826282992364
"1960/1961",1961,2114,2420,121.946130644808,9.82240553023645
"1961/1962",1962,2487,2317,121.162472149854,8.2039150003748
"1962/1963",1963,1377,1735.5,105.473385275989,5.06313676868987
"1963/1964",1964,2484,2492.5,125.968425519657,7.01779335977711
"1964/1965",1965,2684,2509,132.327529108607,7.42908011203333
"1965/1966",1966,2332,2267.5,118.567454619645,7.67325463487749
"1966/1967",1967,2474,2732.5,131.176726858965,9.07709894312177
"1967/1968",1968,2357,2105,117.477037187316,9.02784026320587
"1968/1969",1969,1906,1775.5,108.834259342342,6.73037729746188
"1969/1970",1970,2239,2288.5,124.898346009116,6.03238203004442
"1970/1971",1971,2425,2753.5,136.137194124654,8.04485840015641
"1971/1972",1972,2693,2894,141.810110063205,8.6026759534602
"1972/1973",1973,3159,2931.5,142.371981071717,8.03851406067557
"1973/1974",1974,3069,3677.5,153.83528884116,8.98252347353758
"1974/1975",1975,2946,3255.5,146.809002558317,9.14712252646228
"1975/1976",1976,2419,2475.5,127.791332584826,7.52812198686803
"1976/1977",1977,2598,2737,136.862134415052,8.82596687326331
"1977/1978",1978,2393,2724,135.546467639903,8.86594328746411
"1978/1979",1979,2443,2566,131.491999665672,7.13908011851534
"1979/1980",1980,2519,2361,126.608225123195,7.52664311366164
"1980/1981",1981,2328,2217.5,123.423495727394,8.25806594256066
"1981/1982",1982,2324,2583,131.428003542867,7.2768867192087
"1982/1983",1983,2289,2527,130.014634123083,9.8585847747108
"1983/1984",1984,2611,2484,131.919226819573,8.01931915898751
"1984/1985",1985,2138,2128.5,115.489031112507,7.06488200696625
"1985/1986",1986,2055,2472,125.177333979616,6.92320748183103
"1986/1987",1987,1920,2203,124.701041921644,6.92438672708769
"1987/1988",1988,2832,3046,144.149441531343,9.33462429390739
"1988/1989",1989,2274,2662,132.704432092969,9.71214609873868
"1989/1990",1990,2434,2737.5,135.016814379142,10.4745753269801
"1990/1991",1991,2481,2576,130.994487414345,8.74938668629576
"1991/1992",1992,2938,3155,141.986262565318,8.9106102188778
"1992/1993",1993,2419,2353,127.183457862685,8.20450462300313
"1993/1994",1994,2585,3068,142.404385945077,8.37775933611172
"1994/1995",1995,2379,2320.5,124.797489261168,9.30441025879568
"1995/1996",1996,1956,1639,109.384085758986,6.16521121920939
"1996/1997",1997,2618,2572,135.933713389178,7.82360840510173
"1997/1998",1998,2032,2614.5,132.617055537029,9.31577818306989
"1998/1999",1999,2529,2601.5,134.723507814227,8.47023574913905
"1999/2000",2000,2354,2681.5,132.285202025663,9.45591537100853
"2000/2001",2001,2360,2263.5,125.673583880577,9.38542440792827
"2001/2002",2002,2343,2641.5,135.996060195604,9.32716969224923
"2002/2003",2003,2400,2458,132.866142221979,7.02641502669397
"2003/2004",2004,2531,2425,130.948929239496,8.28145530336305
"2004/2005",2005,2346,2160,125.009545345758,8.36540084582191
"2005/2006",2006,2066,2018,120.67539849727,7.06349049756339
"2006/2007",2007,2610,2921,137.958484324881,11.3133960629479
"2007/2008",2008,2701,3127.5,143.939119311278,8.92697172085951
"2008/2009",2009,2374,2340.5,125.300201627628,8.5314149930546
"2009/2010",2010,1761,1769,108.003150931884,7.11695747750038
"2010/2011",2011,2226,2430.5,129.256663485545,7.49469331811393
"2011/2012",2012,2292,2595.5,131.542143066097,8.72291069255678
"2012/2013",2013,2313,2151,123.701288828292,7.08306596882395
"1950/1951",1951,2585,3043.5,145.565864572289,7.30116659287984
"1951/1952",1952,2770,2629.5,132.191469422151,8.52826280958356
"1952/1953",1953,2362,2323.5,124.981029441979,7.5015565255077
"1953/1954",1954,2328,2628.5,130.460847243771,6.87252352069975
"1954/1955",1955,2348,2486,132.882043433861,6.86997635094537
"1955/1956",1956,2327,2519,125.111827672471,5.89927225801744
"1956/1957",1957,2332,2695.5,136.987508314706,8.52492914414297
"1957/1958",1958,2807,2912.5,142.543685830125,7.25957539884092
"1958/1959",1959,2497,2546,129.275642306737,9.0109432842231
"1959/1960",1960,2369,2940.5,135.861507717585,7.61826282992364
"1960/1961",1961,1871,2350.5,121.368453581111,9.82240553023645
"1961/1962",1962,2419,2444,124.235186930977,8.2039150003748
"1962/1963",1963,1419,1635,105.16244095483,5.06313676868987
"1963/1964",1964,2441,2627.5,130.824705654332,7.01779335977711
"1964/1965",1965,2667,2759,135.357371830531,7.42908011203333
"1965/1966",1966,2282,2336,118.949468239939,7.67325463487749
"1966/1967",1967,2359,2720.5,131.059604955364,9.07709894312177
"1967/1968",1968,2431,2240.5,117.133359788995,9.02784026320587
"1968/1969",1969,2036,1928,111.977836660564,6.73037729746188
"1969/1970",1970,2235,2382.5,125.852147689638,6.03238203004442
"1970/1971",1971,2232,2715.5,135.30495367312,8.04485840015641
"1971/1972",1972,2542,2999,144.712835774336,8.6026759534602
"1972/1973",1973,3029,3239.5,144.258076582318,8.03851406067557
"1973/1974",1974,2699,3678.5,153.831127362614,8.98252347353758
"1974/1975",1975,2660,3324,148.80072490944,9.14712252646228
"1975/1976",1976,2361,2591.5,130.228906744298,7.52812198686803
"1976/1977",1977,2460,2785,133.867806674426,8.82596687326331
"1977/1978",1978,2249,2788.5,135.029747408954,8.86594328746411
"1978/1979",1979,2443,2650.5,134.273928082072,7.13908011851534
"1979/1980",1980,2498,2566,130.483584639772,7.52664311366164
"1980/1981",1981,2376,2348.5,124.109869432322,8.25806594256066
"1981/1982",1982,2217,2581.5,133.525350430121,7.2768867192087
"1982/1983",1983,2084,2550.5,128.391682413026,9.8585847747108
"1983/1984",1984,2672,2633,132.734041406838,8.01931915898751
"1984/1985",1985,2044,2211.5,116.53094814961,7.06488200696625
"1985/1986",1986,1956,2444.5,123.562008952873,6.92320748183103
"1986/1987",1987,1859,2213.5,123.11161038988,6.92438672708769
"1987/1988",1988,2669,3130.5,143.698512254532,9.33462429390739
"1988/1989",1989,2131,2564,131.131449915543,9.71214609873868
"1989/1990",1990,2242,2703.5,129.049325681308,10.4745753269801
"1990/1991",1991,2371,2663.5,134.254742387523,8.74938668629576
"1991/1992",1992,2807,3243,143.576801538664,8.9106102188778
"1992/1993",1993,2328,2461,125.399738657433,8.20450462300313
"1993/1994",1994,2374,3060,142.120628073673,8.37775933611172
"1994/1995",1995,2337,2445.5,129.610091328415,9.30441025879568
"1995/1996",1996,2104,1813.5,106.765785907502,6.16521121920939
"1996/1997",1997,2498,2763.5,135.258642972679,7.82360840510173
"1997/1998",1998,1918,2531.5,133.028901881621,9.31577818306989
"1998/1999",1999,2514,2714,132.556454802087,8.47023574913905
"1999/2000",2000,2107,2617,129.940990186815,9.45591537100853
"2000/2001",2001,2443,2400.5,126.602335559715,9.38542440792827
"2001/2002",2002,2186,2727.5,136.410089320357,9.32716969224923
"2002/2003",2003,2425,2575,135.567480030509,7.02641502669397
"2003/2004",2004,2502,2543.5,131.456021196116,8.28145530336305
"2004/2005",2005,2368,2276.5,121.620665107967,8.36540084582191
"2005/2006",2006,1981,2087.5,120.40476020895,7.06349049756339
"2006/2007",2007,2357,2963.5,137.296907854482,11.3133960629479
"2007/2008",2008,2476,3134.5,143.460848715868,8.92697172085951
"2008/2009",2009,2359,2414,126.381447590249,8.5314149930546
"2009/2010",2010,1806,1835,111.167292483701,7.11695747750038
"2010/2011",2011,2182,2422,128.253221082589,7.49469331811393
"2011/2012",2012,2109,2619.5,129.873034311724,8.72291069255678
"2012/2013",2013,2226,2303.5,124.290549478595,7.08306596882395
"1950/1951",1951,2403,3036,141.661223514117,7.30116659287984
"1951/1952",1952,2691,2821.5,135.158750452312,8.52826280958356
"1952/1953",1953,2202,2373,119.850711203054,7.5015565255077
"1953/1954",1954,2067,2618,129.3339974699,6.87252352069975
"1954/1955",1955,2294,2550.5,129.836742585963,6.86997635094537
"1955/1956",1956,2210,2571.5,124.035678803855,5.89927225801744
"1956/1957",1957,2101,2672.5,133.975416256932,8.52492914414297
"1957/1958",1958,2697,2983,140.783900322038,7.25957539884092
