"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1952/1953",1953,2046,1905,112.525087556026,2.05311320636
"1953/1954",1954,2302,1977,122.684784534344,2.60714621284432
"1954/1955",1955,1963,1628,115.260044030973,2.16962263771807
"1955/1956",1956,1986,1517,103.603931782025,1.1318075311427
"1956/1957",1957,2500,2215,130.140176998691,3.57870279490192
"1957/1958",1958,2174,1713,114.395997674985,2.03606131994868
"1958/1959",1959,2397,1995.5,131.511074928153,4.01523580401257
"1959/1960",1960,2422,2107,123.672037894995,3.25875584040921
"1960/1961",1961,2208,1997.5,122.714658579866,4.58606126295174
"1961/1962",1962,1639,1211.5,100.740110605238,2.58242923226471
"1962/1963",1963,1820,1709.5,110.591909837255,0.620636823284
"1963/1964",1964,2268,1725,115.471257212887,2.24922534654206
"1964/1965",1965,1926,1543.5,111.21452989709,1.84070755073028
"1965/1966",1966,1894,1643.5,111.573488864597,3.05339620286985
"1966/1967",1967,2116,1660.5,118.19090396791,3.11117922044623
"1967/1968",1968,1745,1500,108.637955759879,2.96349763104631
"1968/1969",1969,1802,1511.5,100.842757559686,2.17431603383958
"1969/1970",1970,2029,1550.5,110.142026141175,1.41667454134023
"1970/1971",1971,2422,1862,122.459490637037,2.66370281535376
"1971/1972",1972,2652,2258.5,133.651437094816,3.79924878607473
"1972/1973",1973,2017,1362,111.699497717074,2.25040093779933
"1973/1974",1974,3034,2182.5,134.237835051626,3.64591977453158
"1974/1975",1975,2684,2064,128.011839620536,3.2083018597848
"1975/1976",1976,2155,1755,115.652320907701,2.46199529483792
"1976/1977",1977,2327,2115.5,123.215470459679,3.67832543418462
"1977/1978",1978,2308,1936,121.023068884935,3.18129714340727
"1978/1979",1979,2295,1788,117.813495633678,2.39497640626593
"1979/1980",1980,2145,1568.5,113.023666140034,2.8394835493112
"1980/1981",1981,1622,1566,107.55648189758,2.1175235822788
"1981/1982",1982,2428,2159,128.638370750678,1.94941037848926
"1982/1983",1983,2323,1985,122.342118531431,3.95976410713925
"1983/1984",1984,2041,1737,116.202872622279,2.19450703790595
"1984/1985",1985,2163,1722.5,110.351678227052,2.28009433336205
"1985/1986",1986,1996,1690,113.756332862636,2.05035377245941
"1986/1987",1987,2264,1936,108.138567799703,2.02823113144446
"1987/1988",1988,2354,1802.5,117.213781806525,3.53061029442669
"1988/1989",1989,2517,2320,133.431448932447,4.41287730455855
"1989/1990",1990,2539,2103.5,126.797484786667,4.68787729841183
"1990/1991",1991,2226,1917,119.321359699493,3.3326414796471
"1991/1992",1992,2644,2041.5,128.708613253553,3.07880279278829
"1992/1993",1993,2207,1997,119.046178892841,3.39591978011952
"1993/1994",1994,2855,2522,136.260072418813,3.56525939897599
"1994/1995",1995,2051,1661.5,115.873448574326,3.75306599855177
"1995/1996",1996,1648,1581,108.021044770182,2.12598591267695
"1996/1997",1997,2535,1939.5,128.026473638941,3.1098820506639
"1997/1998",1998,2404,2233,125.094888311357,4.17077825336612
"1998/1999",1999,2277,2023,122.157145438076,2.93891507335323
"1999/2000",2000,2488,2212.5,123.49346945915,3.51744128063653
"2000/2001",2001,2130,1757,113.350267696144,4.44077824733115
"2001/2002",2002,2838,2604,133.907934411889,3.97292448420359
"2002/2003",2003,2210,1892,123.073458806219,3.1032782772266
"2003/2004",2004,2029,1689.5,115.547129480773,2.87089199931339
"2004/2005",2005,1661,1615.5,101.09740341793,2.74009432308024
"2005/2006",2006,1940,1810,116.792792208849,2.10507075236847
"2006/2007",2007,2738,2219.5,128.41151716669,6.2032074532208
"2007/2008",2008,2608,2256,134.154436372265,3.44631452166296
"2008/2009",2009,2228,1861.5,120.759407123385,3.68955184902803
"2009/2010",2010,1924,1755.5,106.754819332149,2.67115564537586
"2010/2011",2011,2297,2026.5,125.972690626568,3.21002355785953
"2011/2012",2012,2489,2040.5,119.339411121558,3.59626756995444
"2012/2013",2013,2074,1771,114.795449622481,2.72816036108284
"1950/1951",1951,2746,2334.5,136.799258117759,2.30204165991551
"1951/1952",1952,2016,1564.5,106.458717705208,3.39091546186836
"1952/1953",1953,2091,2071,115.986094757933,2.05311320636
"1953/1954",1954,2465,2256.5,129.207292899354,2.60714621284432
"1954/1955",1955,2140,1859.5,123.021043124759,2.16962263771807
"1955/1956",1956,2173,1841.5,112.626204880199,1.1318075311427
"1956/1957",1957,2561,2483.5,135.324943109451,3.57870279490192
"1957/1958",1958,2445,2019,122.102487124993,2.03606131994868
"1958/1959",1959,2647,2278.5,134.918954697058,4.01523580401257
"1959/1960",1960,2519,2379.5,129.597168236692,3.25875584040921
"1960/1961",1961,2307,2192,127.081708478104,4.58606126295174
"1961/1962",1962,1932,1408,107.401547195319,2.58242923226471
"1962/1963",1963,1849,1853,116.868932754456,0.620636823284
"1963/1964",1964,2472,2054,123.408381030356,2.24922534654206
"1964/1965",1965,2210,1819.5,116.600853331537,1.84070755073028
"1965/1966",1966,2140,1812,116.441236248136,3.05339620286985
"1966/1967",1967,2444,1939.5,124.031294102133,3.11117922044623
"1967/1968",1968,1994,1676.5,116.211179416852,2.96349763104631
"1968/1969",1969,2000,1679,107.583301976327,2.17431603383958
"1969/1970",1970,2215,1821.5,118.548059168282,1.41667454134023
"1970/1971",1971,2636,2185,129.543594129442,2.66370281535376
"1971/1972",1972,2791,2600.5,139.426799995287,3.79924878607473
"1972/1973",1973,2471,1718.5,120.822594919532,2.25040093779933
"1973/1974",1974,3485,2662,142.447468438655,3.64591977453158
"1974/1975",1975,2966,2481.5,135.593329873401,3.2083018597848
"1975/1976",1976,2352,2047,121.055147200331,2.46199529483792
"1976/1977",1977,2500,2339.5,129.909112996134,3.67832543418462
"1977/1978",1978,2453,2235,129.197506742349,3.18129714340727
"1978/1979",1979,2586,2095.5,125.531048688431,2.39497640626593
"1979/1980",1980,2563,1919,125.521869525691,2.8394835493112
"1980/1981",1981,1804,1702,112.963035173901,2.1175235822788
"1981/1982",1982,2600,2383,134.439168853033,1.94941037848926
"1982/1983",1983,2414,2248.5,128.386501243962,3.95976410713925
"1983/1984",1984,2270,1969,125.128843475288,2.19450703790595
"1984/1985",1985,2373,1993.5,115.300357164837,2.28009433336205
"1985/1986",1986,2269,1887,115.846064458547,2.05035377245941
"1986/1987",1987,2384,2192,117.301733104454,2.02823113144446
"1987/1988",1988,2643,2138.5,124.009145084829,3.53061029442669
"1988/1989",1989,2679,2519,137.589768989766,4.41287730455855
"1989/1990",1990,2763,2390.5,131.29718373948,4.68787729841183
"1990/1991",1991,2417,2193.5,127.379180579107,3.3326414796471
"1991/1992",1992,2948,2429,136.775993943093,3.07880279278829
"1992/1993",1993,2288,2204.5,125.166868984315,3.39591978011952
"1993/1994",1994,2885,2828.5,140.5522991967,3.56525939897599
"1994/1995",1995,2218,1902.5,120.515182039355,3.75306599855177
"1995/1996",1996,1755,1690.5,111.4848358678,2.12598591267695
"1996/1997",1997,2795,2319.5,135.207813814606,3.1098820506639
"1997/1998",1998,2397,2456.5,129.690439421008,4.17077825336612
"1998/1999",1999,2491,2250.5,128.211873883453,2.93891507335323
"1999/2000",2000,2535,2429,129.408277581973,3.51744128063653
"2000/2001",2001,2337,1988,122.219013725117,4.44077824733115
"2001/2002",2002,2814,2894.5,141.955098811726,3.97292448420359
"2002/2003",2003,2383,2127,129.113014125114,3.1032782772266
"2003/2004",2004,2192,1919,123.626469841838,2.87089199931339
"2004/2005",2005,1784,1738,106.8225988677,2.74009432308024
"2005/2006",2006,2088,1924,122.906223141783,2.10507075236847
"2006/2007",2007,2976,2526,131.39440601558,6.2032074532208
"2007/2008",2008,2747,2570,139.834828541277,3.44631452166296
"2008/2009",2009,2391,2118.5,125.451954398849,3.68955184902803
"2009/2010",2010,2022,1928,108.275443037247,2.67115564537586
