"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1951/1952",1952,2431,1867,115.392489747422,3.74633794443183
"1952/1953",1953,2397,2255,123.805714942847,2.5479716411616
"1953/1954",1954,2566,2323.5,132.428827111152,2.89103767122933
"1954/1955",1955,2197,1976,122.509146861344,2.34023579674826
"1955/1956",1956,2350,2088.5,117.646697137382,1.44049292554895
"1956/1957",1957,2665,2694,139.762702013338,4.02358481572625
"1957/1958",1958,2552,2271,129.056520690263,2.25410372320176
"1958/1959",1959,2667,2340,128.426937227335,4.08521217283933
"1959/1960",1960,2679,2685.5,129.469619673209,3.2699999269098
"1960/1961",1961,2559,2497.5,133.131060840336,4.69429234790458
"1961/1962",1962,2425,1954.5,113.96583076939,2.83280654045542
"1962/1963",1963,1765,1925,104.427785620206,0.0804009415991253
"1963/1964",1964,2532,2169.5,115.226314609684,2.07161967200555
"1964/1965",1965,2571,2047.5,118.458307655996,2.43356126636038
"1965/1966",1966,2529,2261.5,124.309120836015,3.31738200132243
"1966/1967",1967,2944,2614.5,133.457693136211,3.99837255213884
"1967/1968",1968,2226,1759,113.659768249452,3.54291071893184
"1968/1969",1969,1916,1774,108.171738257306,2.11735844323939
"1969/1970",1970,2239,2079,120.693690885318,1.4915565704347
"1970/1971",1971,2884,2429,129.642015607885,2.98783012189604
"1971/1972",1972,2833,2436,128.632476308182,3.38838020595394
"1972/1973",1973,2947,2215,131.123090398558,2.49200466128049
"1973/1974",1974,3605,3236,147.670152770175,3.85028293280739
"1974/1975",1975,3241,2722,140.037254016285,3.93615557239742
"1975/1976",1976,2582,2232.5,119.932878410351,2.417629053943
"1976/1977",1977,2765,2631,133.355019431078,3.46658011119514
"1977/1978",1978,2603,2455,128.172013508699,3.48896218616656
"1978/1979",1979,2459,2098,116.437877283214,1.5566037387921
"1979/1980",1980,2605,2315.5,127.445333077153,3.20305157159871
"1980/1981",1981,2035,1988.5,115.030993889522,2.71077824129618
"1981/1982",1982,2541,2501.5,132.933564311257,2.03238203004442
"1982/1983",1983,2434,2443.5,128.574814226671,4.20049518913048
"1983/1984",1984,2733,2137.5,129.277820986379,2.57812200810218
"1984/1985",1985,2116,1998,118.233847361723,2.31245277850133
"1985/1986",1986,2524,2276.5,122.486422550358,1.59205185120732
"1986/1987",1987,2160,2130.5,114.672100171687,2.08148580253177
"1987/1988",1988,2954,2823,142.472253708643,3.80265249716372
"1988/1989",1989,2686,2697.5,141.537987056021,4.4802829187258
"1989/1990",1990,2870,2751,135.831918170848,5.01974045383779
"1990/1991",1991,2407,2248.5,125.874169177052,3.29594332255634
"1991/1992",1992,3294,2841,141.386542481914,3.58793419210389
"1992/1993",1993,2444,2215.5,126.804165990661,3.56511784484171
"1993/1994",1994,2856,2851,141.562721319812,3.45058954551482
"1994/1995",1995,2330,2132.5,123.843638049938,4.20849047197064
"1995/1996",1996,2025,1690,108.431273385805,1.90220653025232
"1996/1997",1997,2747,2520.5,132.12407792822,3.10422162872845
"1997/1998",1998,2526,2825,135.118873341747,4.24528292397846
"1998/1999",1999,2889,2623.5,136.185226025553,3.57049520321208
"1999/2000",2000,2826,2957,137.184548632135,4.39316891588953
"2000/2001",2001,2449,2356,129.038703676597,4.25992915006618
"2001/2002",2002,2745,3094,142.809540159521,4.7016980081164
"2002/2003",2003,2476,2420,132.150164417006,3.65485840887358
"2003/2004",2004,2405,2245.5,130.340000102279,3.90215953719308
"2004/2005",2005,2260,2185.5,123.900009070946,3.58761784433879
"2005/2006",2006,2101,2045,121.347202271296,2.71830182603367
"2006/2007",2007,3005,2735.5,132.72065976922,6.35424514099042
"2007/2008",2008,2780,2665.5,140.029876604952,3.94230038136629
"2008/2009",2009,2434,2359.5,128.664376517697,3.29436313391241
"2009/2010",2010,1824,1775.5,104.11370245824,2.75422163655156
"2010/2011",2011,2596,2341,132.292577005306,3.38408011303916
"2011/2012",2012,2861,2701,132.97573822577,4.14661962562569
"2012/2013",2013,2223,2011,119.737305560377,2.56933956521229
