"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1956/1957",1957,2393,2434,134.856610643449,8.88261786009677
"1957/1958",1958,2583,2155,128.975464716287,7.5234433621748
"1958/1959",1959,2545,2198.5,134.484181374186,9.25007068207224
"1959/1960",1960,2612,2562.5,132.056482211361,8.81065721417222
"1960/1961",1961,2113,2167.5,126.749338553089,10.1179244362591
"1961/1962",1962,2266,1776.5,114.414402654165,8.41910371951372
"1962/1963",1963,1776,1928,118.149815732543,5.82639151331441
"1963/1964",1964,2378,2251,123.374194190124,8.1866196694351
"1964/1965",1965,2492,2350,126.339288644319,7.60705185087204
"1965/1966",1966,2335,2201,124.283082774378,9.31773577489943
"1966/1967",1967,2573,2294.5,123.962368485765,9.16931596689612
"1967/1968",1968,2081,1863,116.9077257997,9.15915485896485
"1968/1969",1969,2115,1966,117.281983883844,8.15672164990672
"1969/1970",1970,2313,2088,119.342922756818,7.29499997105449
"1970/1971",1971,2411,2078,127.377590331396,7.88247637301771
"1971/1972",1972,2689,2496.5,133.703523654377,9.50514076672442
"1972/1973",1973,2543,2007,128.519068144198,7.35497638480826
"1973/1974",1974,3360,2981.5,143.928990277644,9.41698105569999
"1974/1975",1975,2948,2569.5,136.654902486372,9.28959898307551
"1975/1976",1976,2509,2284,125.691081095814,8.40373234063859
"1976/1977",1977,2418,2361,132.94368549872,9.40780652760317
"1977/1978",1978,2523,2495.5,131.717719547433,9.03261785674401
"1978/1979",1979,2750,2452,133.958562732377,8.47761786914923
"1979/1980",1980,2601,2348,129.540352244984,9.13549288766275
"1980/1981",1981,1983,1903.5,120.992687274218,8.38922164470994
"1981/1982",1982,2629,2560,140.23994562471,8.364976362233
"1982/1983",1983,2178,2251,127.517295113511,9.91707538414465
"1983/1984",1984,2458,2209,129.380867356015,8.01265253717333
"1984/1985",1985,2208,2155,120.403686003351,8.20285372434729
"1985/1986",1986,2363,2241.5,122.811905738771,7.9181839193894
"1986/1987",1987,2054,2148,122.595578374899,8.44224051144941
"1987/1988",1988,2679,2667.5,136.691535748249,10.0085914596968
"1988/1989",1989,2404,2554,132.809409296522,10.5324998986907
"1989/1990",1990,2459,2429,127.208835940155,10.4056602788843
"1990/1991",1991,2316,2220,123.736238789235,9.16257068402802
"1991/1992",1992,2795,2694,136.462738684732,8.86852106264412
"1992/1993",1993,2372,2333.5,129.647435902524,9.70525935114326
"1993/1994",1994,2635,2982,140.913137393185,9.64191029595545
"1994/1995",1995,2207,2232,123.976263971446,10.3109668847745
"1995/1996",1996,1985,1807,119.292031203887,8.48230041399983
"1996/1997",1997,2584,2428.5,132.915785970938,9.00672163090774
"1997/1998",1998,2218,2455,130.230460561912,10.0554951923715
"1998/1999",1999,2511,2430.5,132.212064763793,9.01846691366408
"1999/2000",2000,2669,2881,139.738534170275,9.5107745694154
"2000/2001",2001,2314,2273,128.184071455926,10.3255423561468
"2001/2002",2002,2530,2930,143.145419035171,9.91094330881002
"2002/2003",2003,2406,2143,128.031104033958,9.28768860575972
"2003/2004",2004,2291,2030.5,126.663991017272,8.63016426046007
"2004/2005",2005,1920,1869.5,110.856608075413,8.80231125811818
"2005/2006",2006,1895,1877.5,119.943881781356,7.67389147201957
"2006/2007",2007,2677,2511,128.19344479679,11.9513206216946
"2007/2008",2008,2460,2443,132.526826639837,8.97847411182967
"2008/2009",2009,2256,2141.5,126.565660737324,8.44113202090814
"2009/2010",2010,2098,1807,116.418519888355,8.36252353209914
"2010/2011",2011,2468,2325,128.479971575713,8.98653295211371
"2011/2012",2012,2374,2398.5,129.044624970719,8.87382622684479
"2012/2013",2013,2150,1916.5,119.867594706268,8.38808956926355
"1950/1951",1951,3028,2882,143.564189667073,8.61562494153623
"1951/1952",1952,2031,2142.5,122.13774954261,8.96222998073736
