"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1956/1957",1957,2578,2688.5,138.360340976677,10.3119810356952
"1957/1958",1958,2705,2697.5,138.089700821918,8.75606125915195
"1958/1959",1959,2765,2544.5,134.549937220456,10.4912263147076
"1959/1960",1960,2596,2697.5,135.043917861797,9.8673708055763
"1960/1961",1961,2355,2432,128.158312886583,11.1650942241738
"1961/1962",1962,2456,2140,120.627989736256,9.52183954392226
"1962/1963",1963,1663,1894,107.342442121308,6.76016507734861
"1963/1964",1964,2493,2465.5,129.228387878972,8.62938961259006
"1964/1965",1965,2672,2576.5,135.943626788388,9.08259427072129
"1965/1966",1966,2548,2548,131.720542454678,10.1483725487861
"1966/1967",1967,2625,2681,134.411479332893,10.321509337369
"1967/1968",1968,2372,2047.5,117.091427466562,9.78713606558565
"1968/1969",1969,2195,2152.5,121.470641963848,8.8048112580623
"1969/1970",1970,2375,2306,125.785066661528,8.07738202903859
"1970/1971",1971,2763,2566.5,130.714524318586,9.34337256677923
"1971/1972",1972,2739,2668,135.545321831923,9.9328637618589
"1972/1973",1973,2940,2516,137.216096486182,8.67521220435529
"1973/1974",1974,3285,3505.5,150.310934812616,10.4256602784373
"1974/1975",1975,3291,3203.5,145.05694310167,10.3894338641527
"1975/1976",1976,2636,2549.5,125.225239749894,9.15333326285084
"1976/1977",1977,2652,2674,137.219137172171,10.0178065139686
"1977/1978",1978,2519,2625,134.155267799397,9.94535368539938
"1978/1979",1979,2542,2555.5,131.665632753622,8.51931598142475
"1979/1980",1980,2684,2772.5,137.58465033688,10.1012675139633
"1980/1981",1981,2057,1983,120.395765491749,9.26228766293124
"1981/1982",1982,2616,2768,139.772589596379,8.67667446847355
"1982/1983",1983,2270,2362,131.142234153672,10.6052121612164
"1983/1984",1984,2982,2528,135.591362981973,8.96272293847282
"1984/1985",1985,2094,2064.5,119.253270929182,8.61903296032797
"1985/1986",1986,2482,2496.5,126.369994276988,8.40365560665147
"1986/1987",1987,2189,2357.5,124.654295815524,8.94054238710394
"1987/1988",1988,2857,3040,144.647622346698,10.5168074107786
"1988/1989",1989,2539,2735,136.435755441497,11.1046225274122
"1989/1990",1990,2623,2816,137.619446290382,11.2557074296956
"1990/1991",1991,2281,2387.5,129.455999893379,9.91797161053972
"1991/1992",1992,3054,3047,140.651529814216,9.89873230722274
"1992/1993",1993,2345,2457.5,130.516010830477,10.1803536801467
"1993/1994",1994,2480,3040,140.491726232297,10.3251649976646
"1994/1995",1995,2451,2382.5,126.414423233747,11.2459432789704
"1995/1996",1996,2118,1946.5,115.476414257386,8.89631448925294
"1996/1997",1997,2605,2625.5,135.704818706652,9.72540086012703
"1997/1998",1998,2151,2681,135.172833494277,10.9178536636623
"1998/1999",1999,2615,2859,139.219584664081,10.2635376405516
"1999/2000",2000,2529,3026,140.634985267792,10.9275820494844
"2000/2001",2001,2372,2468,132.708993529585,11.0663206414759
"2001/2002",2002,2238,2991,142.496299851586,10.9123347958611
