"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1953/1954",1954,2669,2751.5,131.774305964726,6.77976406645908
"1954/1955",1955,2473,2476.5,129.196997896609,5.89731125599476
"1955/1956",1956,2767,2750,128.697799577219,5.53866191508747
"1956/1957",1957,2902,3351.5,151.358302948502,7.8677121553491
"1957/1958",1958,2917,2817,139.340893117143,6.01459898922223
"1958/1959",1959,2898,3061,140.831239995062,7.72441027175969
"1959/1960",1960,2797,3155.5,148.328271280631,6.97049286899905
"1960/1961",1961,2570,2942,136.190167508754,8.1494102622602
"1961/1962",1962,2881,2881.5,136.725872659678,6.8490801026456
"1962/1963",1963,1874,2230,118.990093653149,4.47726411792397
"1963/1964",1964,2880,2661,136.791272001892,6.33995297698942
"1964/1965",1965,3074,2843,138.185257639876,6.47547162043036
"1965/1966",1966,2919,2775.5,130.5440321689,5.66497635552748
"1966/1967",1967,2889,3445,150.976770628741,7.57417442606112
"1967/1968",1968,2753,2589,126.625743076145,7.33394356510064
"1968/1969",1969,2214,2087,118.488390340439,5.83294804988622
"1969/1970",1970,2464,2451.5,132.183505946708,4.71415090508197
"1970/1971",1971,2793,3276.5,143.508397153571,6.97445745833376
"1971/1972",1972,3002,3108,145.383520157949,7.11476516624379
"1972/1973",1973,3479,3566.5,152.3231143787,7.31806594121955
"1973/1974",1974,3345,4038,162.059837157775,7.60841970831455
"1974/1975",1975,3133,3599,154.138786664654,7.83016498637702
"1975/1976",1976,2601,2744,135.045473482742,6.39124405565519
"1976/1977",1977,2891,3077,143.974985229388,6.77325463264232
"1977/1978",1978,2678,2702,134.67598808957,6.94709896837924
"1978/1979",1979,2502,2563,124.548745807495,5.28695749605233
"1979/1980",1980,2770,2636,138.120552827869,6.24699523258832
"1980/1981",1981,2616,2744.5,133.808307593962,6.638466899806
"1981/1982",1982,2725,2874,139.262006614024,5.36422164526874
"1982/1983",1983,2739,3189.5,145.749507488327,8.069881962151
"1983/1984",1984,3007,2972.5,141.218699488083,6.74417832006696
"1984/1985",1985,2451,2452,125.036049056576,5.79726408841967
"1985/1986",1986,2383,2746,130.828398084801,5.61271220575227
"1986/1987",1987,2331,2600,133.619249278265,6.3503772836038
"1987/1988",1988,3081,3629,157.309841425847,7.93103275363259
"1988/1989",1989,2859,3614.5,152.620995323768,8.61485836506417
"1989/1990",1990,2593,3417,149.662628365233,8.91455175459192
"1990/1991",1991,2878,3266.5,142.966121933647,7.5966744255582
"1991/1992",1992,3245,3962.5,159.880206565211,8.07615012128099
"1992/1993",1993,2965,3103.5,144.471767181917,7.47775933387654
"1993/1994",1994,2787,3423.5,149.44939692112,6.79391500953901
"1994/1995",1995,2775,2826.5,131.85747237143,7.98377347350964
"1995/1996",1996,2227,1951.5,116.671712436733,5.42246473458609
"1996/1997",1997,2937,3129.5,143.935055190423,6.86624991358258
"1997/1998",1998,2566,3406,151.126903717408,8.24728761856304
"1998/1999",1999,2676,3243.5,147.495569628753,7.24528292397846
"1999/2000",2000,2589,3565,150.591042394172,8.55553978192729
"2000/2001",2001,2596,2618.5,130.250762773287,7.7552357427688
"2001/2002",2002,2904,3516.5,151.22598228397,8.68566025027408
"2002/2003",2003,2705,3038.5,144.905317575223,6.42570747059928
"2003/2004",2004,2671,3143,148.675495146727,7.48915482923703
"2004/2005",2005,2559,2685.5,135.41664560375,7.76122630867264
"2005/2006",2006,2084,2544.5,131.416578294819,6.95783010021485
"2006/2007",2007,2530,3571,152.446497467367,10.7454951098936
"2007/2008",2008,2780,3545,155.006370757503,8.47016419698113
"2008/2009",2009,2697,3090,143.794895887343,8.12344328170853
"2009/2010",2010,1848,1977.5,111.942818245623,6.38683954693974
"2010/2011",2011,2616,2992,138.536430336866,6.41337256521461
"2011/2012",2012,2446,3163,142.646565284763,8.14589190375969
"2012/2013",2013,2333,2605.5,133.781253607151,6.22877351273695
"1950/1951",1951,2910,3591,152.483843329907,5.57945827567795
"1951/1952",1952,3125,3170.5,144.649678852706,7.88328627582657
"1952/1953",1953,2374,2946.5,139.469171804372,6.20261785294421
"1953/1954",1954,2555,2937,136.699330185543,6.77976406645908
"1954/1955",1955,2474,2680.5,135.234305006107,5.89731125599476
"1955/1956",1956,2645,2955,135.889250527077,5.53866191508747
"1956/1957",1957,2697,3384,149.39980552244,7.8677121553491
"1957/1958",1958,2935,3023.5,141.082885520473,6.01459898922223
"1958/1959",1959,2637,3158,142.529766244247,7.72441027175969
"1959/1960",1960,2588,3296,149.622375627966,6.97049286899905
"1960/1961",1961,2288,3002,136.584415879246,8.1494102622602
"1961/1962",1962,2770,3034.5,137.521667591205,6.8490801026456
"1962/1963",1963,1829,2281.5,123.85026991366,4.47726411792397
"1963/1964",1964,2830,2996.5,143.598446248618,6.33995297698942
"1964/1965",1965,3112,3159,143.75277627277,6.47547162043036
"1965/1966",1966,2929,3015.5,134.720632383528,5.66497635552748
"1966/1967",1967,2513,3433,146.602752350053,7.57417442606112
"1967/1968",1968,2640,2781,133.08104092996,7.33394356510064
"1968/1969",1969,2390,2231.5,122.22050457638,5.83294804988622
"1969/1970",1970,2481,2707,136.797497205471,4.71415090508197
"1970/1971",1971,2545,3263,144.569777585228,6.97445745833376
"1971/1972",1972,2745,3361.5,148.25134250869,7.11476516624379
"1972/1973",1973,3229,3769.5,154.450563034143,7.31806594121955
"1973/1974",1974,2745,4055.5,163.478658661016,7.60841970831455
"1974/1975",1975,2783,3722.5,154.897212731571,7.83016498637702
"1975/1976",1976,2499,2915,138.578735491486,6.39124405565519
"1976/1977",1977,2677,3248,146.162991423357,6.77325463264232
"1977/1978",1978,2667,2883,136.39993127558,6.94709896837924
"1978/1979",1979,2444,2743.5,130.388503944935,5.28695749605233
"1979/1980",1980,2847,2921.5,142.143190908337,6.24699523258832
"1980/1981",1981,2521,2898.5,137.837942951021,6.638466899806
"1981/1982",1982,2628,3018,142.917707894598,5.36422164526874
"1982/1983",1983,2451,3228.5,147.52860582291,8.069881962151
"1983/1984",1984,2983,3226.5,140.779709906175,6.74417832006696
"1984/1985",1985,2359,2626,128.47007802252,5.79726408841967
"1985/1986",1986,2210,2789,131.247015683917,5.61271220575227
"1986/1987",1987,2189,2738.5,136.192682117507,6.3503772836038
