"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1953/1954",1954,2544,2702.5,130.281915057375,6.36476407573506
"1954/1955",1955,2374,2416,132.414409247509,5.91599050086027
"1955/1956",1956,2700,2655,129.030901787008,5.36129102703324
"1956/1957",1957,2755,3157,149.808074664638,7.78764140242184
"1957/1958",1958,2860,2635.5,136.39917301821,5.89863201068222
"1958/1959",1959,2630,2775,136.186133453863,7.61195744408453
"1959/1960",1960,2688,3069.5,144.749157183887,6.76711259185481
"1960/1961",1961,2430,2697.5,133.05609252051,8.21429233628167
"1961/1962",1962,2795,2681,128.859910677894,6.76547161394836
"1962/1963",1963,1771,2144.5,113.959979254054,4.37110845991938
"1963/1964",1964,2589,2514,131.450491578717,6.16340368516096
"1964/1965",1965,2848,2667,135.713641559506,6.31787728433023
"1965/1966",1966,2713,2559,126.425911113897,5.9695518204178
"1966/1967",1967,2824,3278,145.710551846206,7.7364857431879
"1967/1968",1968,2530,2340.5,121.449074582917,7.38654919772763
"1968/1969",1969,2056,2021,113.584507475594,5.62035371501544
"1969/1970",1970,2401,2340.5,128.245832601487,4.52311317350294
"1970/1971",1971,2747,3091,142.672987825725,6.87761783785679
"1971/1972",1972,2835,3048.5,143.336546228398,7.16786375660624
"1972/1973",1973,3284,3408,151.216518065076,7.29745273413312
"1973/1974",1974,3258,3865.5,160.727715094717,7.66339612218007
"1974/1975",1975,3091,3513.5,152.075793913735,7.97200460584817
"1975/1976",1976,2524,2610.5,131.795700029141,6.28978865886186
"1976/1977",1977,2737,3023.5,144.091106650048,6.98636783542604
"1977/1978",1978,2603,2755,136.568514718983,7.14780651106288
"1978/1979",1979,2487,2545.5,124.825967759469,5.53558956596666
"1979/1980",1980,2628,2504,134.739233076265,6.16002340354637
"1980/1981",1981,2519,2611,129.602212218421,7.04886783402905
"1981/1982",1982,2556,2809.5,136.450645162687,5.73304239174193
"1982/1983",1983,2480,2937,143.056659050293,8.23431592073977
"1983/1984",1984,2819,2734,137.153994304992,6.98525812688498
"1984/1985",1985,2329,2303.5,120.039520987584,5.79476408847555
"1985/1986",1986,2294,2555.5,127.927123194897,5.6134433378114
"1986/1987",1987,2025,2443.5,131.316303973123,6.13799521287921
"1987/1988",1988,2853,3373,152.034976869904,8.08598580181231
