"","Species","bubburst_reg","bubburst_reg_SE","bubburst_CC","bubburst_CC_SE"
"1","Abies_alba",19.5161920288502,14.0371785302621,17.937920402585,17.937920402585
"2","Acer_barbinerve",20.6756628129176,14.5224510082207,22.6064632563932,22.6064632563932
"3","Acer_campestre",35.0136694779741,14.3158898011406,40.5869273487892,40.5869273487892
"4","Acer_ginnala",25.5318406590618,14.5562179340823,27.5309258619011,27.5309258619011
"5","Acer_negundo",17.405078756981,14.5352815091793,22.0697560502443,22.0697560502443
"6","Acer_pensylvanicum",19.4501123060476,13.7336874399993,22.6088190807765,22.6088190807765
"7","Acer_platanoides",39.0261532128589,14.4612206119204,44.7122492944989,44.7122492944989
"8","Acer_pseudolatauns",20.9616827529051,14.7228008492572,21.2403426199924,21.2403426199924
"9","Acer_pseudoplatanus",34.7195019118544,13.4660708881142,40.95603088252,40.95603088252
"10","Acer_rubrum",26.147985681636,13.7578528844599,34.4488401892157,34.4488401892157
"11","Acer_saccharinum",35.598470720849,15.1983202110842,39.8677299077325,39.8677299077325
"12","Acer_saccharum",34.7332312109603,13.6895550086933,37.6038782076891,37.6038782076891
"13","Acer_tataricum",16.4169786758227,14.6425936233627,18.727528843578,18.727528843578
"14","Aesculus_hippocastanum",29.7069181092483,13.8616633464551,33.4785190278659,33.4785190278659
"15","Alnus_glutinosa",33.1836027825834,13.5813065430056,33.2506084368765,33.2506084368765
"16","Alnus_incana",31.7982466557102,13.2395334054864,28.1740795745043,28.1740795745043
"17","Aronia_melanocarpa",19.2252676849511,14.167851042499,18.0833826432691,18.0833826432691
"18","Betula_alleghaniensis",14.8816781701326,13.9473998822023,18.875818851455,18.875818851455
"19","Betula_lenta",34.5950319990999,14.1508212599097,36.2621786113869,36.2621786113869
"20","Betula_papyrifera",19.5058394004982,13.7132044310127,22.3140235179058,22.3140235179058
"21","Betula_pendula",18.6420484991853,13.3938591657831,19.2420884097294,19.2420884097294
"22","Betula_pubescens",21.6097709382172,13.3002052767227,19.8136109159903,19.8136109159903
"23","Carpinus_betulus",23.9770665772012,13.5328462368284,30.9561136616218,30.9561136616218
"24","Cornus_alba",26.1686914517258,13.9080400146538,30.6429747213995,30.6429747213995
"25","Cornus_cornuta",17.5948673565173,14.9477448215947,16.9220701309244,16.9220701309244
"26","Cornus_kousa",31.1379717836337,14.1557022362843,32.7822716437976,32.7822716437976
"27","Cornus_mas",16.9333329805245,14.0253303114263,18.3123540934261,18.3123540934261
"28","Corylus_avellana",18.2933689345867,13.607875264927,19.7062722437759,19.7062722437759
"29","Fagus_crenata",37.5326697428479,14.2337119941869,43.2802381185841,43.2802381185841
"30","Fagus_engleriana",35.5924255914016,14.4737304264164,40.7766672738806,40.7766672738806
"31","Fagus_grandifolia",28.7962249467112,13.5464590487888,35.5061669484752,35.5061669484752
"32","Fagus_orientalis",54.0743565258025,14.3540941305258,65.9238206940143,65.9238206940143
"33","Fagus_sylvatica",36.4772831959378,13.3498441893764,51.7016466264977,51.7016466264977
"34","Fraxinus_americana",37.249990283181,15.4964182387512,42.1661180937088,42.1661180937088
"35","Fraxinus_chinensis",23.6965065435399,14.7871257933478,25.5950215718546,25.5950215718546
"36","Fraxinus_excelsior",25.0105321968397,14.7238708493638,27.9386505117949,27.9386505117949
"37","Fraxinus_latifolia",53.9874801175218,14.5400122133688,62.6922936028721,62.6922936028721
"38","Fraxinus_nigra",26.9132933973668,15.0261383659884,28.8330091697196,28.8330091697196
"39","Fraxinus_ornus",69.605431337617,14.7854136738053,83.7743288198227,83.7743288198227
"40","Fraxinus_pennsylvanica",21.739609083396,14.5954333033982,22.7650648623192,22.7650648623192
"41","Hamamelis_japonica",31.3790726565132,14.1037611626194,35.4794512115522,35.4794512115522
"42","Hamamelis_vernalis",39.9535704330596,14.1480449756037,48.1809352812224,48.1809352812224
"43","Hamamelis_virginiana",27.9182347943686,14.9939784926024,30.9986987214053,30.9986987214053
"44","Larix_decidua",14.6294538865998,13.8193105844545,10.1828255190683,10.1828255190683
"45","Larix_gmelinii",18.3378187248576,14.3786712142614,19.5708408910623,19.5708408910623
"46","Larix_kaempferi",33.1586646374099,14.5021748817362,37.9247395740431,37.9247395740431
"47","Larix_laricina",17.375855122961,14.6515393814042,16.9778717600022,16.9778717600022
"48","Lonicera_alpigena",18.525452486355,14.566944929767,19.1096892245341,19.1096892245341
"49","Lonicera_caerulea",13.9299628600172,15.0485799248624,13.6833287618808,13.6833287618808
