"","b_chill","b_chill_low","b_chill_up","b_force","b_force_low","b_force_up","b_photo","b_photo_low","b_photo_up"
"Populus deltoides",-15.1625796848157,-25.0517072024797,-5.81885678098022,-6.43057180001351,-13.7290074419434,1.82123725749635,-0.967256878112977,-5.39483562501832,3.22739085555448
"Populus koreana",-8.64764482723748,-18.9793687444802,1.83948214233901,-7.47132006315456,-15.6149377992399,1.10861867908366,-0.869115435383596,-5.03169879186903,3.22177868474012
"Populus tremula",-1.93622264053567,-7.35248485542483,3.60478612140867,-7.40547575737752,-10.5399727288488,-4.22609668043719,0.0539293194779547,-2.1126175020428,2.28041942955842
"Populus grandidentata",-14.0808112790428,-21.5620672578533,-6.89551278160638,-9.98062155787238,-15.9014715141632,-4.63657556020005,-1.17609878650867,-5.12145438999807,2.65103696441251
"Euonymus europaeus",-3.61371743427478,-15.777199845314,8.88473650848819,-6.23212950337184,-17.6791796025199,5.34625909088262,-1.15363610784696,-5.79958374458522,3.38561969411274
"Euonymus latifolius",1.12235167662368,-9.12255897031545,11.9691123803745,-6.31808151780179,-17.6875144319275,5.21750646994071,-1.0057528889901,-5.32474745526443,3.40984000872519
"Nothofagus antarctica",-10.1598069325919,-22.3978509545034,1.94513054980007,-6.61946623889104,-17.3707966068926,4.51576478918251,-1.62640181382536,-6.09852513032875,2.78509965317624
"Carya cordiformis",-15.5183222410887,-25.3429636682811,-6.01133431627724,-4.50771151309416,-14.9064583165264,6.15854148332009,-2.65248808175126,-7.00455550975168,1.57268014477409
"Carya laciniosa",-17.475306653463,-27.4736577749887,-7.95405867039735,-4.02852674730247,-14.2752163347265,6.79446265544565,-1.72230508722256,-6.04111785021422,2.59556253309051
"Alnus incana",-1.72954338964309,-5.59415502363862,2.11550854201602,-10.180932694531,-14.5627586834126,-5.96130044207164,-0.51935931081141,-2.823640178507,1.82077057184296
"Alnus glutinosa",-5.84922867225241,-12.1385046547994,0.492220026007588,-10.2488802684166,-15.3742338166012,-5.23588232516467,-0.59703811985593,-3.06252228545717,1.92963097534243
"Alnus maximowiczii",-5.35289832910972,-14.8960701959646,4.3253094506431,-7.32316185727454,-16.891301731621,2.55342386258986,-1.05484262387579,-5.25554204902188,3.15341987057881
"Betula nana",-5.76077841026172,-14.8804822012928,3.59834535595812,-5.15463937330056,-13.9716946585845,3.61493875306044,-0.924670765814329,-4.89794792305747,3.08363195985463
"Betula pendula",-4.32932203926519,-5.44253421626039,-3.22977469341892,-1.37877823629703,-3.57946213626763,0.758580580487119,-0.415134710440281,-1.41058749029668,0.591887262478307
"Betula pubescens",-2.13366049207061,-3.47037308332525,-0.833295098323303,-6.64228254070501,-9.28872539811589,-4.10653266239046,-0.745973759031491,-1.84547171888971,0.329511381119162
"Betula populifolia",-5.29997884416072,-14.5352439596816,4.0034909667898,-5.47798903351244,-14.4622609566852,3.59983248822597,-0.864519900069749,-4.87927929287816,3.16172606344593
"Betula papyrifera",-27.2811131474303,-33.481256609857,-21.0624677644329,-5.68591975046434,-10.0239188062004,-1.32374592895413,1.24738441228116,-2.24461808993713,5.13494140507688
"Betula alleghaniensis",-11.2272662389806,-18.2128909276705,-4.10086444915142,-6.99255742797432,-10.6941743853057,-3.41866577906147,-1.4679541552266,-5.47704614048923,2.47381086521365
"Betula lenta",-3.33007441862609,-10.3335471269391,3.8506324193991,-4.83805467824291,-12.3681622565627,2.88761050298314,-0.978141951148736,-5.15810927384284,2.97681209118465
