"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)",34.9503167886422,8.65682043158449,59.8358199470968,2000,0.0089999999999999
"force.z",-5.28643851344525,-6.02899392618747,-4.50644276019011,2000,5e-04
"chill.z",-5.81868868355345,-6.42388115567155,-5.16970083855267,1743.68484137982,5e-04
"photo.z",-1.06123527981366,-1.63293640724442,-0.362636146077421,2000,5e-04
"(Intercept)",33.4236386142017,-36.0041889824206,100.794903115617,2000,0.355
"force.z",-5.35518594696763,-6.00049258623767,-4.61481701226148,2000,5e-04
"chill.z",-6.33586046675258,-6.93798312000581,-5.74583188616816,2000,5e-04
"photo.z",-1.2574948942822,-1.83278647041152,-0.689497145809582,2383.15101554955,5e-04
