"","lambda","Lower95CI","Upper95CI","H2","Lower95CI","Upper95CI"
"forcing",0.646505759007385,0.196853298094885,0.933030960805555,0.734799467411097,0.320928400855848,0.951688197922527
"chilling",0.433229540159909,0.124749024836082,0.701004950491413,0.467038963348051,0.160924957857748,0.732008641191101
"photo",0.495464415821121,0.208489627575965,0.760077510628513,0.552011120742374,0.270771223091846,0.800043714478411
