"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model_NOphylo.FULL.b.sps",0,0,-14195.8979088733,89.9292618015244,227.815271108164,12.6460355022666,28391.7958177466,179.858523603049
"model_phylo.FULL.c.sps",-1.94520065619251,2.41091704430355,-14197.8431095295,90.0745572904405,227.992279155398,13.0864181559913,28395.686219059,180.149114580881
"model_phylo.int.only.sps",-302.84268321547,27.2165004561711,-14498.7405920888,89.7586755811585,130.453355377502,6.8016891841159,28997.4811841776,179.517351162317
"model_NOphylo.FULL.sps",-305.035031601266,27.3060991364575,-14500.9329404746,89.7645519754281,132.672472553585,6.78350606355501,29001.8658809492,179.529103950856
