"","yhats","b_force"
"Betula",0.99997174856338,0.960500087678063
"Fagus",0.999903637554179,0.468114882585891
"Quercus",0.997965401531891,0.153697311291341
"Acer",0.999981463154669,0.804336818259076
"Ulmus",0.999976029555305,0.869350754041256
"Viburnum",0.999993678445464,0.727758651970039
"Populus",0.999993985196589,0.993662372386144
"Prunus",0.999994856003765,0.835107357770808
"Alnus",0.99999213300931,0.929960387170137
"Fraxinus",0.99999057500108,0.960977884931823
"Tilia",0.999992698164369,0.891808518411529
"Sorbus",0.999992884034289,0.244320868565457
"Ilex",NA,NA
"Carpinus",0.999993903277338,0.975874287053997
"Aesculus",0.999986378514578,0.899193668166029
"Cornus",0.999970396149635,0.529891434324405
"Rhamnus",0.999988743284656,0.461228698923039
"Syringa",0.999987135408272,0.693055292056009
"Lonicera",0.999992279275737,0.621604513042877
"Rhododendron",0.999991339311812,0.395452705698511
"Salix",0.999993901646803,0.158639841019737
"Hamamelis",0.999990188553677,0.812835850805908
"Juglans",0.999992629795999,0.517698181283291
"Celtis",0.99999275672609,0.734324239311874
"Corylus",NA,NA
