"","x","y","id"
"1",NA,NA,"thielges75"
"2",11.50293,48.16447,"zohner16"
"3",10.767,59.5,"heide93"
"4",11.711811,48.403008,"laube14a"
"5",11.711811,48.403008,"laube14b"
"6",-74.02507,45.932675,"flynn18"
"7",-72.18992,42.531705,"flynn18"
"8",10.83,59.67,"myking98"
"9",26.12,63.233,"li05"
"10",25.533,58.167,"li05"
"11",24.85,67.7333,"li05"
"12",27.33,65.167,"rinne97"
"13",7.033,46.2,"basler12"
"14",9.53,46.85,"basler12"
"15",24.95,60.17,"linkosalo06"
"16",11.5,64,"myking95"
"17",18.6,69,"myking95"
"18",9.15,56.1,"myking95"
"19",11.33,59.666,"skuterud94"
"20",24.33,61.5,"skuterud94"
"21",10.166,60.5,"skuterud94"
"22",11.333,59.666,"skuterud94"
"23",24.333,61.5,"skuterud94"
"24",10.167,60.5,"skuterud94"
"25",27.33333333,65.16666667,"rinne94"
"26",-6.934,52.32,"caffarra11a"
"27",-6.934,52.32,"caffarra11b"
"28",10.767,59.667,"myking97"
"29",-77.7,46,"man17"
"30",-116.24135,43.63871944,"nanninga17"
"31",-73.25,45.633,"calme94"
"32",10.83,59.67,"heide93a"
"33",7.5,47.47,"vitra17"
"34",11.36667,43.71667,"ghelardini10"
"35",11.14,49.45,"malyshev18"
"36",8.265,46.315,"basler14"
"37",11.05,49.89,"malyshev18"
"38",-78.318,44.303,"webb78"
"39",11.557416,43.732105,"falusi03"
"40",10.75,46.03333,"falusi90"
"41",11.964,43.81666667,"falusi96"
"42",14.02,42.05,"falusi96"
"43",15.988,38.26666667,"falusi96"
"44",11.81,43.8,"falusi96"
"45",15.988,38.2666,"falusi96"
"46",11.82,43.8,"falusi97"
"47",11.96,43.82,"falusi97"
"48",7.6,47.5,"heide93a"
"49",22.5,49.3,"heide93a"
"50",12.5,55.75,"heide93a"
"51",11.85,50.04,"malyshev18"
"52",-3.48,40.4,"Sanz-Perez09"
"53",-3.37,40.47,"sanzperez10"
"54",-78.833,46.5,"calme94"
"55",-1.97,42.6,"morin10"
"56",2.55,45.5,"morin10"
"57",11.06,49.52,"malyshev18"
"58",14.73,52.53,"morin10"
"59",10.38,49.84,"malyshev18"
