"","longitude","latitude","pmm","pmm2C","lmm","lmm2C","absforecast","pmmvslmm"
"2",11.125,55.625,25.6792888597273,20.1854458586368,31.0322414483463,25.0806867445522,-0.457711702703566,-5.35295258861899
"3",11.375,55.625,25.7744898652734,20.3479949620466,31.1455333535328,25.257177989512,-0.461860460793979,-5.37104348825932
"4",11.625,55.625,25.93652770242,20.5106622206685,31.3206727492597,25.4329080332742,-0.461899234234071,-5.38414504683978
"5",11.875,55.625,26.1728793984095,20.8005147420638,31.5581265824945,25.7205669495065,-0.465194976642341,-5.38524718408501
"6",12.125,55.625,26.1558731545437,20.8766628765515,31.5158039118871,25.7656601881181,-0.470933445776726,-5.35993075734335
"7",12.375,55.625,26.2867455723656,20.9792113279821,31.6075814449684,25.8308585596125,-0.469188640972352,-5.3208358726028
"10",13.125,55.625,29.1945140707125,23.0674730654084,34.3649871987761,27.8192405715062,-0.418705621965714,-5.17047312806357
"11",13.375,55.625,30.2954731553122,23.8543508338027,35.515701583731,28.6752215868643,-0.399357675357173,-5.22022842841884
"12",13.625,55.625,31.3948849202515,24.9978221020173,36.6716439642174,29.8725093298192,-0.402071816163982,-5.27675904396588
"13",13.875,55.625,31.5670102289812,24.9395791507648,36.9176567578982,29.9023449425933,-0.387880737088384,-5.35064652891698
"14",14.125,55.625,31.3735756088607,24.4503164372243,36.725495132202,29.4325787403229,-0.369657220242665,-5.35191952334132
"18",42.125,55.625,51.4982817383215,48.3213391880366,56.9852474228323,53.2078681368458,-0.600436735701614,-5.48696568451079
"19",42.375,55.625,51.5431327241164,48.3693372812083,57.0280355464206,53.2536095006104,-0.6006306029021,-5.48490282230418
"20",42.625,55.625,51.7685447256221,48.5456544076358,57.2721608832999,53.4516642907391,-0.59760627457451,-5.50361615767784
"21",42.875,55.625,51.8396909561333,48.5960297294601,57.3494783059403,53.5094903282157,-0.596326751051308,-5.50978734980694
"22",43.125,55.625,51.9427994436058,48.656337556608,57.4526896966838,53.5725376525613,-0.593690157124684,-5.50989025307803
