"","phylo$tip.label"
"1","Populus_deltoides"
"2","Populus_koreana"
"3","Populus_tremula"
"4","Populus_grandidentata"
"5","Euonymus_europaeus"
"6","Euonymus_latifolius"
"7","Nothofagus_antarctica"
"8","Carya_cordiformis"
"9","Carya_laciniosa"
"10","Alnus_incana"
"11","Alnus_glutinosa"
"12","Alnus_maximowiczii"
"13","Betula_nana"
"14","Betula_pendula"
"15","Betula_pubescens"
"16","Betula_populifolia"
"17","Betula_papyrifera"
"18","Betula_alleghaniensis"
"19","Betula_lenta"
"20","Corylus_cornuta"
"21","Ostrya_carpinifolia"
"22","Ostrya_virginiana"
"23","Carpinus_laxiflora"
"24","Carpinus_betulus"
"25","Carpinus_monbeigiana"
"26","Rosa_majalis"
"27","Rosa_hugonis"
"28","Aronia_melanocarpa"
"29","Photinia_villosa"
"30","Spiraea_japonica"
"31","Spiraea_chamaedryfolia"
"32","Spiraea_canescens"
"33","Prunus_tenella"
"34","Prunus_serrulata"
"35","Prunus_pensylvanica"
"36","Prunus_serotina"
"37","Prunus_padus"
"38","Prinsepia_uniflora"
"39","Prinsepia_sinensis"
"40","Oemleria_cerasiformis"
"41","Ulmus_minor"
"42","Ulmus_glabra"
"43","Ulmus_macrocarpa"
"44","Ulmus_pumila"
"45","Ulmus_parvifolia"
"46","Ulmus_laevis"
"47","Ulmus_americana"
"48","Ulmus_villosa"
"49","Caragana_pygmaea"
"50","Robinia_pseudoacacia"
"51","Amorpha_fruticosa"
"52","Cercis_chinensis"
"53","Cercis_canadensis"
"54","Tilia_japonica"
"55","Tilia_cordata"
"56","Tilia_dasystyla"
"57","Tilia_platyphyllos"
"58","Hibiscus_syriacus"
"59","Aesculus_flava"
"60","Aesculus_parviflora"
"61","Aesculus_hippocastanum"
"62","Toona_sinensis"
"63","Orixa_japonica"
"64","Ptelea_trifoliata"
"65","Ribes_divaricatum"
"66","Ribes_glaciale"
"67","Ribes_alpinum"
"68","Hamamelis_virginiana"
"69","Hamamelis_vernalis"
"70","Hamamelis_japonica"
"71","Sinowilsonia_henryi"
"72","Corylopsis_sinensis"
"73","Corylopsis_spicata"
"74","Liquidambar_styraciflua"
"75","Liquidambar_orientalis"
"76","Cercidiphyllum_japonicum"
"77","Cercidiphyllum_magnificum"
"78","Parrotia_persica"
"79","Paeonia_rockii"
"80","Syringa_villosa"
"81","Syringa_vulgaris"
"82","Syringa_josikaea"
"83","Syringa_reticulata"
"84","Ligustrum_tschonoskii"
"85","Forsythia_ovata"
"86","Forsythia_suspensa"
"87","Cephalanthus_occidentalis"
"88","Viburnum_buddleifolium"
"89","Viburnum_carlesii"
"90","Viburnum_cassinoides"
"91","Viburnum_lantanoides"
"92","Viburnum_plicatum"
"93","Viburnum_opulus"
"94","Viburnum_betulifolium"
"95","Weigela_coraeensis"
"96","Weigela_florida"
"97","Weigela_maximowiczii"
"98","Heptacodium_miconioides"
"99","Symphoricarpos_albus"
"100","Lonicera_maximowiczii"
"101","Lonicera_alpigena"
"102","Lonicera_canadensis"
"103","Lonicera_caerulea"
"104","Eleutherococcus_sieboldianus"
"105","Eleutherococcus_setchuenensis"
"106","Eleutherococcus_senticosus"
"107","Ilex_mucronata"
"108","Rhododendron_prinophyllum"
"109","Rhododendron_canadense"
"110","Rhododendron_dauricum"
"111","Rhododendron_mucronulatum"
"112","Kalmia_angustifolia"
"113","Vaccinium_myrtilloides"
"114","Lyonia_ligustrina"
"115","Nyssa_sylvatica"
"116","Cornus_alba"
"117","Cornus_kousa"
