"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model_NOphylo.FULL.b.sps",0,0,-10071.2925985414,73.1299802484144,88.7331094857959,5.64449446340488,20142.5851970827,146.259960496829
"model_phylo.int.slope.sps",-2.59049260337987,1.62335420778234,-10073.8830911447,73.2438761068124,90.2900137512715,5.87946316515612,20147.7661822894,146.487752213625
"model_phylo.int.only.sps",-224.486780979054,27.0691048635577,-10295.7793795204,68.8475755601499,37.3940975176352,2.73285547760902,20591.5587590408,137.6951511203
"model_NOphylo.FULL.sps",-224.599413290788,27.112914936169,-10295.8920118321,68.8498736230051,37.5219690634736,2.63423434773119,20591.7840236642,137.69974724601
