"","indvarestchill","indvarlam0chill","indvarestforce","indvarlam0force","indvarestphoto","indvarlam0photo"
"Populus_deltoides",6.38463624954331,7.3419777814271,5.03409988367108,6.61250866500161,2.80426387603645,3.01555421294427
"Populus_koreana",7.03742682434467,8.39093769421316,5.21495268156029,6.90112878070607,2.71985455870456,2.92963777476152
"Populus_tremula",3.85442865373343,3.91183447627583,2.16535381201948,2.23066946974935,1.53165349125792,1.52849820882384
"Populus_grandidentata",5.02066002789708,5.35839976219257,3.95566725132675,4.31365917247752,2.59515305564626,2.71964187412995
"Euonymus_europaeus",8.35237759480296,8.60724931563439,7.63030299670827,6.99425885222758,2.92552302760461,2.97043636724466
"Euonymus_latifolius",7.21706905824974,7.05926531973523,7.28487666649245,7.01114480439221,2.95377087439963,2.88560311382958
"Nothofagus_antarctica",8.39655232451028,8.61556172007917,7.16349407713888,6.7510518375836,2.92054249708048,3.01090696385105
"Carya_cordiformis",6.67501185267929,7.04488317113379,6.9092531887518,7.04498909614523,2.85790660415423,2.93449992112467
"Carya_laciniosa",6.73498340940488,7.25824168184954,7.01333948333692,6.97407263292911,2.80722454279893,2.83283098445559
"Alnus_incana",2.65222268816047,2.7397494665802,2.90671260848526,2.96181934223172,1.58903264722428,1.6648248596589
"Alnus_glutinosa",4.25589262702956,4.55663795316678,3.5430372224772,3.65235794056651,1.68518739249152,1.71609754241035
"Alnus_maximowiczii",6.59064277705498,7.01150242581666,6.16792588925681,6.98244026937614,2.80373212838982,2.93316983742014
"Betula_nana",6.15730429591723,6.82098976177744,5.70634485362882,7.01311051763722,2.63478609308338,2.9230145651122
"Betula_pendula",0.745372283297362,0.733166977137905,1.53766009430067,1.51054633558085,0.682006805231405,0.681927114149824
"Betula_pubescens",0.90728937577294,0.903672776672944,1.76403237809815,1.81311130405529,0.749788931886568,0.757300470771372
"Betula_populifolia",6.26256789619815,7.1493759509922,5.91636075907873,7.09906919597539,2.72544916535186,2.94009184345708
"Betula_papyrifera",4.31039076005568,4.21965604029766,2.99195351339401,3.31347060711865,2.51322175831815,2.60835910726888
"Betula_alleghaniensis",4.88068934731027,4.97839883296266,2.53607157317681,2.66370450725889,2.67262951185285,2.71293211491007
"Betula_lenta",4.86553004603149,5.15371221921491,5.29655763253074,5.80250538507046,2.74002045948901,2.85788277657588
"Corylus_cornuta",7.81452455149057,8.9909633990709,5.03578096400089,5.65579362575827,2.86147329305843,2.93784293235506
"Ostrya_carpinifolia",6.43402809860255,7.16847437343841,5.77038917595949,6.70727820950605,2.68608047116728,2.906323447867
"Ostrya_virginiana",6.34662555074153,7.07588401642678,6.01188432821821,7.10833013561697,2.70470793371516,2.90675276026477
"Carpinus_laxiflora",7.2405605024657,8.43415151889264,5.76197736110545,6.95209221601429,2.74081609528233,2.98591942212036
"Carpinus_betulus",4.52780058465854,4.7281435356415,3.35857154524208,3.5294606138943,2.37336036566598,2.4824657957922
"Carpinus_monbeigiana",6.31057839518506,6.98698385532782,5.73284342383888,7.06621740220996,2.6978242694426,2.90094826685889
"Rosa_majalis",6.84198855419086,7.00031614962858,6.95902254077568,6.96288818371017,2.93325398062869,2.94202523225298
"Rosa_hugonis",8.13445713123789,8.59522275696404,7.18248110932294,6.91152628313702,3.00501145609908,2.91499759391489
"Aronia_melanocarpa",5.76306914481743,6.82124940363016,5.11635352773163,5.73537486758561,2.6186560081238,2.88339398553283
"Photinia_villosa",5.97221984759113,6.91633917003633,5.74171558847131,7.11403025121778,2.64335750559501,2.93351142596345
"Spiraea_japonica",6.29078725265746,6.79520950913701,6.57617253022705,7.06910843116635,2.78077941050753,2.94037683750553
"Spiraea_chamaedryfolia",6.4799313284214,6.92695816283598,6.42190242184922,7.17405960053553,2.67972063065621,2.94721426994559
"Spiraea_canescens",7.29800106729387,8.5104363088497,6.40479272148763,6.96155522989712,2.84395732267022,2.91595799523406
"Prunus_tenella",7.48585327185491,8.25514711039218,6.11678444983292,7.22911075106587,2.78171604602621,2.9467293943
"Prunus_serrulata",7.46775219039192,8.5584875628763,6.09406026252472,6.99143208304536,2.78048158622458,2.9749626484607
"Prunus_pensylvanica",7.45379091565256,8.31579758214237,5.14823586465614,5.42745158934431,2.72137660726408,3.02444194572072
"Prunus_serotina",6.54296351659197,6.99719380932463,5.61837093657546,6.4540743975647,2.65593621425405,2.93734860333785
"Prunus_padus",3.61172815009587,3.75091743939473,2.58513876939687,2.53696221423431,1.33928668044949,1.33094015868144
"Prinsepia_uniflora",7.78945542842591,8.44748291074848,6.5344392669939,6.99530656357248,2.7511236878599,2.85949080266617
"Prinsepia_sinensis",8.18249092020211,9.32189642101841,6.57303235640066,6.99921492207216,2.8327098303617,3.05071781711001
"Oemleria_cerasiformis",7.71885667496255,8.31893951035835,6.69885996072228,6.80216158400323,2.75728943127263,2.96171524988424
"Ulmus_minor",3.18274916858351,3.31597885126482,2.64997650054224,2.88862458695385,2.41516907845447,2.67936429835254
"Ulmus_glabra",4.55486783492102,5.07210337550421,4.61897514663001,6.69048290250952,2.56055326175299,2.80468842515946
"Ulmus_macrocarpa",4.60727376513328,5.12504740133581,4.7487709596232,6.54254539886375,2.60467693723798,2.75569990051728
"Ulmus_pumila",3.19986987505532,3.32463861675495,2.68771081551676,2.84993020139551,2.48340988552676,2.56705879635332
"Ulmus_parvifolia",3.20365001594689,3.32575522091797,2.7505076709074,2.85895278968544,2.40740418459146,2.61030399494771
"Ulmus_laevis",5.80290412075534,6.95883451404932,4.99471599436529,6.87338720096318,2.65062650193372,2.86028655860023
"Ulmus_americana",5.86151019597457,6.96686493305858,5.08574879210164,7.06666093052082,2.54125764023677,3.0072322326599
"Ulmus_villosa",3.09733745341756,3.3094724242911,2.72392704479548,2.97794396150879,2.40963224993918,2.6123856694613
"Caragana_pygmaea",8.10830448166005,8.53730212405441,7.00694200420108,6.9626555331704,2.94541251206262,2.97615413819459
"Robinia_pseudoacacia",6.88962095150875,7.11511849510592,3.64731213923588,3.6830322173588,2.85373541395854,2.9820872827047
"Amorpha_fruticosa",7.02391734857813,7.14092425467402,6.61918070691456,6.30419778478593,2.9371817453663,2.83693520428242
"Cercis_chinensis",6.78914153630014,7.02138059932151,7.40475556400852,7.0228663880635,2.92490353388995,3.04925673186999
"Cercis_canadensis",6.65602669299366,7.14260693526989,7.39098175244889,6.9640220558502,2.96215212362359,2.91273944813958
"Tilia_japonica",6.09967487815212,6.89316086626005,5.70870594170776,6.70995518465636,2.89435788893216,2.86972245403669
"Tilia_cordata",3.18583120931651,3.27612241112377,2.86930948243272,2.77240293585234,2.38804300852799,2.43244106377639
"Tilia_dasystyla",6.23818590331405,6.88981257809655,5.83358943484859,6.78417784075652,2.77379543087948,2.9069969061788
"Tilia_platyphyllos",6.10185154812459,7.03615349931659,5.85306222611903,6.95904739177594,2.79740158605854,2.8731572400865
"Hibiscus_syriacus",6.39157265936146,7.12166108821197,6.58622255658139,7.10844043505897,2.82703461113223,2.96475834642815
"Aesculus_flava",6.45599219788889,7.29151933063593,6.12062417334364,6.78108460371531,2.84634756792047,2.8535334154226
"Aesculus_parviflora",6.22528919186574,7.23740760988454,6.24740404585567,6.87714328022831,2.8089098170486,2.92533447815739
"Aesculus_hippocastanum",5.38841871248116,5.79593985536962,4.08548254087788,4.20771105598657,2.64358653433072,2.75094394370348
"Toona_sinensis",6.79486434791186,6.95649576365441,7.21282293295469,6.7266332612501,2.85869641647691,2.95418496373728
"Orixa_japonica",6.85583235910159,6.96597562071369,7.15357157207888,7.03979642523354,2.93123842010961,2.96680457250937
"Ptelea_trifoliata",6.6784009111906,7.03189622031711,7.27294801243792,6.90595004169535,2.95491467102046,2.84063205646624
"Ribes_divaricatum",8.15136818714,8.68636239593654,7.39466962146192,6.8731958986393,2.94594177189143,3.02031334857855
"Ribes_glaciale",6.88455701848337,7.05519766384351,7.56686439742941,6.80343934255853,2.97184741192522,2.95465477745868
"Ribes_alpinum",8.15716173963609,8.54945625273336,7.509077479695,6.86418861196444,3.03908112438301,3.03957686195086
"Hamamelis_virginiana",8.09368529267817,8.76353598741944,6.43109723008327,6.21916113826,3.0533903845595,2.95058612708463
"Hamamelis_vernalis",6.79271636254018,7.09003848885698,7.23895234898717,7.0331066944425,2.89746367120869,2.92166632983584
"Hamamelis_japonica",6.90678491373365,7.04358697776732,7.20604981800565,6.8465958870665,2.9248948650177,2.96917823724961
"Sinowilsonia_henryi",6.87227448290576,6.96686937336077,7.52956726320548,6.98242069507586,2.88846117879777,2.86569545849642
"Corylopsis_sinensis",8.26675692449909,8.43299812227542,7.54703177932273,7.00177637576309,2.98835994849965,3.00640887232203
"Corylopsis_spicata",8.27630778553365,8.56213611066207,7.41478571609009,7.01067736118484,2.92188366731993,2.89722417761167
"Liquidambar_styraciflua",6.76426916088971,7.06391233528231,7.62674962214778,6.84711551710684,3.00431381760583,2.89344055437269
