"","b_chill","b_chill_low","b_chill_up","b_force","b_force_low","b_force_up","b_photo","b_photo_low","b_photo_up"
"Populus deltoides",-18.1101274699394,-28.5127807426346,-7.77392324972839,-6.23095671273631,-15.9546961133483,4.02992977943983,-1.25713645902437,-5.8397585782906,3.31620615569376
"Populus koreana",-7.92019349708132,-20.1684171592501,4.43123617646411,-7.41989681242178,-18.3557489547028,3.81183029955877,-1.10212206833586,-5.59828527151032,3.3503631031533
"Populus tremula",-0.575290090642262,-6.20921304201526,5.08525101684415,-7.43503998896653,-10.6997778830065,-4.19644754830235,0.0824912967559113,-2.09894247989945,2.32228574030174
"Populus grandidentata",-15.6153714213335,-23.7924494291489,-7.77019970416806,-11.3308604489927,-17.4920875575645,-5.03379408164064,-1.31926426262877,-5.36395952415074,2.75794798323934
"Euonymus europaeus",-8.27336248328917,-20.5322169655449,4.40857156458521,-7.48508119609979,-17.9781243113203,2.89708574836761,-1.17969514247282,-5.64723443854332,3.40102905234004
"Euonymus latifolius",0.388751127261225,-10.1050614234546,10.8367677149934,-7.42539751667178,-18.0348415283086,3.43097143819457,-0.918108528627292,-5.14336082074299,3.39682317190241
"Nothofagus antarctica",-10.4967283889082,-23.3369650839018,2.22215968661503,-7.46004921268259,-17.7426743471692,3.05048684200177,-1.38301639744993,-5.87015471166506,3.14303483838948
"Carya cordiformis",-14.0414609550546,-24.4013588514083,-3.92783244697755,-7.85155111859075,-18.5869829750783,2.94710017635241,-2.62177231376543,-7.2519095486194,1.7360020452338
"Carya laciniosa",-17.2651201827914,-27.9879467837269,-6.99210591927093,-6.61150714445963,-17.224180408438,4.38980853836048,-1.16105212942597,-5.49293284128158,3.25107584064831
"Alnus incana",-1.59398394025423,-5.54921575074076,2.36588355370961,-10.3768952643534,-14.5895722580381,-6.14976896206164,-0.545586768550636,-2.9481939748722,1.88131842190119
"Alnus glutinosa",-6.51235865005924,-13.3091281564469,0.42535682797803,-10.4180714212883,-15.8344575831791,-5.14344683852133,-0.612804816057179,-3.12890168572193,1.87697869693553
"Alnus maximowiczii",-6.18448351927455,-16.5577250467997,4.38914073674497,-7.15317426138179,-17.620272282695,3.57990815801082,-1.21000306211826,-5.73003494229699,3.35701667136037
"Betula nana",-6.38949284062179,-16.3126573995972,3.93979069960238,-7.15176634993359,-17.9511204980564,3.49178787593365,-1.12646319658421,-5.50186247605295,3.17886957312371
"Betula pendula",-4.32308379676666,-5.42538240930206,-3.23745131733927,-1.34473547283545,-3.51417795391317,0.830567135891243,-0.432785249011511,-1.41401135295861,0.549377354536443
"Betula pubescens",-2.10763809436973,-3.42485491849195,-0.792295883242342,-6.88089132101068,-9.5395582620704,-4.20078071819849,-0.775607643894531,-1.8846551337641,0.310860369987663
"Betula populifolia",-5.24652653267569,-15.531104784798,5.24917231145939,-7.38453111840887,-18.1166011442609,3.15639374357589,-1.08292799170915,-5.38021879057155,3.29684159376959
"Betula papyrifera",-29.6239975415489,-35.8143376967072,-23.4796542035983,-5.80485562863814,-10.594296985048,-0.957503677017219,1.36608006653934,-2.36521347442002,5.36072716345306
"Betula alleghaniensis",-9.92050847499867,-17.1109291200321,-2.59824856107019,-6.93379673634042,-10.7485870420949,-3.02633237978818,-2.03264821310009,-6.1276772101567,1.9482407597719
