"","cueforce","cueforce0","cuechill","cuechill0","cuephoto","cuephoto0"
"Populus_deltoides",-6.43057180001351,-6.23095671273631,-15.1625796848157,-18.1101274699394,-0.967256878112977,-1.25713645902437
"Populus_koreana",-7.47132006315456,-7.41989681242178,-8.64764482723748,-7.92019349708132,-0.869115435383596,-1.10212206833586
"Populus_tremula",-7.40547575737752,-7.43503998896653,-1.93622264053567,-0.575290090642262,0.0539293194779547,0.0824912967559113
"Populus_grandidentata",-9.98062155787238,-11.3308604489927,-14.0808112790428,-15.6153714213335,-1.17609878650867,-1.31926426262877
"Euonymus_europaeus",-6.23212950337184,-7.48508119609979,-3.61371743427478,-8.27336248328917,-1.15363610784696,-1.17969514247282
"Euonymus_latifolius",-6.31808151780179,-7.42539751667178,1.12235167662368,0.388751127261225,-1.0057528889901,-0.918108528627292
"Nothofagus_antarctica",-6.61946623889104,-7.46004921268259,-10.1598069325919,-10.4967283889082,-1.62640181382536,-1.38301639744993
"Carya_cordiformis",-4.50771151309416,-7.85155111859075,-15.5183222410887,-14.0414609550546,-2.65248808175126,-2.62177231376543
"Carya_laciniosa",-4.02852674730247,-6.61150714445963,-17.475306653463,-17.2651201827914,-1.72230508722256,-1.16105212942597
"Alnus_incana",-10.180932694531,-10.3768952643534,-1.72954338964309,-1.59398394025423,-0.51935931081141,-0.545586768550636
"Alnus_glutinosa",-10.2488802684166,-10.4180714212883,-5.84922867225241,-6.51235865005924,-0.59703811985593,-0.612804816057179
"Alnus_maximowiczii",-7.32316185727454,-7.15317426138179,-5.35289832910972,-6.18448351927455,-1.05484262387579,-1.21000306211826
"Betula_nana",-5.15463937330056,-7.15176634993359,-5.76077841026172,-6.38949284062179,-0.924670765814329,-1.12646319658421
"Betula_pendula",-1.37877823629703,-1.34473547283545,-4.32932203926519,-4.32308379676666,-0.415134710440281,-0.432785249011511
"Betula_pubescens",-6.64228254070501,-6.88089132101068,-2.13366049207061,-2.10763809436973,-0.745973759031491,-0.775607643894531
"Betula_populifolia",-5.47798903351244,-7.38453111840887,-5.29997884416072,-5.24652653267569,-0.864519900069749,-1.08292799170915
"Betula_papyrifera",-5.68591975046434,-5.80485562863814,-27.2811131474303,-29.6239975415489,1.24738441228116,1.36608006653934
"Betula_alleghaniensis",-6.99255742797432,-6.93379673634042,-11.2272662389806,-9.92050847499867,-1.4679541552266,-2.03264821310009
"Betula_lenta",-4.83805467824291,-5.98943244612263,-3.33007441862609,-2.29179057564469,-0.978141951148736,-1.23364558711253
"Corylus_cornuta",-7.23712610098252,-9.25063425948874,-6.20488742087235,-6.36991453176052,-1.35493988538095,-1.61640233437655
"Ostrya_carpinifolia",-4.92314022430548,-7.40481862903028,-5.52018254987249,-4.10449661213483,-0.915748459543702,-1.08003896380751
"Ostrya_virginiana",-4.74529578501353,-6.96535271505911,-11.3766427987817,-13.2627156770891,-0.749591556226357,-0.845184443202507
"Carpinus_laxiflora",-4.73621108562079,-7.32704416425187,-8.98776219090596,-9.40225027391955,-0.913957374746019,-1.13447057280403
"Carpinus_betulus",-2.5863548660322,-2.11694948389743,-12.2964250097764,-13.3778431905439,-0.594687283064073,-0.61918732653438
"Carpinus_monbeigiana",-4.73411779172169,-7.23269932339122,-5.65878169571121,-4.42901569665452,-0.892447085735314,-1.0535251956305
"Rosa_majalis",-7.14796118059857,-7.49138398307281,-4.26355816537362,-4.89711021764155,-0.943571130721554,-0.912938513848254
