"","mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"a_z",30.6323810433252,3.41386593298158,23.9363350532147,30.6642999339803,37.2625065219834,12315.841546245,0.999841313920625
"b_zf",-6.11750256642972,2.10532963765762,-10.24361638684,-6.15382564367982,-1.85385918378652,3989.86870128461,1.00105562640854
"b_zc",-6.85576772073968,2.18153236553841,-10.9824966018276,-6.90791088973502,-2.39303245021935,7444.8006378461,1.00060066291513
"b_zp",-1.21606886595263,0.774725181555444,-2.72998450565598,-1.22428984910321,0.362339063013597,2482.95654914095,1.00282864801976
"lam_interceptsa",0.341649057500749,0.102300250671922,0.156711645038136,0.337020370335026,0.553499527159343,7668.82424068925,0.999800272936197
"lam_interceptsbf",0.652631811507611,0.200308923122927,0.222584177319109,0.673959510651781,0.967445023512484,630.963835717206,1.00551802279926
"lam_interceptsbc",0.541836719570006,0.14787268663281,0.24992761517971,0.545674654739536,0.820886145463948,1834.14423245915,1.00141121466048
"lam_interceptsbp",0.39701988621285,0.240848376599357,0.0256852137521061,0.376263017303698,0.88418135525574,672.385218638853,1.00385101885327
"sigma_interceptsa",15.9900101290299,1.15082253045187,13.9790411166269,15.9080635516865,18.4676498375799,6970.37106917126,1.00027866554335
"sigma_interceptsbf",5.79539729304964,1.01171464062662,4.06497577945329,5.70363256310861,8.01334363902724,1043.33733310055,1.00286806004242
"sigma_interceptsbc",7.10298838621984,0.875205483360066,5.53004300646409,7.03615754670443,8.98537156923874,1767.13016933291,1.00046480837296
"sigma_interceptsbp",2.3630501998521,0.406808169269937,1.61127543786921,2.33852360502377,3.231809596309,636.81745604504,1.00856015601846
"sigma_y",12.5816502202664,0.17805975109844,12.2400876592038,12.5797778639893,12.9348793815652,10904.8964100566,0.999794905285378
