"","b_force_diffdaysavg","b_force_absdiffdaysavg","b_force_diffdayssum","b_force_diffdaysSD"
"Betula",-0.258571264322801,0.64919949448728,60.587903462765,NA
"Fagus",-0.157111287499862,2.69185099095781,321.084941840963,NA
"Quercus",1.30855522156735,3.39851782391116,441.88673421552,NA
"Acer",-0.0288792798649908,1.76921869208473,130.396025789823,NA
"Ulmus",0.169671218483437,1.52128072298758,116.970800772952,NA
"Viburnum",-0.0245945839086247,2.1019919212196,189.077130550986,NA
"Populus",0.0237152157976844,0.182833295549095,14.5575580535974,NA
"Prunus",0.0662911184946519,1.61991021778611,114.339488135032,NA
"Alnus",0.0769477171970542,0.800908106822514,41.1360729337438,NA
"Fraxinus",0.0901749350301788,1.03277597921022,80.036659026192,NA
"Tilia",0.115181987539686,1.20624545107426,78.2886084059515,NA
"Sorbus",-0.196681459859957,3.09993288643716,355.49976058182,NA
"Ilex",NA,NA,NA,NA
"Carpinus",-0.0546651659572881,0.462282190183914,31.8751686217944,NA
"Aesculus",-0.254224455363064,0.976216661910353,85.2290429378564,NA
"Cornus",-0.367121010997346,2.05041442686152,220.384555994919,NA
"Rhamnus",0.136925066237381,2.29953323431462,230.092382008589,NA
"Syringa",-0.175454924628788,1.82095699348361,142.64841886628,NA
"Lonicera",-0.124535864964017,2.37581261880441,189.36863649026,NA
"Rhododendron",-0.0687642192699013,2.55730158857874,204.946578647825,NA
"Salix",-0.0420538524905916,2.97253375869514,390.728877656771,NA
"Hamamelis",0.161332624975361,1.46339792319706,106.752803794995,NA
"Juglans",-0.13819487774814,2.10676404438852,210.785202814406,NA
"Celtis",-0.00351284416192132,1.67361073016006,129.829465727362,NA
"Corylus",NA,NA,NA,NA
