"","yhats","b_force"
"Betula",0.999963893223448,0.974877313657635
"Fagus",0.999902748852835,0.561926526716438
"Quercus",0.997931369119984,-0.0087926664069679
"Acer",0.999970794840589,0.800893463900857
"Ulmus",0.999970992221989,0.86125816986959
"Viburnum",0.999992061337287,0.726528854324636
"Populus",0.999993027283629,0.997928454869842
"Prunus",0.999993402671647,0.837664980794361
"Alnus",0.999993610112044,0.959834771427899
"Fraxinus",0.99990587497339,0.941011092409524
"Tilia",0.999993232155724,0.909519246358997
"Sorbus",0.999991524399141,0.400025546943094
"Ilex",NA,NA
"Carpinus",0.999994261901547,0.986740341571
"Aesculus",0.999981106453567,0.938201121129124
"Cornus",0.999978120171554,0.718181622621896
"Rhamnus",0.999992926510223,0.664489063475493
"Syringa",0.99998363227487,0.789414364291481
"Lonicera",0.999989602439261,0.633546364185624
"Rhododendron",0.999993971511479,0.552642303626998
"Salix",0.99999376038611,0.45459541366564
"Hamamelis",0.99999189409105,0.865464803659792
"Juglans",0.999985952710975,0.720051082907865
"Celtis",0.999993662482813,0.824831970691236
"Corylus",NA,NA
