"","longitude","latitude","pmm","pmm2C","lmm","lmm2C"
"2",11.125,55.625,25.6792888597273,20.1854458586368,31.0322414483463,25.0806867445522
"3",11.375,55.625,25.7744898652734,20.3479949620466,31.1455333535328,25.257177989512
"4",11.625,55.625,25.93652770242,20.5106622206685,31.3206727492597,25.4329080332742
"5",11.875,55.625,26.1728793984095,20.8005147420638,31.5581265824945,25.7205669495065
"6",12.125,55.625,26.1558731545437,20.8766628765515,31.5158039118871,25.7656601881181
"7",12.375,55.625,26.2867455723656,20.9792113279821,31.6075814449684,25.8308585596125
"10",13.125,55.625,29.1945140707125,23.0674730654084,34.3649871987761,27.8192405715062
"11",13.375,55.625,30.2954731553122,23.8543508338027,35.515701583731,28.6752215868643
"12",13.625,55.625,31.3948849202515,24.9978221020173,36.6716439642174,29.8725093298192
"13",13.875,55.625,31.5670102289812,24.9395791507648,36.9176567578982,29.9023449425933
"14",14.125,55.625,31.3735756088607,24.4503164372243,36.725495132202,29.4325787403229
"18",42.125,55.625,51.4982817383215,48.3213391880366,56.9852474228323,53.2078681368458
"19",42.375,55.625,51.5431327241164,48.3693372812083,57.0280355464206,53.2536095006104
"20",42.625,55.625,51.7685447256221,48.5456544076358,57.2721608832999,53.4516642907391
"21",42.875,55.625,51.8396909561333,48.5960297294601,57.3494783059403,53.5094903282157
"22",43.125,55.625,51.9427994436058,48.656337556608,57.4526896966838,53.5725376525613
"23",43.375,55.625,52.065943783936,48.7952174338223,57.5675184371062,53.7021325938653
"24",43.625,55.625,52.0925287243165,48.8230612171534,57.5829262358727,53.7187216887024
"25",9.875,55.375,25.0747002809072,19.8099666968483,30.2752581903931,24.5386993714352
"26",10.125,55.375,25.5219702842636,20.0935871166107,30.7643146836022,24.8741873754757
"27",10.375,55.375,25.3745345567036,19.9253804803638,30.5967377425825,24.6871190492922
"28",10.625,55.375,25.3944463371051,19.8848677991306,30.6463193955022,24.6799984908266
"31",11.375,55.375,25.6667104717551,20.1841970572212,31.0229236290874,25.0820005899281
"32",11.625,55.375,25.7584415082047,20.3130639607171,31.1337305465185,25.2276557414398
"33",11.875,55.375,25.8757515148288,20.4775805779933,31.2591258445461,25.3973496421122
"34",12.125,55.375,25.8335651929699,20.5115542546531,31.208367370377,25.4180595802101
"48",39.875,55.375,51.3042831235249,48.0845399129154,56.7749132834913,52.9573699311068
"49",40.125,55.375,51.3267578921427,48.2140163323447,56.7894006927763,53.0722675063867
"50",40.375,55.375,51.522145327719,48.4503161638195,57.0116454133721,53.3329043492746
"51",40.625,55.375,51.6634556827118,48.6212093281543,57.1769685591455,53.5259879527055
"52",40.875,55.375,51.617566821024,48.5104900545042,57.1168802481125,53.4050628940403
"53",41.125,55.375,51.772877467996,48.6387355780357,57.2923156677172,53.5551004481286
"54",41.375,55.375,51.970530237442,48.8722653715773,57.523383968899,53.8198356873204
"55",41.625,55.375,52.0700209967137,48.9497263792113,57.6242090150909,53.8999880522781
"56",41.875,55.375,51.934282061147,48.746639345781,57.4454622923654,53.6580419897793
"57",42.125,55.375,51.7794562955249,48.536424490327,57.2555260461508,53.4161287164615
"58",42.375,55.375,51.8824687522939,48.6419546329974,57.3768956990928,53.5398609615445
"59",42.625,55.375,51.9253070580215,48.7275935990496,57.4226953740963,53.6258247029461
"60",42.875,55.375,52.0305682449252,48.8171192490693,57.5361196400553,53.7244827680234
"61",43.125,55.375,52.0870694600298,48.8434082333566,57.6030223391236,53.763034361399
"62",43.375,55.375,52.1760549795495,48.9374291246792,57.6950156092189,53.8597528157765
"63",43.625,55.375,52.2802030411684,49.0503890869531,57.7947531577954,53.9677594368467
"64",43.875,55.375,52.4734375169569,49.2486589345445,58.0033735700032,54.1811050333366
"66",10.125,55.125,25.3666400335204,19.9615454604558,30.5758271601767,24.7075538293549
"67",10.375,55.125,25.4359903734456,19.8804640677696,30.6713510025634,24.6619127913135
"68",10.625,55.125,25.6002205554506,19.9257335909313,30.8598609729459,24.7387902830311
