"","Estimate","Est.Error","Q2.5","Q97.5"
"mod.sps.intercept",0.581714343247765,0.00746996440183201,0.566199108348341,0.595684310607402
"mod.sps.phylo.intercept",0.581827132043242,0.00739785229015386,0.567172003723397,0.596111528669114
"mod.sps.interc.slope",0.658545650064528,0.00621563848269294,0.64589440865516,0.670354976030246
"mod.sps.interc.slope.phy.int",0.658470442107367,0.0062375277895404,0.646162386887263,0.670664322655426
