"","longitude","latitude","pmm","pmm2C","lmm","lmm2C"
"1",28.625,69.125,29.6254089880777,27.8011126869646,29.6432411332175,27.8152722411027
"2",28.875,69.125,29.4805693914465,27.6586433339169,29.4980838237277,27.6724918947894
"3",29.125,69.125,29.1805168087606,27.3580640304346,29.1973785730382,27.3712584300607
"4",29.375,69.125,29.195515038967,27.3356650841013,29.2124079388863,27.3487845991243
"5",27.625,68.875,29.7582317632365,28.0284818450655,29.7763321367362,28.043177664661
"6",27.875,68.875,29.7397735935687,27.9889548435443,29.7578477693122,28.0035647356683
"7",28.125,68.875,29.7778953676063,28.0339239879343,29.7960446052155,28.0486283540814
"8",28.375,68.875,29.8228246669687,28.066738708981,29.8410688912607,28.0815037172246
"9",28.625,68.875,29.8401882940198,28.0972703559404,29.8584611319189,28.1121013088633
"10",28.875,68.875,29.6810540389641,27.9207543146056,29.698993786603,27.9352029002532
"11",25.375,68.625,31.4076225338617,29.8580111280372,31.4290469781123,29.8765417074496
"12",25.625,68.625,31.4892611417552,29.9217412288553,31.5108588918974,29.9403943439013
"13",25.875,68.625,31.512833781386,29.9445237872917,31.5344910196314,29.9632341505765
"14",26.125,68.625,31.3890535362794,29.7988846291371,31.4104826713497,29.8173049196672
"15",26.375,68.625,31.2060732332221,29.6111638389129,31.2271481607253,29.6292164826899
"16",26.625,68.625,31.2135685058465,29.605754452027,31.2346774739807,29.6238045519845
"17",26.875,68.625,30.9304192711521,29.3102272786187,30.9509462153275,29.3276602634096
"18",27.125,68.625,30.6006769959523,28.9812750846134,30.6205245588863,28.9980309280273
"19",27.375,68.625,30.231051746685,28.6095429521608,30.2501424207103,28.6255359336944
"20",27.625,68.625,30.1842660024426,28.5503792692045,30.2032646045413,28.5662450876038
"21",27.875,68.625,30.1361749733274,28.4867499765974,30.1550821265204,28.5024802954259
"22",28.125,68.625,30.1897821230274,28.5321929539543,30.2088034572951,28.5480143085927
"23",28.375,68.625,30.2920297871878,28.6244329229843,30.3112609792702,28.6404357638227
"24",28.625,68.625,29.9988576005245,28.3336309799045,30.0174675171576,28.3490192648866
"25",24.375,68.375,31.2801410368221,29.7365869201555,31.3013611487601,29.7549303395484
"26",24.625,68.375,31.3536508893267,29.8185243054015,31.3750097777121,29.8370303931278
"27",24.875,68.375,31.4178480037544,29.870080120717,31.4393384826164,29.888681961091
"28",25.125,68.375,31.5048176851841,29.9367710514879,31.5264937346213,29.9555009725859
"29",25.375,68.375,31.3292308243294,29.7653979570039,31.3505333745504,29.7837663248288
"30",25.625,68.375,31.2682470714875,29.7088913309309,31.2894243145879,29.7271470841997
"31",25.875,68.375,31.1837010608453,29.6256621222795,31.2047163397493,29.6437596444591
"32",26.125,68.375,31.1467072737602,29.5844545688237,31.1676554254519,29.602473017848
"33",26.375,68.375,31.0708388437683,29.4948913981271,31.0916382479907,29.5127222753671
"34",26.625,68.375,31.0302075778833,29.4468860410934,31.0509261800095,29.4646152108368
"35",26.875,68.375,30.9618616696763,29.3975020815544,30.9824367855173,29.4151415217565
"36",27.125,68.375,30.9615674693754,29.4037918912077,30.9821564867372,29.4214638984666
"37",27.375,68.375,30.9958051584682,29.421437875216,31.0164879768325,29.4391566463266
"38",27.625,68.375,30.9111741923664,29.3188984020388,30.9316884601185,29.3363978522791
"39",27.875,68.375,30.5086383171186,28.9261068615232,30.5283148738719,28.9427962257581
"40",28.125,68.375,30.4839766699626,28.8890672756533,30.5036097438636,28.9056780658281
"41",28.375,68.375,30.3995613211249,28.7822662929713,30.419015686092,28.7986349113898
"42",23.875,68.125,31.3534918148051,29.8402241439277,31.374935895053,29.8588773930963
"43",24.125,68.125,31.1974460925788,29.6686401582095,31.2185784849456,29.686937668832
"44",24.375,68.125,31.031027576842,29.4961643533148,31.0518006088124,29.5140853312478
"45",24.625,68.125,30.949773120426,29.4109594909263,30.9703671654703,29.4286902826116
"46",24.875,68.125,30.9153223260623,29.3751918945718,30.9358229490712,29.3928255311144
"47",25.125,68.125,31.0441861087893,29.5019487941134,31.0649279954615,29.5198177213478
"48",25.375,68.125,31.0646355152584,29.5221348401845,31.0854100268275,29.5400356456942
"49",25.625,68.125,31.1588704608103,29.6000414410499,31.1798394094674,29.6180903931183
"50",25.875,68.125,31.1413986950854,29.5754589445745,31.1623313390203,29.5934514331419
"51",26.125,68.125,31.0322292359218,29.475770459745,31.0529412469389,29.4935691937664
"52",26.375,68.125,31.0304767713296,29.4863959338667,31.0511944943627,29.5042354711118
"53",26.625,68.125,30.9472561774068,29.3910607616281,30.9678102419465,29.4087022957935
"54",26.875,68.125,30.9164711614834,29.3689666388442,30.936961802863,29.3865693883571
"55",27.125,68.125,30.9633996240228,29.433803608459,30.9839819040493,29.4515487668769
"56",27.375,68.125,30.9292757294045,29.3809811255709,30.9497990741652,29.3986143386005
"57",27.625,68.125,30.8500885525644,29.296000019971,30.870466566474,29.3134714764779
"58",27.875,68.125,30.8539681528975,29.2961925747298,30.8743589417086,29.313666353438
"59",28.125,68.125,30.9965506686053,29.4192864209733,31.0172405830881,29.4370040753664
"60",28.375,68.125,31.0041056484166,29.4136733808761,31.02482204193,29.4313801832279
"61",28.625,68.125,30.7680273248713,29.1662705602097,30.7882469221284,29.1834484615831
"62",28.875,68.125,30.5138001680886,28.8880776071937,30.5334801644661,28.9046479651364
"63",23.625,67.875,30.6765449018341,29.1472122466685,30.6967259695849,29.1645569394321
"64",23.875,67.875,30.9349221649313,29.4037459869785,30.9556074541346,29.4215896748445
