"","mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
"a_z",30.0672836868394,3.46460869218215,23.2574643469353,30.0850200169977,37.0500216795353,13454.5449480095,0.999803022663433
"b_zf",-6.20669522637854,2.02630713451849,-10.1390806079311,-6.24855968319372,-2.07179810520687,3322.82844402157,1.00052577542304
"b_zc",-5.80591953450312,1.98054797740886,-9.58334425672038,-5.85539863068354,-1.76501279614906,8346.14647529424,0.999716965963239
"b_zp",-1.3297675407314,0.770422379741965,-2.81399217417906,-1.35713144793306,0.236507796145759,2598.49956411657,1.00147784629401
"lam_interceptsa",0.354947122120865,0.0987703031379153,0.171782336311737,0.35227740621954,0.556925432063235,7138.10601762454,0.999651269254127
"lam_interceptsbf",0.656361465938198,0.207780360504474,0.20233388339133,0.683717849760299,0.969882363230378,428.338705387452,1.00426538310539
"lam_interceptsbc",0.521567498027964,0.131359092766925,0.260361861883549,0.523698733636852,0.770891305813226,2850.90888413752,1.00014335581215
"lam_interceptsbp",0.45694718209733,0.246033996360501,0.0370949168881145,0.446902849097559,0.927009561572132,335.001278284378,1.02566260034915
"sigma_interceptsa",16.0030639204847,1.14191723255395,13.9574095045133,15.9348758924996,18.4287787639883,6926.49310498195,1.00001609076431
"sigma_interceptsbf",5.44317443898708,0.97977938426669,3.77660279559734,5.3509132626092,7.56626712927558,919.270532229232,1.00314417748376
"sigma_interceptsbc",6.88837633478455,0.745210488779576,5.55930978928679,6.84866557353249,8.47494475862458,2579.79253586375,1.00063970285614
"sigma_interceptsbp",2.35687036896366,0.395803063476447,1.63562732867716,2.33394378729162,3.21429691476987,754.254070161962,1.0076225394335
"sigma_y",12.08387070234,0.169981546080378,11.7607678679259,12.0804786920009,12.4230405651057,9826.07903464365,0.999619800029813
