"","x"
"1","Abies_alba"
"2","Acer_pensylvanicum"
"3","Acer_pseudoplatanus"
"4","Acer_rubrum"
"5","Acer_saccharum"
"6","Aesculus_hippocastanum"
"7","Alnus_glutinosa"
"8","Alnus_incana"
"9","Alnus_rubra"
"10","Aronia_melanocarpa"
"11","Betula_alleghaniensis"
"12","Betula_lenta"
"13","Betula_papyrifera"
"14","Betula_pendula"
"15","Betula_pubescens"
"16","Cornus_cornuta"
"17","Corylus_avellana"
"18","Fagus_grandifolia"
"19","Fagus_sylvatica"
"20","Fraxinus_excelsior"
"21","Fraxinus_nigra"
"22","Ilex_mucronata"
"23","Kalmia_angustifolia"
"24","Larix_decidua"
"25","Lonicera_canadensis"
"26","Picea_abies"
"27","Picea_glauca"
"28","Pieris_japonica"
"29","Populus_grandidentata"
"30","Populus_tremula"
"31","Prunus_avium"
"32","Prunus_padus"
"33","Prunus_pensylvanica"
"34","Pseudotsuga_menziesii"
"35","Pyrus_pyrifolia"
"36","Quercus_petraea"
"37","Quercus_robur"
"38","Quercus_rubra"
"39","Salix_smithiana"
"40","Sorbus_aucuparia"
"41","Sorbus_commixta"
"42","Spirea_alba"
"43","Syringa_vulgaris"
"44","Tilia_cordata"
"45","Ulmus_minor"
"46","Ulmus_parvifolia"
"47","Ulmus_pumila"
"48","Ulmus_villosa"
"49","Vaccinium_myrtilloides"
"50","Viburnum_cassinoides"
"51","Viburnum_lantanoides"
