"","CL0","CL1","CL2","CS0","CS1","CS2","WL0","WL1","WL2","WS0","WS2","WS1"
"ACEPEN",26,12.6666666666667,13.5,31,14.3333333333333,13.6666666666667,19,11.3333333333333,17.1666666666667,22.3333333333333,20.3333333333333,18.6666666666667
"ACERUB",34.8333333333333,17.3333333333333,19,44.1666666666667,25.6,19.1666666666667,29.8,13.8,19,34.8333333333333,23.2,18.6666666666667
"ACESAC",45,29.3333333333333,36.8,65.5,43.1666666666667,36.5,33,25.6666666666667,22,37,33,31
"ALNINC",25.2,NA,NA,32.1666666666667,NA,NA,18.6666666666667,NA,NA,25.4,NA,NA
"AROMEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BETALL",31.5,13.6666666666667,14.2,37.8333333333333,14.3333333333333,15.8,25.1666666666667,10.5,15,30.3333333333333,20.3333333333333,18.6666666666667
"BETLEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BETPAP",27.8333333333333,15.1666666666667,17.8333333333333,27,14,16,16,13,14,24.1666666666667,13,16
"CORCOR",22,NA,NA,21,NA,NA,12,NA,NA,21.1666666666667,NA,NA
"FAGGRA",46.3333333333333,41,35.5,76.4,46.6666666666667,44.4,42.6666666666667,36.8333333333333,24.1666666666667,36.3333333333333,53,45
"FRANIG",39.3333333333333,NA,NA,50.5,NA,NA,29.5,NA,NA,32.6666666666667,NA,NA
"HAMVIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ILEMUC",20.1666666666667,11.1666666666667,14.6666666666667,20.3333333333333,16.3333333333333,13.6666666666667,13.8333333333333,8,14,16.1666666666667,20.3333333333333,16
"KALANG",36,NA,NA,39.8333333333333,NA,NA,24.6,NA,NA,28.1666666666667,NA,NA
"LONCAN",17.3333333333333,NA,NA,15.6666666666667,NA,NA,13,NA,NA,17,NA,NA
"LYOLIG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NYSSYL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POPGRA",47.8333333333333,23,26.5,56.3333333333333,19,24.75,34,13.8,16,42.6666666666667,24,22.3333333333333
"PRUPEN",14,NA,NA,14.6,NA,NA,15.6,NA,NA,20.2,NA,NA
"QUEALB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QUERUB",54.8,23.8333333333333,28.6,68,25.1666666666667,31.1666666666667,41.8333333333333,21.6666666666667,20.4,39.8333333333333,29.8333333333333,24
"QUEVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHAFRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOPRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPIALB",17,NA,NA,30,NA,NA,13,NA,NA,17.3333333333333,NA,NA
"VACMYR",22.4,NA,NA,21.8,NA,NA,11.8333333333333,NA,NA,14.6666666666667,NA,NA
"VIBCAS",23.5,11.3333333333333,19.6666666666667,29,19,22.8333333333333,13.8333333333333,8.83333333333333,16.1666666666667,16,24,17.3333333333333
"VIBLAN",47,19.8,23,45.6,28.6,30.2,24.4,13.8,20.4,25.6666666666667,25.75,22.5
