"latin","common","genus","species"
"ACER PENSYLVANICUM","STRIPED MAPLE","Acer","pensylvanicum"
"ACER RUBRUM","RED MAPLE","Acer","rubrum"
"ACER SACCHARUM","SUGAR MAPLE","Acer","saccharum"
"AMELANCHIER SP","SHADBUSH","Amelanchier","sp"
"ARONIA SP","CHOKEBERRY","Aronia","sp"
"BETULA ALLEGHANIENSIS","YELLOW BIRCH","Betula","alleghaniensis"
"BETULA LENTA","BLACK BIRCH","Betula","lenta"
"BETULA PAPYRIFERA","PAPER BIRCH","Betula","papyrifera"
"BETULA POPULIFOLIA","GREY BIRCH","Betula","populifolia"
"CASTANEA DENTATA","CHESTNUT","Castanea","dentata"
"CORNUS ALTERNIFOLIA","ALTERNATE-LEAVED DOGWOOD","Cornus","alternifolia"
"CRATAEGUS SP","HAWTHORNE","Crataegus","sp"
"FAGUS GRANDIFOLIA","BEECH","Fagus","grandifolia"
"FRAXINUS AMERICANA","WHITE ASH","Fraxinus","americana"
"HAMAMELIS VIRGINIA","WITCH HAZEL","Hamamelis","virginia"
"ILEX VERTICILLATA","WINTERBERRY","Ilex","verticillata"
"KALMIA ANGUSTIFOLIA","SHEEP LAUREL","Kalmia","angustifolia"
"KALMIA LATIFOLIA","MOUNTAIN LAUREL","Kalmia","latifolia"
"LYONIA LIGUSTINA","MALEBERRY","Lyonia","ligustina"
"NEMOPANTHUS MUCRONATA","MOUNTAIN HOLLY","Nemopanthus","mucronata"
"NYSSA SYLVATICA","BLACK GUM","Nyssa","sylvatica"
"PINUS STROBUS","WHITE PINE","Pinus","strobus"
"POPULUS TREMULOIDES","TREMBLING ASPEN","Populus","tremuloides"
"PRUNUS SEROTINA","BLACK CHERRY","Prunus","serotina"
"QUERCUS ALBA","WHITE OAK","Quercus","alba"
"QUERCUS RUBRA","RED OAK","Quercus","rubra"
"QUERCUS VELUTINA","BLACK OAK","Quercus","velutina"
"RHODODENDRON SP","RHODODENDRON","Rhododendron","sp"
"SAMBUCUS PUBENS","RED ELDERBERRY","Sambucus","pubens"
"TSUGA CANADENSIS","HEMLOCK","Tsuga","canadensis"
"VACCINIUM CORYMBOSUM","HIGHBUSH BLUEBERRY","Vaccinium","corymbosum"
"VIBURNUM ALNIFOLIUM","HOBBLEBUSH","Viburnum","alnifolium"
"VIBURNUM CASSINOIDES","WITHEROD","Viburnum","cassinoides"
