paperID,reader,location,species/plant.functional.group,phenological response,trait,observed.relationships/ main finding
osada17,DL,Japan ,Evergreen borad-leaved or deciduous trees,budburst,"leaf mass & area, thickness, N/mass, C/mass, vessel diameter ","bb later for deciduous sp w/ high LMA, thickness, N/area; differed btwn deciduous and evergreen sp"
bontemps17,DS,France,deciduous tree (Fagus sylvatica),budburst,"leaf area (LA), leaf mass per area (LMA), leaf water content (LWC), water use efficiency (WUE) estimated by carbon isotopic discrimination (d13C), twig Huber-value (HV: the stem cross-section divided by the leaf area distal to the stem), wood density (WDens), and leaf nitrogen content (Nmass).","individuals with early leaf unfolding had leaf traits allowing water uptake i.e. low water use efficiency, low leaf mass per area and high water content, which is expected to maximise the carbon acquisition through longer effective growing season, jointly with a maximal use of early spring rainfalls before summer drought. Conversely, individuals with late leaf unfolding also had leaf traits limiting water stress i.e. high water use efficiency, high leaf mass per area and low water content, which is expected to optimize the use of available water resources and would allow coping with the strong summer droughts."
chai15,DS,China,deciduous tree (Quercus aliena var.acutiserrata) and Evergreen (Quercus spinosa),evergreen and deciduous within species trait differences across elevations,"specific leaf area (SLA), photosynthetic capacity (Pmax), leaf dry matter content (LDMC), and leaf nitrogen and phosphorus concentrations (LN and LP) leaf length (L), width (W), perimeter (Pe), and circularity (Cir), leaf carbon (C), soluble saccharide (SS) and starch (S), lignin (Lig) and cellulose (Cel), polyphenol (PolP) and tannin (T) concentrations,  ash (A), heat of combustion (HC), leaf construction cost (CC), photosynthetic N-use efficiency (PNUE), content of chlorophyll.",Not a relevant paper for us but helpful to understand trait variation and what environmental factors cause them
chelli19,CC,Italy,"vascular plants, bryophytes and lichens",,all traits,not relevant paper for us - looking at the effects of human impact on functional traits including flowering phenology. Does not look at budburst or leafout
clement19,DS,Laos,deciduous tree (Tectona grandis),leaf flushing (leaf out),"Age, Diameter at breast height and root pattern (shallow vs deep)",Rooting depth and growth rate not correlated with leaf out. However deeper rooted trees kept leaves longer than shallow rooted trees
dorji13,CC,Tibetan plateau,alpine species,reproductive phenology,rooting depth,"Not very relevant. study looks at the effects of warming and snow cover on flowering phenology on alpine species. Shallow-rooted, early-flowering species responded poorly to warming but responded better to snow addition in terms of reproductive success"
evan16,CC,Rocky mountains,Populus angustifolia,"budburst, budset",height and dbh ,"Great paper but not totally relevant to this study. Common garden study spanning latitudinal gradient in the Rockies. Finds strong genetic signal for budset but not budburst. Look at height and dbh, trees were biggest when growing slightly north of their provenance location. Southern, taller trees ceased growth later in the season"
garate-escamilla18,DL,Europe,Fagus sylvatica ,leaf flushing,"height, dbh, young tree survival","Not very relevatn. Provenance trial, comparing models with one or two traits, northern rangle limit constrained by flushing and southern range shaped by mortality due to drought"
gomory11,,,,,,
gomory15,DL,Slovakia,Fagus sylvatica ,"budburst, leaf discoloration, chlorophyll a fluorescence, and gas exchange","height, dbh","Provenance trial, scored frost damage: clear local adaptation for phenological traits, but none for functional traits"
hart16,DB,,,,,
konig18,DL,NA,NA,First flowering,TRY trait data,Lit review of publsihed observational studies in the northern hemisphere: traits related to compeition and growth rate related to the magnitude of pheno advances; traits were as important as climate in explaining observed pheno responses
markesteijn11,,,,,,
mckown16,,,,,,
meng09,,,,,,
pandey14,DB,,,,,
park19,,,,,,
rungwattana18,,,,,,
salmela20,,,,,,
simioni04,IMC,Ivory Coast,2 savannah species: Crossopteryx febrifuga and Cussonia arborea,time since budbreak,mass- and area-based leaf nitrogen concentrations (Nm and Na) and specific leaf area (SLA),"1) for Crossopteryx febrifuga, leaf nitrogen per unit mass (Nm), specific leaf area (SLA) and leaf nitrogen concentration per unit leaf area (Na) decrease asymptotically with increasing time since budbreak. 2) for Cussonia arborea, Nm, decreases linearly, SLA decreases asymptotically, and Na shows a hump-shaped relationship with increasing time since budbreak"
sun06,IMC,China,48 woody species of oak forests,"leafout emergence, timing, duration","leaf traits: leaf area, leaf mass per area, leaf expansion rate","1) large-LMA species leafed out earlier than the species with small LMA. 2) small-leaved species leafed out earlier than the species with large leaves, but large-leaved species have higher leaf expansion rates than small-leaved species. Leaf expansion rate is positively correlated with leaf area and timing of leaf emergence"
valencia16,IMC,Spain,"14 species of grasses (Cynodon dactylon [L.] Pers., Poa pratensis [L.], Agropyron cristatum [L.] Gaertn., Festuca ovina [L.]), nitrogen-fixing legumes (Hedysarum coronarium [L.], Dorycnium pentaphyllum [Scop.], Anthyllis vulneraria [L.], Medicago sativa [L.], Bituminaria bituminosa [L.] C.H. Stirt.) and forbs (Plantago lanceolata [L.], Sanguisorba minor [Scop.], Echium boissieri [Steud.], Echium plantagineum [L.], Asphodelus fistulosus [L.]","flowering and fruiting phenology: onset, duration and cessation of flowering and fructification","leaf and size traits: vegetative height, leaf area, specific leaf area, seed mass","1) 3C warming advanced flowering and fruiting phenology, extended the duration of flowering and reduced the production of flowers and fruits. 2) Larger species with high leaf area, as well as those with small specific leaf area, had an earlier flowering and a longer flowering duration."
bolmgren2008,DL,Sweden,572 species (21 woody),flowering onset,"height, seed mass, dispersal mode, ","For woody plants, found no relation between flowering time and height or seed mass"
